batch_id,sku_id,product_name,category,batch_quantity,expiry_date,batch_status,active_batch_quantity_flag,active_batch_action_required,batch_trace_only_flag,include_in_physical_map,include_in_traceability_layer,visual_quantity,visual_layer,visual_status_group,visual_warning_flags,visual_info_flags,recommended_batch_location_id,recommended_batch_zone,map_x,map_y,map_z,map_zone,map_label,map_color_group,visual_color_group_resolved,visual_color_name,visual_priority,visual_label,visual_hover_text,show_on_physical_map,show_on_traceability_layer
BATCH-001-01,SKU-COF-001,House Blend Coffee 1kg,Grocery,420.0,,HEALTHY_BATCH,True,True,False,True,True,420.0,PRIMARY_STORAGE,PRIMARY_STORAGE,,,LOC-FP-001,FAST_PICK,12.0,8.0,1.0,FAST_PICK,BATCH-001-01 -> LOC-FP-001,HEALTHY_BATCH,PRIMARY_STORAGE,GREEN,90,BATCH-001-01 | HEALTHY_BATCH,Batch: BATCH-001-01 | SKU: SKU-COF-001 | Product: House Blend Coffee 1kg | Quantity: 420.0 | Status: HEALTHY_BATCH | Location: LOC-FP-001 | Zone: FAST_PICK | Physical map: True | Traceability layer: True,True,True
BATCH-002-01,SKU-TEA-002,Iced Tea Peach 500ml,Beverages,0.0,2026-05-29,EXPIRED_BATCH,False,False,True,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,LOC-CP-001,TRACE_ONLY,10.0,24.0,2.0,CASE_PICKING,BATCH-002-01 -> LOC-CP-001,EXPIRED_BATCH,TRACE_ONLY_BATCH,GRAY,999,BATCH-002-01 | EXPIRED_BATCH,Batch: BATCH-002-01 | SKU: SKU-TEA-002 | Product: Iced Tea Peach 500ml | Quantity: 0.0 | Expiry: 2026-05-29 00:00:00 | Status: EXPIRED_BATCH | Location: LOC-CP-001 | Zone: TRACE_ONLY | Physical map: False | Traceability layer: True | Warnings: TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP | Info: TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,False,True
BATCH-002-02,SKU-TEA-002,Iced Tea Peach 500ml,Beverages,0.0,2026-06-16,EXPIRED_BATCH,False,False,True,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,LOC-CP-001,TRACE_ONLY,10.0,24.0,2.0,CASE_PICKING,BATCH-002-02 -> LOC-CP-001,EXPIRED_BATCH,TRACE_ONLY_BATCH,GRAY,999,BATCH-002-02 | EXPIRED_BATCH,Batch: BATCH-002-02 | SKU: SKU-TEA-002 | Product: Iced Tea Peach 500ml | Quantity: 0.0 | Expiry: 2026-06-16 00:00:00 | Status: EXPIRED_BATCH | Location: LOC-CP-001 | Zone: TRACE_ONLY | Physical map: False | Traceability layer: True | Warnings: TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP | Info: TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,False,True
BATCH-003-01,SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,53.0,2026-05-29,EXPIRED_BATCH,True,True,False,True,True,53.0,QUARANTINE_EXPIRED,QUARANTINE_EXPIRED,,,LOC-QA-001,QUARANTINE,54.0,12.0,1.0,QUARANTINE,BATCH-003-01 -> LOC-QA-001,EXPIRED_BATCH,QUARANTINE_EXPIRED,PURPLE,50,BATCH-003-01 | EXPIRED_BATCH,Batch: BATCH-003-01 | SKU: SKU-SUN-003 | Product: SPF 50 Sunscreen 200ml | Quantity: 53.0 | Expiry: 2026-05-29 00:00:00 | Status: EXPIRED_BATCH | Location: LOC-QA-001 | Zone: QUARANTINE | Physical map: True | Traceability layer: True,True,True
BATCH-003-02,SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,53.0,2026-06-16,EXPIRED_BATCH,True,True,False,True,True,53.0,QUARANTINE_EXPIRED,QUARANTINE_EXPIRED,,,LOC-QA-001,QUARANTINE,54.0,12.0,1.0,QUARANTINE,BATCH-003-02 -> LOC-QA-001,EXPIRED_BATCH,QUARANTINE_EXPIRED,PURPLE,50,BATCH-003-02 | EXPIRED_BATCH,Batch: BATCH-003-02 | SKU: SKU-SUN-003 | Product: SPF 50 Sunscreen 200ml | Quantity: 53.0 | Expiry: 2026-06-16 00:00:00 | Status: EXPIRED_BATCH | Location: LOC-QA-001 | Zone: QUARANTINE | Physical map: True | Traceability layer: True,True,True
BATCH-003-03,SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,54.0,2026-07-20,NEAR_EXPIRY_BATCH,True,True,False,True,True,54.0,FEFO_NEAR_EXPIRY,FEFO_NEAR_EXPIRY,,,LOC-TC-001,FAST_PICK,18.0,30.0,1.0,CASE_PICKING,BATCH-003-03 -> LOC-TC-001,NEAR_EXPIRY_BATCH,FEFO_NEAR_EXPIRY,YELLOW,60,BATCH-003-03 | NEAR_EXPIRY_BATCH,Batch: BATCH-003-03 | SKU: SKU-SUN-003 | Product: SPF 50 Sunscreen 200ml | Quantity: 54.0 | Expiry: 2026-07-20 00:00:00 | Status: NEAR_EXPIRY_BATCH | Location: LOC-TC-001 | Zone: FAST_PICK | Physical map: True | Traceability layer: True,True,True
BATCH-004-01,SKU-SUP-004,Winter Soup Mix 400g,Grocery,0.0,2026-05-29,EXPIRED_BATCH,False,False,True,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,LOC-TC-002,TRACE_ONLY,30.0,30.0,1.0,PALLET_STORAGE,BATCH-004-01 -> LOC-TC-002,EXPIRED_BATCH,TRACE_ONLY_BATCH,GRAY,999,BATCH-004-01 | EXPIRED_BATCH,Batch: BATCH-004-01 | SKU: SKU-SUP-004 | Product: Winter Soup Mix 400g | Quantity: 0.0 | Expiry: 2026-05-29 00:00:00 | Status: EXPIRED_BATCH | Location: LOC-TC-002 | Zone: TRACE_ONLY | Physical map: False | Traceability layer: True | Warnings: TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP | Info: TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,False,True
BATCH-004-02,SKU-SUP-004,Winter Soup Mix 400g,Grocery,0.0,2026-06-16,EXPIRED_BATCH,False,False,True,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,LOC-TC-002,TRACE_ONLY,30.0,30.0,1.0,PALLET_STORAGE,BATCH-004-02 -> LOC-TC-002,EXPIRED_BATCH,TRACE_ONLY_BATCH,GRAY,999,BATCH-004-02 | EXPIRED_BATCH,Batch: BATCH-004-02 | SKU: SKU-SUP-004 | Product: Winter Soup Mix 400g | Quantity: 0.0 | Expiry: 2026-06-16 00:00:00 | Status: EXPIRED_BATCH | Location: LOC-TC-002 | Zone: TRACE_ONLY | Physical map: False | Traceability layer: True | Warnings: TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP | Info: TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,False,True
BATCH-004-03,SKU-SUP-004,Winter Soup Mix 400g,Grocery,0.0,2026-07-20,NEAR_EXPIRY_BATCH,False,False,True,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,LOC-TC-002,TRACE_ONLY,30.0,30.0,1.0,PALLET_STORAGE,BATCH-004-03 -> LOC-TC-002,NEAR_EXPIRY_BATCH,TRACE_ONLY_BATCH,GRAY,999,BATCH-004-03 | NEAR_EXPIRY_BATCH,Batch: BATCH-004-03 | SKU: SKU-SUP-004 | Product: Winter Soup Mix 400g | Quantity: 0.0 | Expiry: 2026-07-20 00:00:00 | Status: NEAR_EXPIRY_BATCH | Location: LOC-TC-002 | Zone: TRACE_ONLY | Physical map: False | Traceability layer: True | Warnings: TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP | Info: TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,False,True
BATCH-004-04,SKU-SUP-004,Winter Soup Mix 400g,Grocery,0.0,2026-10-22,HEALTHY_BATCH,False,False,True,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,LOC-TC-002,TRACE_ONLY,30.0,30.0,1.0,PALLET_STORAGE,BATCH-004-04 -> LOC-TC-002,HEALTHY_BATCH,TRACE_ONLY_BATCH,GRAY,999,BATCH-004-04 | HEALTHY_BATCH,Batch: BATCH-004-04 | SKU: SKU-SUP-004 | Product: Winter Soup Mix 400g | Quantity: 0.0 | Expiry: 2026-10-22 00:00:00 | Status: HEALTHY_BATCH | Location: LOC-TC-002 | Zone: TRACE_ONLY | Physical map: False | Traceability layer: True | Warnings: TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP | Info: TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,False,True
