planning_run_id,candidate_id,machine_id,machine_name,candidate_type,source_signal,maintenance_plan_id,failure_mode_id,required_skill_id,required_crew_type,required_worker_count,maintenance_level,required_authorization_level,can_be_performed_by_production_flag,can_be_performed_by_maintenance_flag,candidate_requirement_completeness_status,estimated_duration_hours,planned_downtime_hours,due_status,breakdown_risk_level,spare_part_readiness_status,crew_capacity_status,production_impact_level,bottleneck_impact_level,recommended_scheduling_priority,scheduling_blocker_status,earliest_start_placeholder,latest_finish_placeholder,schedule_assignment_status,note_no_schedule_created_flag,confirmation_status,source_phase,advisory_only_flag
PHASE4-MPS-20260711131832,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,DUE_MAINTENANCE,MAINTENANCE_DUE_STATUS,MP-FRAME-LIGHT-001,,SKILL-CLEANING,PRODUCTION,1.0,LIGHT,BASIC,True,True,COMPLETE,0.75,0.5,DUE_SOON,CRITICAL,READY,FEASIBLE,CRITICAL,CRITICAL,1,READY_FOR_STEP7G,STEP7G_TO_ASSIGN,STEP7G_TO_ASSIGN,NOT_SCHEDULED_CANDIDATE_ONLY,True,PLANNING_IMPACT_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260711131832,MAINT-CAND-002,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,OVERDUE_MAINTENANCE,MAINTENANCE_DUE_STATUS,MP-FRAME-MED-001,,SKILL-MECH-MAINT,MAINTENANCE,1.0,MEDIUM,ADVANCED,False,True,COMPLETE,3.0,3.0,OVERDUE,CRITICAL,READY,REVIEW_REQUIRED,CRITICAL,CRITICAL,1,CREW_BLOCKED,STEP7G_TO_ASSIGN,STEP7G_TO_ASSIGN,NOT_SCHEDULED_CANDIDATE_ONLY,True,PLANNING_IMPACT_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260711131832,MAINT-CAND-003,M-WHEEL-TRUE-001,Wheel Truing Stand,OVERDUE_MAINTENANCE,MAINTENANCE_DUE_STATUS,MP-WHEEL-LIGHT-001,,SKILL-BOLT-TIGHTENING,PRODUCTION,1.0,LIGHT,BASIC,True,True,COMPLETE,0.5,0.25,OVERDUE,CRITICAL,READY,FEASIBLE,CRITICAL,CRITICAL,1,READY_FOR_STEP7G,STEP7G_TO_ASSIGN,STEP7G_TO_ASSIGN,NOT_SCHEDULED_CANDIDATE_ONLY,True,PLANNING_IMPACT_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260711131832,MAINT-CAND-004,M-WHEEL-TRUE-001,Wheel Truing Stand,DUE_MAINTENANCE,MAINTENANCE_DUE_STATUS,MP-WHEEL-MED-001,,SKILL-MECH-MAINT,MAINTENANCE,1.0,MEDIUM,ADVANCED,False,True,COMPLETE,2.5,2.5,DUE_SOON,CRITICAL,READY,REVIEW_REQUIRED,CRITICAL,CRITICAL,1,CREW_BLOCKED,STEP7G_TO_ASSIGN,STEP7G_TO_ASSIGN,NOT_SCHEDULED_CANDIDATE_ONLY,True,PLANNING_IMPACT_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260711131832,MAINT-CAND-005,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,OVERDUE_MAINTENANCE,MAINTENANCE_DUE_STATUS,MP-BRAKE-MED-001,,SKILL-MECH-MAINT,MAINTENANCE,1.0,MEDIUM,ADVANCED,False,True,COMPLETE,2.0,2.0,OVERDUE,CRITICAL,READY,REVIEW_REQUIRED,HIGH,CRITICAL,1,CREW_BLOCKED,STEP7G_TO_ASSIGN,STEP7G_TO_ASSIGN,NOT_SCHEDULED_CANDIDATE_ONLY,True,PLANNING_IMPACT_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260711131832,MAINT-CAND-006,M-FORK-BENCH-001,Fork and Suspension Prep Bench,OVERDUE_MAINTENANCE,MAINTENANCE_DUE_STATUS,MP-FORK-LIGHT-001,,SKILL-LUBRICATION,PRODUCTION,1.0,LIGHT,BASIC,True,True,COMPLETE,0.75,0.5,OVERDUE,CRITICAL,READY,FEASIBLE,HIGH,CRITICAL,1,READY_FOR_STEP7G,STEP7G_TO_ASSIGN,STEP7G_TO_ASSIGN,NOT_SCHEDULED_CANDIDATE_ONLY,True,PLANNING_IMPACT_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260711131832,MAINT-CAND-007,M-FORK-BENCH-001,Fork and Suspension Prep Bench,DUE_MAINTENANCE,MAINTENANCE_DUE_STATUS,MP-FORK-MED-001,,SKILL-MECH-MAINT,MAINTENANCE,1.0,MEDIUM,ADVANCED,False,True,COMPLETE,3.5,3.5,DUE_SOON,CRITICAL,INVENTORY_REVIEW_REQUIRED,REVIEW_REQUIRED,HIGH,CRITICAL,16,SPARE_AND_CREW_BLOCKED,STEP7G_TO_ASSIGN,STEP7G_TO_ASSIGN,NOT_SCHEDULED_CANDIDATE_ONLY,True,PLANNING_IMPACT_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260711131832,MAINT-CAND-008,M-FINAL-STAND-001,Final Assembly Stand,OVERDUE_MAINTENANCE,MAINTENANCE_DUE_STATUS,MP-FINAL-LIGHT-001,,SKILL-LUBRICATION,PRODUCTION,1.0,LIGHT,BASIC,True,True,COMPLETE,0.75,0.5,OVERDUE,CRITICAL,READY,FEASIBLE,CRITICAL,CRITICAL,1,READY_FOR_STEP7G,STEP7G_TO_ASSIGN,STEP7G_TO_ASSIGN,NOT_SCHEDULED_CANDIDATE_ONLY,True,PLANNING_IMPACT_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260711131832,MAINT-CAND-009,M-FINAL-STAND-001,Final Assembly Stand,DUE_MAINTENANCE,MAINTENANCE_DUE_STATUS,MP-FINAL-MED-001,,SKILL-MECH-MAINT,MAINTENANCE,1.0,MEDIUM,ADVANCED,False,True,COMPLETE,3.0,3.0,DUE_SOON,CRITICAL,INVENTORY_REVIEW_REQUIRED,REVIEW_REQUIRED,CRITICAL,CRITICAL,6,SPARE_AND_CREW_BLOCKED,STEP7G_TO_ASSIGN,STEP7G_TO_ASSIGN,NOT_SCHEDULED_CANDIDATE_ONLY,True,PLANNING_IMPACT_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260711131832,MAINT-CAND-010,M-QC-TOOLS-001,QC Inspection Tool Set,OVERDUE_MAINTENANCE,MAINTENANCE_DUE_STATUS,MP-QC-CAL-001,,SKILL-ELEC-MAINT,MAINTENANCE,1.0,MEDIUM,EXPERT,False,True,COMPLETE,2.0,2.0,OVERDUE,CRITICAL,INVENTORY_REVIEW_REQUIRED,REVIEW_REQUIRED,HIGH,CRITICAL,1,SPARE_AND_CREW_BLOCKED,STEP7G_TO_ASSIGN,STEP7G_TO_ASSIGN,NOT_SCHEDULED_CANDIDATE_ONLY,True,PLANNING_IMPACT_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260711131832,MAINT-CAND-011,M-QC-TOOLS-001,QC Inspection Tool Set,PLANNED_MAINTENANCE,MAINTENANCE_DUE_STATUS,MP-QC-BREAKDOWN-001,,SKILL-CORRECTIVE,MAINTENANCE,1.0,BREAKDOWN_REPAIR_PLACEHOLDER,ADVANCED,False,True,COMPLETE,0.0,0.0,REVIEW_REQUIRED,CRITICAL,INVENTORY_REVIEW_REQUIRED,REVIEW_REQUIRED,HIGH,CRITICAL,41,SPARE_AND_CREW_BLOCKED,STEP7G_TO_ASSIGN,STEP7G_TO_ASSIGN,NOT_SCHEDULED_CANDIDATE_ONLY,True,PLANNING_IMPACT_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260711131832,MAINT-CAND-012,M-PACK-BENCH-001,Packaging Bench and Tool Set,DUE_MAINTENANCE,MAINTENANCE_DUE_STATUS,MP-PACK-MED-001,,SKILL-LIGHT-MAINT,MAINTENANCE,1.0,MEDIUM,INTERMEDIATE,False,True,COMPLETE,1.5,1.5,DUE_SOON,MEDIUM,READY,REVIEW_REQUIRED,HIGH,CRITICAL,31,CREW_BLOCKED,STEP7G_TO_ASSIGN,STEP7G_TO_ASSIGN,NOT_SCHEDULED_CANDIDATE_ONLY,True,PLANNING_IMPACT_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260711131832,MAINT-CAND-013,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,REPAIR_RISK_REVIEW,BREAKDOWN_RISK_FORECAST,,FM-FRAME-ALIGN-001,SKILL-MECH-MAINT,MAINTENANCE,1.0,MEDIUM,REPAIR,False,True,COMPLETE,3.0,4.0,,CRITICAL,REVIEW_REQUIRED,FEASIBLE,CRITICAL,CRITICAL,11,SPARE_PART_BLOCKED,STEP7G_TO_ASSIGN,STEP7G_TO_ASSIGN,NOT_SCHEDULED_CANDIDATE_ONLY,True,PLANNING_IMPACT_ESTIMATE_ONLY_NOT_EXECUTION_CONFIRMED,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
