planning_run_id,machine_id,machine_name,failure_mode_id,failure_mode_name,failure_mode_category,severity_level,expected_downtime_hours,expected_repair_hours,required_maintenance_level,required_skill_id,likely_spare_part_sku,spare_part_readiness_status,failure_mode_exposure_level,exposure_reason,source_phase,advisory_only_flag
PHASE4-MPS-20260702135436,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,FM-FRAME-ALIGN-001,Frame jig alignment drift,ALIGNMENT_DRIFT,HIGH,4.0,3.0,MEDIUM,SKILL-MECH-MAINT,SP-FRAME-JIG-PAD-001,READY,HIGH,HIGH severity; spare readiness READY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260702135436,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,FM-FRAME-BEAR-001,Frame fixture bearing wear,BEARING_WEAR,MEDIUM,2.5,2.0,MEDIUM,SKILL-MECH-MAINT,SP-BEARING-KIT-001,READY,MEDIUM,MEDIUM severity; spare readiness READY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260702135436,M-WHEEL-TRUE-001,Wheel Truing Stand,FM-WHEEL-BEAR-001,Wheel truing bearing wear,BEARING_WEAR,HIGH,3.5,2.5,MEDIUM,SKILL-MECH-MAINT,SP-BEARING-KIT-001,READY,HIGH,HIGH severity; spare readiness READY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260702135436,M-WHEEL-TRUE-001,Wheel Truing Stand,FM-WHEEL-ALIGN-001,Wheel truing alignment drift,ALIGNMENT_DRIFT,MEDIUM,2.0,1.5,LIGHT,SKILL-BASIC-ADJUSTMENT,SP-WHEEL-TRUING-SPARE-001,READY,MEDIUM,MEDIUM severity; spare readiness READY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260702135436,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,FM-BRAKE-TOOL-001,Brake bench tool wear,TOOL_WEAR,MEDIUM,1.8,1.2,LIGHT,SKILL-BASIC-ADJUSTMENT,SP-BRAKE-BENCH-TOOL-001,READY,MEDIUM,MEDIUM severity; spare readiness READY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260702135436,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,FM-BRAKE-SENSOR-001,Brake bench sensor fault,SENSOR_FAILURE,HIGH,3.0,2.0,MEDIUM,SKILL-ELEC-MAINT,SP-ELECTRICAL-SENSOR-001,INVENTORY_REVIEW_REQUIRED,CRITICAL,HIGH severity; spare readiness INVENTORY_REVIEW_REQUIRED,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260702135436,M-FORK-BENCH-001,Fork and Suspension Prep Bench,FM-FORK-SEAL-001,Fork suspension seal leakage,SEAL_LEAKAGE,HIGH,4.5,3.0,MEDIUM,SKILL-MECH-MAINT,SP-FORK-SUSP-SEAL-001,INVENTORY_REVIEW_REQUIRED,CRITICAL,HIGH severity; spare readiness INVENTORY_REVIEW_REQUIRED,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260702135436,M-FORK-BENCH-001,Fork and Suspension Prep Bench,FM-FORK-LUBE-001,Fork bench lubrication issue,LUBRICATION_ISSUE,MEDIUM,2.0,1.0,LIGHT,SKILL-LUBRICATION,SP-LUBE-OIL-001,READY,MEDIUM,MEDIUM severity; spare readiness READY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260702135436,M-FINAL-STAND-001,Final Assembly Stand,FM-FINAL-JIG-001,Final assembly jig wear,FIXTURE_WEAR,CRITICAL,6.0,4.0,HEAVY,SKILL-HEAVY-OVERHAUL,SP-FINAL-ASM-JIG-001,INVENTORY_REVIEW_REQUIRED,CRITICAL,CRITICAL severity; spare readiness INVENTORY_REVIEW_REQUIRED,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260702135436,M-FINAL-STAND-001,Final Assembly Stand,FM-FINAL-BEAR-001,Final assembly stand bearing wear,BEARING_WEAR,HIGH,3.5,2.5,MEDIUM,SKILL-MECH-MAINT,SP-BEARING-KIT-001,READY,HIGH,HIGH severity; spare readiness READY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260702135436,M-QC-TOOLS-001,QC Inspection Tool Set,FM-QC-CAL-001,QC calibration drift,CALIBRATION_DRIFT,HIGH,2.5,1.5,CALIBRATION,SKILL-ELEC-MAINT,SP-QC-CALIBRATION-KIT-001,INVENTORY_REVIEW_REQUIRED,CRITICAL,HIGH severity; spare readiness INVENTORY_REVIEW_REQUIRED,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260702135436,M-QC-TOOLS-001,QC Inspection Tool Set,FM-QC-SENSOR-001,QC sensor failure,SENSOR_FAILURE,CRITICAL,5.0,3.0,MEDIUM,SKILL-ELEC-MAINT,SP-ELECTRICAL-SENSOR-001,INVENTORY_REVIEW_REQUIRED,CRITICAL,CRITICAL severity; spare readiness INVENTORY_REVIEW_REQUIRED,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260702135436,M-PACK-BENCH-001,Packaging Bench and Tool Set,FM-PACK-TOOL-001,Packaging bench tool wear,TOOL_WEAR,LOW,1.0,0.5,LIGHT,SKILL-CLEANING,SP-PACK-BENCH-SPARE-001,READY,LOW,LOW severity; spare readiness READY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260702135436,M-PACK-BENCH-001,Packaging Bench and Tool Set,FM-PACK-ELECT-001,Packaging bench electrical fault,ELECTRICAL_FAULT,MEDIUM,2.5,1.5,MEDIUM,SKILL-ELEC-MAINT,SP-ELECTRICAL-SENSOR-001,INVENTORY_REVIEW_REQUIRED,MEDIUM,MEDIUM severity; spare readiness INVENTORY_REVIEW_REQUIRED,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
