spare_part_sku,spare_part_name,machine_id,machine_type,maintenance_level,quantity_per_light_maintenance,quantity_per_medium_maintenance,quantity_per_heavy_maintenance,quantity_per_breakdown_repair,criticality,source_phase,advisory_only_flag
SP-LUBE-OIL-001,General Machine Lubricating Oil,M-FRAME-JIG-001,FRAME_ALIGNMENT_FIXTURE,LIGHT,0.25,0.5,1.0,1.0,HIGH,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-FRAME-JIG-PAD-001,Frame Jig Wear Pad Kit,M-FRAME-JIG-001,FRAME_ALIGNMENT_FIXTURE,MEDIUM,0.0,1.0,2.0,2.0,HIGH,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-WHEEL-TRUING-SPARE-001,Wheel Truing Stand Spare Kit,M-WHEEL-TRUE-001,WHEEL_TRUING_STAND,MEDIUM,0.0,1.0,1.0,2.0,MEDIUM,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-BEARING-KIT-001,General Bearing Replacement Kit,M-WHEEL-TRUE-001,WHEEL_TRUING_STAND,BREAKDOWN_REPAIR,0.0,0.5,1.0,1.0,CRITICAL,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-BRAKE-BENCH-TOOL-001,Brake Bench Tool Spare Set,M-BRAKE-BENCH-001,BRAKE_ASSEMBLY_TOOLS,GENERAL,0.0,1.0,1.0,1.0,MEDIUM,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-FORK-SUSP-SEAL-001,Fork Suspension Seal Kit,M-FORK-BENCH-001,FORK_SUSPENSION_BENCH,MEDIUM,0.0,1.0,2.0,2.0,CRITICAL,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-LUBE-OIL-001,General Machine Lubricating Oil,M-FORK-BENCH-001,FORK_SUSPENSION_BENCH,LIGHT,0.25,0.5,1.0,1.0,HIGH,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-FINAL-ASM-JIG-001,Final Assembly Jig Spare Kit,M-FINAL-STAND-001,BIKE_ASSEMBLY_STAND,MEDIUM,0.0,1.0,2.0,2.0,HIGH,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-BEARING-KIT-001,General Bearing Replacement Kit,M-FINAL-STAND-001,BIKE_ASSEMBLY_STAND,BREAKDOWN_REPAIR,0.0,0.25,1.0,1.0,CRITICAL,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-QC-CALIBRATION-KIT-001,QC Calibration Kit,M-QC-TOOLS-001,INSPECTION_TOOLS,CALIBRATION,0.0,1.0,1.0,1.0,CRITICAL,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-ELECTRICAL-SENSOR-001,General Machine Sensor Kit,M-QC-TOOLS-001,INSPECTION_TOOLS,BREAKDOWN_REPAIR,0.0,0.0,1.0,1.0,CRITICAL,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
SP-PACK-BENCH-SPARE-001,Packaging Bench Spare Kit,M-PACK-BENCH-001,PACKAGING_TOOLS,GENERAL,0.0,1.0,1.0,1.0,LOW,SHARED_STEP7B_SPARE_PART_SKU_INTEGRATION,True
