machine_id,maintenance_plan_id,last_maintenance_date,operations_since_last_maintenance,days_since_last_maintenance,last_maintenance_level,current_condition_status,known_issue_flag,maintenance_state_source,active_flag,advisory_only_flag,notes
M-FRAME-JIG-001,MP-FRAME-LIGHT-001,2026-06-18,108,12,LIGHT,GOOD,False,SYNTHETIC_PLANNING_STATE,True,True,Near due soon for light maintenance.
M-FRAME-JIG-001,MP-FRAME-MED-001,2026-05-01,640,60,MEDIUM,MONITOR,True,SYNTHETIC_PLANNING_STATE,True,True,Operations threshold exceeded.
M-FRAME-JIG-001,MP-FRAME-HEAVY-001,2026-01-15,2100,166,HEAVY,GOOD,False,MANUFACTURER_ASSUMPTION,True,True,Not due.
M-WHEEL-TRUE-001,MP-WHEEL-LIGHT-001,2026-06-14,151,16,LIGHT,MONITOR,False,SYNTHETIC_PLANNING_STATE,True,True,Light maintenance due.
M-WHEEL-TRUE-001,MP-WHEEL-MED-001,2026-04-10,580,81,MEDIUM,GOOD,False,SYNTHETIC_PLANNING_STATE,True,True,Due soon.
M-WHEEL-TRUE-001,MP-WHEEL-HEAVY-001,2026-02-01,1900,150,HEAVY,GOOD,False,MANUFACTURER_ASSUMPTION,True,True,Not due.
M-BRAKE-BENCH-001,MP-BRAKE-LIGHT-001,2026-06-20,70,10,LIGHT,GOOD,False,SYNTHETIC_PLANNING_STATE,True,True,Not due.
M-BRAKE-BENCH-001,MP-BRAKE-MED-001,2026-04-25,690,66,MEDIUM,DEGRADED,True,SYNTHETIC_PLANNING_STATE,True,True,Operations overdue.
M-FORK-BENCH-001,MP-FORK-LIGHT-001,2026-06-12,94,18,LIGHT,MONITOR,False,SYNTHETIC_PLANNING_STATE,True,True,Time overdue.
M-FORK-BENCH-001,MP-FORK-MED-001,2026-05-05,430,56,MEDIUM,MONITOR,False,SYNTHETIC_PLANNING_STATE,True,True,Due soon.
M-FINAL-STAND-001,MP-FINAL-LIGHT-001,2026-06-16,165,14,LIGHT,MONITOR,False,SYNTHETIC_PLANNING_STATE,True,True,Operations overdue.
M-FINAL-STAND-001,MP-FINAL-MED-001,2026-05-01,610,60,MEDIUM,MONITOR,False,SYNTHETIC_PLANNING_STATE,True,True,Due soon.
M-FINAL-STAND-001,MP-FINAL-HEAVY-001,2026-01-20,1800,161,HEAVY,GOOD,False,MANUFACTURER_ASSUMPTION,True,True,Not due.
M-QC-TOOLS-001,MP-QC-CAL-001,2026-05-08,0,53,MEDIUM,MONITOR,False,SYNTHETIC_PLANNING_STATE,True,True,Calibration overdue.
M-QC-TOOLS-001,MP-QC-BREAKDOWN-001,2026-06-01,0,29,BREAKDOWN_REPAIR_PLACEHOLDER,UNKNOWN,False,MANUFACTURER_ASSUMPTION,True,True,Placeholder only.
M-PACK-BENCH-001,MP-PACK-LIGHT-001,2026-06-22,80,8,LIGHT,GOOD,False,SYNTHETIC_PLANNING_STATE,True,True,Not due.
M-PACK-BENCH-001,MP-PACK-MED-001,2026-04-15,0,76,MEDIUM,GOOD,False,SYNTHETIC_PLANNING_STATE,True,True,Due soon.
