sku_id,product_name,category,main_inventory_status,primary_action,action_priority,main_cost_driver,cost_risk_level,current_inventory,inventory_position,recommended_order_quantity,primary_visual_location_id,replenishment_visual_location_id,quarantine_visual_location_id,fefo_visual_location_id,primary_visual_quantity,replenishment_visual_quantity,quarantine_visual_quantity,fefo_visual_quantity,primary_visual_volume_m3,replenishment_visual_volume_m3,quarantine_visual_volume_m3,fefo_visual_volume_m3,visual_status_group,visual_warning_flags,visual_info_flags,slotting_warning_flags,slotting_info_flags,sku_causes_projected_staging_pressure,sku_replenishment_staging_warning,sku_replenishment_staging_reason,map_x,map_y,map_z,map_zone,map_label,map_color_group,visual_layer,visual_color_group_resolved,visual_color_name,visual_priority,visual_label,visual_hover_text,show_primary_on_map,show_replenishment_on_map,show_quarantine_on_map,show_fefo_on_map
SKU-SUP-004,Winter Soup Mix 400g,Grocery,STOCKOUT,EXPEDITE_ORDER,URGENT,PURCHASE_COST,CRITICAL,-18.0,-18.0,1200.0,LOC-TC-001,LOC-TC-001,,,0.0,1200.0,0.0,0.0,0.0,7.2,0.0,0.0,STOCKOUT,,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,FAST_MOVING_ITEM_TOO_FAR;ZERO_QUANTITY_EXPIRED_BATCH_TRACE_ONLY;ZERO_QUANTITY_NEAR_EXPIRY_BATCH_TRACE_ONLY;PROJECTED_CAPACITY_PRESSURE;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,CAPABILITY_MATCH_NON_EXACT_ZONE;TRAVEL_THRESHOLD_USES_ONE_WAY;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,True,PROJECTED_CAPACITY_PRESSURE;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,"Recommended replenishment quantity is staged through LOC-TC-001, whose projected utilization is under pressure. Review staging capacity before ordering.",18.0,30.0,1.0,CASE_PICKING,SKU-SUP-004 -> LOC-TC-001,STOCKOUT,PRIMARY_STORAGE,STOCKOUT,RED,6,SKU-SUP-004 | CASE_PICKING | STOCKOUT,SKU: SKU-SUP-004 | Product: Winter Soup Mix 400g | Primary location: LOC-TC-001 | Replenishment location: LOC-TC-001 | Primary quantity: 0.0 | Replenishment quantity: 1200.0 | Quarantine quantity: 0.0 | FEFO quantity: 0.0 | Current inventory: -18.0 | Recommended order: 1200.0 | Status: STOCKOUT | Action: EXPEDITE_ORDER | Warnings: FAST_MOVING_ITEM_TOO_FAR; ZERO_QUANTITY_EXPIRED_BATCH_TRACE_ONLY; ZERO_QUANTITY_NEAR_EXPIRY_BATCH_TRACE_ONLY; PROJECTED_CAPACITY_PRESSURE; SKU_CAUSES_PROJECTED_STAGING_PRESSURE | Info: CAPABILITY_MATCH_NON_EXACT_ZONE; CURRENT_VS_PROJECTED_CAPACITY_SPLIT; TRAVEL_THRESHOLD_USES_ONE_WAY,False,True,False,False
SKU-COF-001,House Blend Coffee 1kg,Grocery,REORDER_NOW,REVIEW_SUPPLIER_BEFORE_ORDER,HIGH,PURCHASE_COST,CRITICAL,420.0,420.0,1880.0,LOC-FP-001,LOC-RC-001,,,420.0,1880.0,0.0,0.0,1.68,7.52,0.0,0.0,REORDER_NOW,REPLENISHMENT_STAGING_OVER_CAPACITY;RECEIVING_CAPACITY_REVIEW_REQUIRED,REPLENISHMENT_STAGED_IN_RECEIVING;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,REPLENISHMENT_STAGING_OVER_CAPACITY;SKU_CAUSES_PROJECTED_STAGING_PRESSURE;RECEIVING_CAPACITY_REVIEW_REQUIRED,PRIMARY_REPLENISHMENT_LOCATION_ROLE_SPLIT;REPLENISHMENT_STAGED_IN_RECEIVING;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,True,REPLENISHMENT_STAGING_OVER_CAPACITY;SKU_CAUSES_PROJECTED_STAGING_PRESSURE;RECEIVING_CAPACITY_REVIEW_REQUIRED,"Recommended replenishment quantity is staged through LOC-RC-001, whose projected utilization exceeds capacity. Review receiving/staging capacity before ordering.",12.0,8.0,1.0,FAST_PICK,SKU-COF-001 -> LOC-FP-001,REORDER_NOW,PRIMARY_STORAGE,PROJECTED_OVER_CAPACITY,ORANGE,4,SKU-COF-001 | FAST_PICK | REORDER_NOW,SKU: SKU-COF-001 | Product: House Blend Coffee 1kg | Primary location: LOC-FP-001 | Replenishment location: LOC-RC-001 | Primary quantity: 420.0 | Replenishment quantity: 1880.0 | Quarantine quantity: 0.0 | FEFO quantity: 0.0 | Current inventory: 420.0 | Recommended order: 1880.0 | Status: REORDER_NOW | Action: REVIEW_SUPPLIER_BEFORE_ORDER | Warnings: REPLENISHMENT_STAGING_OVER_CAPACITY; RECEIVING_CAPACITY_REVIEW_REQUIRED; SKU_CAUSES_PROJECTED_STAGING_PRESSURE | Info: REPLENISHMENT_STAGED_IN_RECEIVING; CURRENT_VS_PROJECTED_CAPACITY_SPLIT; PRIMARY_REPLENISHMENT_LOCATION_ROLE_SPLIT,True,True,False,False
SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,STOCKOUT,EXPEDITE_ORDER,URGENT,PURCHASE_COST,CRITICAL,-6.0,-6.0,400.0,LOC-SC-001,LOC-SC-001,,,0.0,400.0,0.0,0.0,0.0,0.8,0.0,0.0,STOCKOUT,,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,PROJECTED_CAPACITY_PRESSURE;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,True,PROJECTED_CAPACITY_PRESSURE;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,"Recommended replenishment quantity is staged through LOC-SC-001, whose projected utilization is under pressure. Review staging capacity before ordering.",34.0,8.0,2.0,EACH_PICKING,SKU-BAT-008 -> LOC-SC-001,STOCKOUT,PRIMARY_STORAGE,STOCKOUT,RED,6,SKU-BAT-008 | EACH_PICKING | STOCKOUT,SKU: SKU-BAT-008 | Product: Lithium Coin Battery CR2032 | Primary location: LOC-SC-001 | Replenishment location: LOC-SC-001 | Primary quantity: 0.0 | Replenishment quantity: 400.0 | Quarantine quantity: 0.0 | FEFO quantity: 0.0 | Current inventory: -6.0 | Recommended order: 400.0 | Status: STOCKOUT | Action: EXPEDITE_ORDER | Warnings: PROJECTED_CAPACITY_PRESSURE; SKU_CAUSES_PROJECTED_STAGING_PRESSURE | Info: CAPABILITY_MATCH_NON_EXACT_ZONE; CURRENT_VS_PROJECTED_CAPACITY_SPLIT,False,True,False,False
SKU-BIKE-MT-001,Mountain Bike,Bicycles,CRITICAL_LOW_STOCK,ORDER_RECOMMENDED_QUANTITY,HIGH,PURCHASE_COST,CRITICAL,14.0,14.0,70.0,LOC-SC-002,LOC-SC-002,,,14.0,70.0,0.0,0.0,8.12,40.6,0.0,0.0,REORDER_NOW,REPLENISHMENT_STAGING_OVER_CAPACITY,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,INSUFFICIENT_SPACE_AFTER_ORDER;FRAGILE_ITEM_HIGH_LEVEL;REPLENISHMENT_STAGING_OVER_CAPACITY;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,True,REPLENISHMENT_STAGING_OVER_CAPACITY;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,"Recommended replenishment quantity is staged through LOC-SC-002, whose projected utilization exceeds capacity. Review receiving/staging capacity before ordering.",46.0,32.0,3.0,SLOW_PICK,SKU-BIKE-MT-001 -> LOC-SC-002,REORDER_NOW,PRIMARY_STORAGE,CRITICAL_LOW_STOCK,ORANGE,4,SKU-BIKE-MT-001 | SLOW_PICK | CRITICAL_LOW_STOCK,SKU: SKU-BIKE-MT-001 | Product: Mountain Bike | Primary location: LOC-SC-002 | Replenishment location: LOC-SC-002 | Primary quantity: 14.0 | Replenishment quantity: 70.0 | Quarantine quantity: 0.0 | FEFO quantity: 0.0 | Current inventory: 14.0 | Recommended order: 70.0 | Status: CRITICAL_LOW_STOCK | Action: ORDER_RECOMMENDED_QUANTITY | Warnings: REPLENISHMENT_STAGING_OVER_CAPACITY; INSUFFICIENT_SPACE_AFTER_ORDER; FRAGILE_ITEM_HIGH_LEVEL; SKU_CAUSES_PROJECTED_STAGING_PRESSURE | Info: CAPABILITY_MATCH_NON_EXACT_ZONE; CURRENT_VS_PROJECTED_CAPACITY_SPLIT,True,True,False,False
SKU-TEA-002,Iced Tea Peach 500ml,Beverages,ZERO_STOCK,ORDER_RECOMMENDED_QUANTITY,HIGH,PURCHASE_COST,CRITICAL,0.0,0.0,880.0,LOC-TC-002,LOC-TC-002,,,0.0,880.0,0.0,0.0,0.0,2.64,0.0,0.0,REORDER_NOW,,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,ZERO_QUANTITY_EXPIRED_BATCH_TRACE_ONLY,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,False,,Recommended replenishment quantity can be staged through LOC-TC-002 within current configured capacity.,30.0,30.0,1.0,PALLET_STORAGE,SKU-TEA-002 -> LOC-TC-002,REORDER_NOW,PRIMARY_STORAGE,ZERO_STOCK,RED,21,SKU-TEA-002 | PALLET_STORAGE | ZERO_STOCK,SKU: SKU-TEA-002 | Product: Iced Tea Peach 500ml | Primary location: LOC-TC-002 | Replenishment location: LOC-TC-002 | Primary quantity: 0.0 | Replenishment quantity: 880.0 | Quarantine quantity: 0.0 | FEFO quantity: 0.0 | Current inventory: 0.0 | Recommended order: 880.0 | Status: ZERO_STOCK | Action: ORDER_RECOMMENDED_QUANTITY | Warnings: ZERO_QUANTITY_EXPIRED_BATCH_TRACE_ONLY | Info: CAPABILITY_MATCH_NON_EXACT_ZONE; CURRENT_VS_PROJECTED_CAPACITY_SPLIT,False,True,False,False
SKU-BIKE-ROAD-001,Road Bike,Bicycles,CRITICAL_LOW_STOCK,ORDER_RECOMMENDED_QUANTITY,HIGH,PURCHASE_COST,CRITICAL,18.0,18.0,86.0,,,,,18.0,86.0,0.0,0.0,8.1,38.7,0.0,0.0,NO_FEASIBLE_LOCATION,NO_FEASIBLE_LOCATION_FOUND,,NO_FEASIBLE_LOCATION_FOUND;MISSING_LOCATION_DATA;INSUFFICIENT_SPACE_AFTER_ORDER,,,,No replenishment staging quantity is assigned for this SKU.,34.0,8.0,2.0,EACH_PICKING,SKU-BIKE-ROAD-001 -> LOC-SC-001,NO_FEASIBLE_LOCATION,PRIMARY_STORAGE,CRITICAL_LOW_STOCK,ORANGE,1,SKU-BIKE-ROAD-001 | EACH_PICKING | CRITICAL_LOW_STOCK,SKU: SKU-BIKE-ROAD-001 | Product: Road Bike | Primary quantity: 18.0 | Replenishment quantity: 86.0 | Quarantine quantity: 0.0 | FEFO quantity: 0.0 | Current inventory: 18.0 | Recommended order: 86.0 | Status: CRITICAL_LOW_STOCK | Action: ORDER_RECOMMENDED_QUANTITY | Warnings: NO_FEASIBLE_LOCATION_FOUND; MISSING_LOCATION_DATA; INSUFFICIENT_SPACE_AFTER_ORDER,True,True,False,False
SKU-COMP-BRAKE-FRONT-001,UNKNOWN,UNKNOWN,OVERSTOCK,REDUCE_FUTURE_ORDERS,MEDIUM,OVERSTOCK_COST,HIGH,160.0,160.0,80.0,LOC-EP-001,LOC-EP-001,,,160.0,80.0,0.0,0.0,2.4,1.2,0.0,0.0,OVERSTOCK,,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,PROJECTED_CAPACITY_PRESSURE;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,True,PROJECTED_CAPACITY_PRESSURE;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,"Recommended replenishment quantity is staged through LOC-EP-001, whose projected utilization is under pressure. Review staging capacity before ordering.",8.0,30.0,3.0,EACH_PICKING,SKU-COMP-BRAKE-FRONT-001 -> LOC-EP-001,OVERSTOCK,PRIMARY_STORAGE,PROJECTED_OVER_CAPACITY,ORANGE,13,SKU-COMP-BRAKE-FRONT-001 | EACH_PICKING | OVERSTOCK,SKU: SKU-COMP-BRAKE-FRONT-001 | Product: UNKNOWN | Primary location: LOC-EP-001 | Replenishment location: LOC-EP-001 | Primary quantity: 160.0 | Replenishment quantity: 80.0 | Quarantine quantity: 0.0 | FEFO quantity: 0.0 | Current inventory: 160.0 | Recommended order: 80.0 | Status: OVERSTOCK | Action: REDUCE_FUTURE_ORDERS | Warnings: PROJECTED_CAPACITY_PRESSURE; SKU_CAUSES_PROJECTED_STAGING_PRESSURE | Info: CAPABILITY_MATCH_NON_EXACT_ZONE; CURRENT_VS_PROJECTED_CAPACITY_SPLIT,True,True,False,False
SKU-COMP-BRAKE-REAR-001,UNKNOWN,UNKNOWN,OVERSTOCK,REDUCE_FUTURE_ORDERS,MEDIUM,OVERSTOCK_COST,HIGH,155.0,155.0,80.0,LOC-SC-002,LOC-SC-002,,,155.0,80.0,0.0,0.0,2.32,1.2,0.0,0.0,PROJECTED_OVER_CAPACITY,REPLENISHMENT_STAGING_OVER_CAPACITY,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,INSUFFICIENT_SPACE_AFTER_ORDER;REPLENISHMENT_STAGING_OVER_CAPACITY;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,True,REPLENISHMENT_STAGING_OVER_CAPACITY;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,"Recommended replenishment quantity is staged through LOC-SC-002, whose projected utilization exceeds capacity. Review receiving/staging capacity before ordering.",46.0,32.0,3.0,SLOW_PICK,SKU-COMP-BRAKE-REAR-001 -> LOC-SC-002,OVERSTOCK,PRIMARY_STORAGE,PROJECTED_OVER_CAPACITY,ORANGE,4,SKU-COMP-BRAKE-REAR-001 | SLOW_PICK | OVERSTOCK,SKU: SKU-COMP-BRAKE-REAR-001 | Product: UNKNOWN | Primary location: LOC-SC-002 | Replenishment location: LOC-SC-002 | Primary quantity: 155.0 | Replenishment quantity: 80.0 | Quarantine quantity: 0.0 | FEFO quantity: 0.0 | Current inventory: 155.0 | Recommended order: 80.0 | Status: OVERSTOCK | Action: REDUCE_FUTURE_ORDERS | Warnings: REPLENISHMENT_STAGING_OVER_CAPACITY; INSUFFICIENT_SPACE_AFTER_ORDER; SKU_CAUSES_PROJECTED_STAGING_PRESSURE | Info: CAPABILITY_MATCH_NON_EXACT_ZONE; CURRENT_VS_PROJECTED_CAPACITY_SPLIT,True,True,False,False
SKU-CHC-005,Valentine Chocolate Box 250g,Confectionery,UNKNOWN_STATUS,REVIEW_POLICY_PARAMETERS,HIGH,EXPIRY_COST,MEDIUM,35.0,35.0,405.0,LOC-TC-003,LOC-TC-003,LOC-QA-001,,0.0,405.0,35.0,0.0,0.0,0.61,0.05,0.0,QUARANTINE_EXPIRED,,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,WHOLE_SKU_QUARANTINE_AVOIDED_BY_BATCH_SPLIT;SKU_VOLUME_SPLIT_BY_BATCH_STATUS,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,False,,Recommended replenishment quantity can be staged through LOC-TC-003 within current configured capacity.,20.0,32.0,2.0,EACH_PICKING,SKU-CHC-005 -> LOC-TC-003,PERISHABLE,PRIMARY_STORAGE,QUARANTINE_EXPIRED,PURPLE,50,SKU-CHC-005 | EACH_PICKING | UNKNOWN_STATUS,SKU: SKU-CHC-005 | Product: Valentine Chocolate Box 250g | Primary location: LOC-TC-003 | Replenishment location: LOC-TC-003 | Quarantine location: LOC-QA-001 | Primary quantity: 0.0 | Replenishment quantity: 405.0 | Quarantine quantity: 35.0 | FEFO quantity: 0.0 | Current inventory: 35.0 | Recommended order: 405.0 | Status: UNKNOWN_STATUS | Action: REVIEW_POLICY_PARAMETERS | Warnings: WHOLE_SKU_QUARANTINE_AVOIDED_BY_BATCH_SPLIT; SKU_VOLUME_SPLIT_BY_BATCH_STATUS | Info: CAPABILITY_MATCH_NON_EXACT_ZONE; CURRENT_VS_PROJECTED_CAPACITY_SPLIT,False,True,True,False
SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,OVERSTOCK,REDUCE_FUTURE_ORDERS,HIGH,EXPIRY_COST,HIGH,160.0,160.0,105.0,LOC-TC-003,LOC-TC-003,LOC-QA-001,LOC-TC-001,0.0,105.0,106.0,54.0,0.0,0.21,0.21,0.11,OVERSTOCK,,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,WHOLE_SKU_QUARANTINE_AVOIDED_BY_BATCH_SPLIT;SKU_VOLUME_SPLIT_BY_BATCH_STATUS,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,False,,Recommended replenishment quantity can be staged through LOC-TC-003 within current configured capacity.,20.0,32.0,2.0,EACH_PICKING,SKU-SUN-003 -> LOC-TC-003,OVERSTOCK,PRIMARY_STORAGE,OVERSTOCK,ORANGE,999,SKU-SUN-003 | EACH_PICKING | OVERSTOCK,SKU: SKU-SUN-003 | Product: SPF 50 Sunscreen 200ml | Primary location: LOC-TC-003 | Replenishment location: LOC-TC-003 | Quarantine location: LOC-QA-001 | FEFO location: LOC-TC-001 | Primary quantity: 0.0 | Replenishment quantity: 105.0 | Quarantine quantity: 106.0 | FEFO quantity: 54.0 | Current inventory: 160.0 | Recommended order: 105.0 | Status: OVERSTOCK | Action: REDUCE_FUTURE_ORDERS | Warnings: WHOLE_SKU_QUARANTINE_AVOIDED_BY_BATCH_SPLIT; SKU_VOLUME_SPLIT_BY_BATCH_STATUS | Info: CAPABILITY_MATCH_NON_EXACT_ZONE; CURRENT_VS_PROJECTED_CAPACITY_SPLIT,False,True,True,True
