planning_run_id,wip_item_id,wip_item_name,finished_sku,produced_by_operation_id,consumed_by_operation_id,produced_by_workstation_id,consumed_by_workstation_id,wip_item_type,unit_of_measure,batch_tracking_required_flag,serial_tracking_required_flag,quality_check_required_flag,rework_allowed_flag,shelf_life_hours,active_flag,advisory_only_flag,notes,source_phase
PHASE4-MPS-20260721170405,WIP-ROAD-FRAME-TO-WHEEL,Road Frame Ready For Wheel Branch,SKU-BIKE-ROAD-001,ROAD-OP-010,ROAD-OP-020,WS-FRAME-PREP,WS-WHEEL-SUB,SEMI_FINISHED_GOOD,EA,True,False,True,True,168,True,True,Frame prep output available to road wheel subassembly.,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION
PHASE4-MPS-20260721170405,WIP-ROAD-FRAME-TO-BRAKE,Road Frame Ready For Brake Branch,SKU-BIKE-ROAD-001,ROAD-OP-010,ROAD-OP-030,WS-FRAME-PREP,WS-BRAKE-SUB,SEMI_FINISHED_GOOD,EA,True,False,True,True,168,True,True,Frame prep output available to road brake subassembly.,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION
PHASE4-MPS-20260721170405,WIP-ROAD-WHEEL-SET-READY,Road Wheel Set Ready,SKU-BIKE-ROAD-001,ROAD-OP-020,ROAD-OP-040,WS-WHEEL-SUB,WS-FINAL-ASM,SUBASSEMBLY,EA,True,False,True,True,168,True,True,Road wheel set waits for final assembly merge.,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION
PHASE4-MPS-20260721170405,WIP-ROAD-BRAKE-SET-READY,Road Brake Set Ready,SKU-BIKE-ROAD-001,ROAD-OP-030,ROAD-OP-040,WS-BRAKE-SUB,WS-FINAL-ASM,SUBASSEMBLY,EA,True,False,True,True,168,True,True,Road brake set waits for final assembly merge.,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION
PHASE4-MPS-20260721170405,WIP-ROAD-FINAL-ASSEMBLY-READY,Road Final Assembly Ready,SKU-BIKE-ROAD-001,ROAD-OP-040,ROAD-OP-050,WS-FINAL-ASM,WS-QC,SEMI_FINISHED_GOOD,EA,True,False,True,True,72,True,True,Road assembled bike awaiting final quality control.,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION
PHASE4-MPS-20260721170405,WIP-ROAD-QC-PASSED,Road QC Passed,SKU-BIKE-ROAD-001,ROAD-OP-050,ROAD-OP-060,WS-QC,WS-PACK,QUALITY_HOLD_ITEM,EA,True,False,True,True,72,True,True,Road bike passed QC and awaits packaging.,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION
PHASE4-MPS-20260721170405,WIP-MT-FRAME-TO-FORK,Mountain Frame Ready For Fork Branch,SKU-BIKE-MT-001,MT-OP-010,MT-OP-020,WS-FRAME-PREP,WS-FORK-SUSP,SEMI_FINISHED_GOOD,EA,True,False,True,True,168,True,True,Mountain frame prep output available to fork/suspension prep.,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION
PHASE4-MPS-20260721170405,WIP-MT-FRAME-TO-WHEEL,Mountain Frame Ready For Wheel Branch,SKU-BIKE-MT-001,MT-OP-010,MT-OP-030,WS-FRAME-PREP,WS-WHEEL-SUB,SEMI_FINISHED_GOOD,EA,True,False,True,True,168,True,True,Mountain frame prep output available to wheel subassembly.,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION
PHASE4-MPS-20260721170405,WIP-MT-FRAME-TO-BRAKE,Mountain Frame Ready For Brake Branch,SKU-BIKE-MT-001,MT-OP-010,MT-OP-040,WS-FRAME-PREP,WS-BRAKE-SUB,SEMI_FINISHED_GOOD,EA,True,False,True,True,168,True,True,Mountain frame prep output available to brake subassembly.,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION
PHASE4-MPS-20260721170405,WIP-MT-FORK-READY,Mountain Fork Ready,SKU-BIKE-MT-001,MT-OP-020,MT-OP-050,WS-FORK-SUSP,WS-FINAL-ASM,SUBASSEMBLY,EA,True,False,True,True,168,True,True,Fork and suspension prep waits for final assembly merge.,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION
