failure_mode_id,machine_id,machine_type,failure_mode_name,failure_mode_category,severity_level,expected_downtime_hours,expected_repair_hours,required_maintenance_level,required_skill_id,likely_spare_part_sku,root_cause_category,detectability_level,active_flag,advisory_only_flag,notes
FM-FRAME-ALIGN-001,M-FRAME-JIG-001,FRAME_ALIGNMENT_FIXTURE,Frame jig alignment drift,ALIGNMENT_DRIFT,HIGH,4.0,3.0,MEDIUM,SKILL-MECH-MAINT,SP-FRAME-JIG-PAD-001,ALIGNMENT,MODERATE,True,True,Planning failure mode for jig alignment and wear pads.
FM-FRAME-BEAR-001,M-FRAME-JIG-001,FRAME_ALIGNMENT_FIXTURE,Frame fixture bearing wear,BEARING_WEAR,MEDIUM,2.5,2.0,MEDIUM,SKILL-MECH-MAINT,SP-BEARING-KIT-001,WEAR,MODERATE,True,True,Planning failure mode for fixture bearing replacement.
FM-WHEEL-BEAR-001,M-WHEEL-TRUE-001,WHEEL_TRUING_STAND,Wheel truing bearing wear,BEARING_WEAR,HIGH,3.5,2.5,MEDIUM,SKILL-MECH-MAINT,SP-BEARING-KIT-001,WEAR,MODERATE,True,True,Planning failure mode for stand bearing wear.
FM-WHEEL-ALIGN-001,M-WHEEL-TRUE-001,WHEEL_TRUING_STAND,Wheel truing alignment drift,ALIGNMENT_DRIFT,MEDIUM,2.0,1.5,LIGHT,SKILL-BASIC-ADJUSTMENT,SP-WHEEL-TRUING-SPARE-001,ALIGNMENT,EASY,True,True,Planning failure mode for truing setup drift.
FM-BRAKE-TOOL-001,M-BRAKE-BENCH-001,BRAKE_ASSEMBLY_TOOLS,Brake bench tool wear,TOOL_WEAR,MEDIUM,1.8,1.2,LIGHT,SKILL-BASIC-ADJUSTMENT,SP-BRAKE-BENCH-TOOL-001,TOOLING,EASY,True,True,Planning failure mode for hand tool wear.
FM-BRAKE-SENSOR-001,M-BRAKE-BENCH-001,BRAKE_ASSEMBLY_TOOLS,Brake bench sensor fault,SENSOR_FAILURE,HIGH,3.0,2.0,MEDIUM,SKILL-ELEC-MAINT,SP-ELECTRICAL-SENSOR-001,SENSOR,MODERATE,True,True,Planning failure mode for sensor replacement.
FM-FORK-SEAL-001,M-FORK-BENCH-001,FORK_SUSPENSION_BENCH,Fork suspension seal leakage,SEAL_LEAKAGE,HIGH,4.5,3.0,MEDIUM,SKILL-MECH-MAINT,SP-FORK-SUSP-SEAL-001,WEAR,MODERATE,True,True,New-to-us bench OEM-guideline failure mode.
FM-FORK-LUBE-001,M-FORK-BENCH-001,FORK_SUSPENSION_BENCH,Fork bench lubrication issue,LUBRICATION_ISSUE,MEDIUM,2.0,1.0,LIGHT,SKILL-LUBRICATION,SP-LUBE-OIL-001,LUBRICATION,EASY,True,True,New-to-us bench light autonomous maintenance failure mode.
FM-FINAL-JIG-001,M-FINAL-STAND-001,BIKE_ASSEMBLY_STAND,Final assembly jig wear,FIXTURE_WEAR,CRITICAL,6.0,4.0,HEAVY,SKILL-HEAVY-OVERHAUL,SP-FINAL-ASM-JIG-001,WEAR,HARD,True,True,Planning failure mode for final stand fixture wear.
FM-FINAL-BEAR-001,M-FINAL-STAND-001,BIKE_ASSEMBLY_STAND,Final assembly stand bearing wear,BEARING_WEAR,HIGH,3.5,2.5,MEDIUM,SKILL-MECH-MAINT,SP-BEARING-KIT-001,WEAR,MODERATE,True,True,Planning failure mode for stand rotation bearing wear.
FM-QC-CAL-001,M-QC-TOOLS-001,INSPECTION_TOOLS,QC calibration drift,CALIBRATION_DRIFT,HIGH,2.5,1.5,CALIBRATION,SKILL-ELEC-MAINT,SP-QC-CALIBRATION-KIT-001,CALIBRATION,MODERATE,True,True,Planning failure mode for inspection tool calibration.
FM-QC-SENSOR-001,M-QC-TOOLS-001,INSPECTION_TOOLS,QC sensor failure,SENSOR_FAILURE,CRITICAL,5.0,3.0,MEDIUM,SKILL-ELEC-MAINT,SP-ELECTRICAL-SENSOR-001,SENSOR,HARD,True,True,Planning failure mode for inspection sensor failure.
FM-PACK-TOOL-001,M-PACK-BENCH-001,PACKAGING_TOOLS,Packaging bench tool wear,TOOL_WEAR,LOW,1.0,0.5,LIGHT,SKILL-CLEANING,SP-PACK-BENCH-SPARE-001,TOOLING,EASY,True,True,Planning failure mode for packaging tool replacement.
FM-PACK-ELECT-001,M-PACK-BENCH-001,PACKAGING_TOOLS,Packaging bench electrical fault,ELECTRICAL_FAULT,MEDIUM,2.5,1.5,MEDIUM,SKILL-ELEC-MAINT,SP-ELECTRICAL-SENSOR-001,ELECTRICAL,MODERATE,True,True,Planning failure mode for packaging bench electrical fault.
