review_item_id,planning_run_id,machine_id,machine_name,maintenance_plan_id,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
MAINT-REV-0001,PHASE4-MPS-20260711141513,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,MP-FRAME-LIGHT-001,MAINTENANCE_DUE_SOON,MEDIUM,operations trigger DUE_SOON; time trigger DUE_SOON,REVIEW_MAINTENANCE_PLAN,False,True
MAINT-REV-0002,PHASE4-MPS-20260711141513,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,MP-FRAME-MED-001,MAINTENANCE_OVERDUE,CRITICAL,operations trigger OVERDUE; time trigger DUE_NOW,REVIEW_MAINTENANCE_PLAN,False,True
MAINT-REV-0003,PHASE4-MPS-20260711141513,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,MP-FRAME-MED-001,HIGH_DEFERRAL_RISK,HIGH,Deferral risk is HIGH.,REVIEW_DEFERRAL_RISK,False,True
MAINT-REV-0004,PHASE4-MPS-20260711141513,M-WHEEL-TRUE-001,Wheel Truing Stand,MP-WHEEL-LIGHT-001,MAINTENANCE_OVERDUE,CRITICAL,operations trigger OVERDUE; time trigger OVERDUE,REVIEW_MAINTENANCE_PLAN,False,True
MAINT-REV-0005,PHASE4-MPS-20260711141513,M-WHEEL-TRUE-001,Wheel Truing Stand,MP-WHEEL-MED-001,MAINTENANCE_DUE_SOON,MEDIUM,operations trigger DUE_SOON; time trigger DUE_SOON,REVIEW_MAINTENANCE_PLAN,False,True
MAINT-REV-0006,PHASE4-MPS-20260711141513,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,MP-BRAKE-MED-001,MAINTENANCE_OVERDUE,CRITICAL,operations trigger OVERDUE; time trigger DUE_SOON,REVIEW_MAINTENANCE_PLAN,False,True
MAINT-REV-0007,PHASE4-MPS-20260711141513,M-FORK-BENCH-001,Fork and Suspension Prep Bench,MP-FORK-LIGHT-001,MAINTENANCE_OVERDUE,CRITICAL,operations trigger DUE_SOON; time trigger OVERDUE,REVIEW_MAINTENANCE_PLAN,False,True
MAINT-REV-0008,PHASE4-MPS-20260711141513,M-FORK-BENCH-001,Fork and Suspension Prep Bench,MP-FORK-MED-001,MAINTENANCE_DUE_SOON,MEDIUM,operations trigger DUE_SOON; time trigger DUE_SOON,REVIEW_MAINTENANCE_PLAN,False,True
MAINT-REV-0009,PHASE4-MPS-20260711141513,M-FINAL-STAND-001,Final Assembly Stand,MP-FINAL-LIGHT-001,MAINTENANCE_OVERDUE,CRITICAL,operations trigger OVERDUE; time trigger DUE_NOW,REVIEW_MAINTENANCE_PLAN,False,True
MAINT-REV-0010,PHASE4-MPS-20260711141513,M-FINAL-STAND-001,Final Assembly Stand,MP-FINAL-MED-001,MAINTENANCE_DUE_SOON,MEDIUM,operations trigger DUE_SOON; time trigger DUE_SOON,REVIEW_MAINTENANCE_PLAN,False,True
