planning_run_id,maintenance_plan_id,machine_id,machine_name,spare_part_sku,spare_part_name,quantity_required,mandatory_flag,spare_part_criticality,inventory_status,supplier_coverage_status,spare_part_readiness_status,spare_part_review_required_flag,note_no_consumption_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260726202343,MP-FRAME-LIGHT-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,SP-LUBE-OIL-001,General Machine Lubricating Oil,0.25,True,HIGH,SUFFICIENT,COVERED,READY,False,True,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260726202343,MP-FRAME-MED-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,SP-FRAME-JIG-PAD-001,Frame Jig Wear Pad Kit,1.0,True,HIGH,SUFFICIENT,LIMITED_COVERAGE,READY,False,True,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260726202343,MP-FRAME-HEAVY-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,SP-FRAME-JIG-PAD-001,Frame Jig Wear Pad Kit,2.0,True,HIGH,SUFFICIENT,LIMITED_COVERAGE,READY,False,True,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260726202343,MP-WHEEL-LIGHT-001,M-WHEEL-TRUE-001,Wheel Truing Stand,SP-LUBE-OIL-001,General Machine Lubricating Oil,0.2,True,HIGH,SUFFICIENT,COVERED,READY,False,True,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260726202343,MP-WHEEL-MED-001,M-WHEEL-TRUE-001,Wheel Truing Stand,SP-WHEEL-TRUING-SPARE-001,Wheel Truing Stand Spare Kit,1.0,True,MEDIUM,SUFFICIENT,LIMITED_COVERAGE,READY,False,True,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260726202343,MP-WHEEL-HEAVY-001,M-WHEEL-TRUE-001,Wheel Truing Stand,SP-BEARING-KIT-001,General Bearing Replacement Kit,1.0,True,CRITICAL,SUFFICIENT,COVERED,READY,False,True,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260726202343,MP-BRAKE-MED-001,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,SP-BRAKE-BENCH-TOOL-001,Brake Bench Tool Spare Set,1.0,True,MEDIUM,SUFFICIENT,LIMITED_COVERAGE,READY,False,True,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260726202343,MP-FORK-LIGHT-001,M-FORK-BENCH-001,Fork and Suspension Prep Bench,SP-LUBE-OIL-001,General Machine Lubricating Oil,0.25,True,HIGH,SUFFICIENT,COVERED,READY,False,True,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260726202343,MP-FORK-MED-001,M-FORK-BENCH-001,Fork and Suspension Prep Bench,SP-FORK-SUSP-SEAL-001,Fork Suspension Seal Kit,1.0,True,CRITICAL,BELOW_REORDER_POINT,LIMITED_COVERAGE,INVENTORY_REVIEW_REQUIRED,True,True,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260726202343,MP-FINAL-LIGHT-001,M-FINAL-STAND-001,Final Assembly Stand,SP-LUBE-OIL-001,General Machine Lubricating Oil,0.25,True,HIGH,SUFFICIENT,COVERED,READY,False,True,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260726202343,MP-FINAL-MED-001,M-FINAL-STAND-001,Final Assembly Stand,SP-FINAL-ASM-JIG-001,Final Assembly Jig Spare Kit,1.0,True,HIGH,BELOW_REORDER_POINT,LIMITED_COVERAGE,INVENTORY_REVIEW_REQUIRED,True,True,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260726202343,MP-FINAL-HEAVY-001,M-FINAL-STAND-001,Final Assembly Stand,SP-FINAL-ASM-JIG-001,Final Assembly Jig Spare Kit,2.0,True,HIGH,BELOW_REORDER_POINT,LIMITED_COVERAGE,INVENTORY_REVIEW_REQUIRED,True,True,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260726202343,MP-QC-CAL-001,M-QC-TOOLS-001,QC Inspection Tool Set,SP-QC-CALIBRATION-KIT-001,QC Calibration Kit,1.0,True,CRITICAL,BELOW_SAFETY_STOCK,LIMITED_COVERAGE,INVENTORY_REVIEW_REQUIRED,True,True,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260726202343,MP-QC-BREAKDOWN-001,M-QC-TOOLS-001,QC Inspection Tool Set,SP-ELECTRICAL-SENSOR-001,General Machine Sensor Kit,1.0,True,CRITICAL,BELOW_REORDER_POINT,COVERED,INVENTORY_REVIEW_REQUIRED,True,True,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260726202343,MP-PACK-MED-001,M-PACK-BENCH-001,Packaging Bench and Tool Set,SP-PACK-BENCH-SPARE-001,Packaging Bench Spare Kit,1.0,True,LOW,SUFFICIENT,LIMITED_COVERAGE,READY,False,True,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
