sku_id,product_name,category,main_inventory_status,secondary_status_flags,primary_action,secondary_action,action_priority,action_reason,current_inventory,available_inventory,inventory_position,safety_stock,reorder_point,recommended_order_quantity,min_stock_level,max_stock_level,reorder_point_s,order_quantity_Q,review_period_R,order_up_to_level_S,base_stock_level,inventory_model_type,review_policy,policy_urgency,policy_review_required,policy_review_reason,quantity_constraint_flag,quantity_constraint_reason,warning_codes,abc_class,xyz_class,fsn_class,vitality_class,seasonality_class,perishability_class,movement_class,supplier_risk_class,inventory_priority_class,service_level_target,safety_factor_z,stockout_signal,stockout_units,zero_inventory_signal,expiry_risk_signal,near_expiry_units,expired_units,non_moving_signal,dead_stock_signal,supplier_review_signal,watchlist_supplier_signal,recommended_supplier_requires_review,supplier_review_before_order,phase4_review_flag,phase4_review_before_final_policy,no_order_recommended_flag,no_order_event_based,no_order_one_to_one,existing_inventory_cap_applied,recommended_supplier_id,backup_supplier_id,recommended_supplier_feasible,supplier_accepts_returns,return_window_days,return_deduction_rate,return_transport_cost,return_policy_status,days_of_supply_current,days_of_supply_after_recommended_order,approaching_reorder_threshold,approaching_reorder_warning_buffer,overstock_days_of_supply_threshold,parameter_consistency_flag,parameter_consistency_reason
SKU-COF-001,House Blend Coffee 1kg,Grocery,REORDER_NOW,SUPPLIER_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE,REVIEW_SUPPLIER_BEFORE_ORDER,ORDER_RECOMMENDED_QUANTITY,HIGH,Inventory is at or below reorder point and supplier review is required before ordering.,420,387,420,259,703,1880,259,2583,703,1880.0,7,,,CONTINUOUS_REVIEW_sQ,CONTINUOUS_REVIEW,HIGH,True,Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Recommended supplier is not feasible. Procurement constraints should be reviewed before Step 6 calculations.,True,Batch rounding increased the calculated quantity. Yield adjustment increased the order quantity. Supplier should be reviewed before ordering. Policy review flag remains active.,SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER,B,X,F,VITAL,NON_SEASONAL,NON_PERISHABLE,FAST_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,HIGH_PRIORITY,0.99,2.33,False,0,False,False,0.0,0.0,False,False,True,False,True,True,False,False,False,False,False,False,UNKNOWN,UNKNOWN,False,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,9.46,51.83,836.13,133.13,90,False,Inventory policy parameters are internally consistent.
SKU-TEA-002,Iced Tea Peach 500ml,Beverages,ZERO_STOCK,SUPPLIER_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK,ORDER_RECOMMENDED_QUANTITY,NO_ACTION,HIGH,Zero stock exists and a recommended order quantity is available.,0,0,0,153,386,880,153,1266,386,880.0,7,,,CONTINUOUS_REVIEW_sQ,CONTINUOUS_REVIEW,HIGH,True,Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Recommended supplier is not feasible. Procurement constraints should be reviewed before Step 6 calculations.,True,"Batch rounding increased the calculated quantity. Yield adjustment increased the order quantity. Order quantity was capped for expiry, movement, or seasonality risk. Supplier should be reviewed before ordering. Policy review flag remains active.",SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;PERISHABLE_ORDER_CAPPED;HIGH_MOQ_MAY_CAUSE_OVERSTOCK,B,Y,S,IMPORTANT,SEASONAL_BUILDUP,EXPIRY_TRACKED,SLOW_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,HIGH_PRIORITY,0.95,1.65,False,0,True,False,0.0,0.0,False,False,True,False,True,True,False,False,False,False,False,False,UNKNOWN,UNKNOWN,False,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,0.0,30.33,473.05,87.05,30,False,Inventory policy parameters are internally consistent.
SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,OVERSTOCK,NEAR_EXPIRY;EXPIRED_STOCK;SPOILAGE_RISK;SUPPLIER_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,SCRAP_OR_QUARANTINE_EXPIRED,HIGH,Inventory exceeds max stock or days-of-supply threshold.,160,141,160,32,102,105,32,140,102,,7,,,NEWSVENDOR_CANDIDATE,SINGLE_PERIOD,HIGH,True,Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Recommended supplier is not feasible. Expiry risk requires review before final order quantity. Procurement constraints should be reviewed before Step 6 calculations. Selected policy is sensitive to low forecast confidence.,True,Batch rounding increased the calculated quantity. Yield adjustment increased the order quantity. Supplier should be reviewed before ordering. Policy review flag remains active.,SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER,C,Y,S,IMPORTANT,NON_SEASONAL,SPOILAGE_RISK,SLOW_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,LIQUIDATION_PRIORITY,0.7,0.84,False,0,False,True,54.0,106.0,False,False,True,False,True,True,False,False,False,False,False,False,UNKNOWN,UNKNOWN,False,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,16.1,26.66,131.82,29.82,14,False,Inventory policy parameters are internally consistent.
SKU-SUP-004,Winter Soup Mix 400g,Grocery,STOCKOUT,SUPPLIER_REVIEW_REQUIRED;WATCHLIST_SUPPLIER;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK,EXPEDITE_ORDER,USE_FAST_RELIABLE_SUPPLIER,URGENT,"Stockout on critical or vital SKU requires urgent recovery. Supplier review/watchlist signal is active, so use the fastest reliable approved path.",-18,-19,-18,327,924,1200,327,2124,924,1200.0,1,,,CONTINUOUS_REVIEW_sQ,CONTINUOUS_REVIEW,URGENT,True,"Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Supplier watchlist signal requires policy review. Recommended supplier is not feasible. Phase 4 production, BOM, or MRP logic may override this policy. Procurement constraints should be reviewed before Step 6 calculations.",True,"Batch rounding increased the calculated quantity. Yield adjustment increased the order quantity. Order quantity was capped for expiry, movement, or seasonality risk. Stockout signal boosted the recommended order quantity. Supplier should be reviewed before ordering. Phase 4 production/BOM/MRP review should happen before final policy. Policy review flag remains active.",SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;STOCKOUT_ORDER_BOOSTED;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;PERISHABLE_ORDER_CAPPED;HIGH_MOQ_MAY_CAUSE_OVERSTOCK,B,Y,F,VITAL,NON_SEASONAL,EXPIRY_TRACKED,FAST_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,CRITICAL_PRIORITY,0.99,2.33,True,18,False,False,0.0,0.0,False,False,True,True,True,True,True,True,False,False,False,False,UNKNOWN,UNKNOWN,False,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,0.0,32.19,1035.85,111.85,30,False,Inventory policy parameters are internally consistent.
SKU-CHC-005,Valentine Chocolate Box 250g,Confectionery,UNKNOWN_STATUS,EXPIRED_STOCK;SPOILAGE_RISK;SUPPLIER_REVIEW_REQUIRED;WATCHLIST_SUPPLIER;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK;PARAMETER_INCONSISTENCY,REVIEW_POLICY_PARAMETERS,NO_ACTION,HIGH,Policy parameters are inconsistent: max_stock_level is below reorder_point.,35,32,35,45,426,405,45,296,426,,7,,,NEWSVENDOR_CANDIDATE,SINGLE_PERIOD,HIGH,True,Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Supplier watchlist signal requires policy review. Recommended supplier is not feasible. Expiry risk requires review before final order quantity. Procurement constraints should be reviewed before Step 6 calculations. Selected policy is sensitive to low forecast confidence.,True,"Batch rounding increased the calculated quantity. Yield adjustment increased the order quantity. Order quantity was capped for expiry, movement, or seasonality risk. Supplier should be reviewed before ordering. Policy review flag remains active.",SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;PERISHABLE_ORDER_CAPPED;HIGH_MOQ_MAY_CAUSE_OVERSTOCK,B,X,S,IMPORTANT,NON_SEASONAL,SPOILAGE_RISK,SLOW_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,LIQUIDATION_PRIORITY,0.7,0.84,False,0,False,True,0.0,35.0,False,False,True,True,True,True,False,False,False,False,False,False,UNKNOWN,UNKNOWN,False,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,1.66,20.83,489.38,63.38,14,True,max_stock_level is below reorder_point.
SKU-BBQ-006,BBQ Charcoal 5kg,Outdoor,OVERSTOCK,NON_MOVING;SUPPLIER_REVIEW_REQUIRED;WATCHLIST_SUPPLIER;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;NO_ORDER_RECOMMENDED;EXISTING_INVENTORY_CAP_ACTIVE;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,LIQUIDATE_DEAD_STOCK,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,720,634,720,84,327,0,0,90,327,,60,,,EVENT_BASED_REPLENISHMENT,EVENT_BASED,HIGH,True,"Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Supplier watchlist signal requires policy review. Recommended supplier is not feasible. Phase 4 production, BOM, or MRP logic may override this policy. Non-moving or dead-stock signal requires policy review. Procurement constraints should be reviewed before Step 6 calculations. Selected policy is sensitive to low forecast confidence.",True,"Existing inventory already exceeds the position-aware days-of-supply cap. Supplier should be reviewed before ordering. Phase 4 production/BOM/MRP review should happen before final policy. No order is recommended because no policy trigger is active. No order recommended because current inventory already exceeds the allowed days-of-supply cap. Important SKU requires review, but no event-based order trigger is active. Policy review flag remains active.",SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;NO_ORDER_RECOMMENDED_FOR_EVENT_BASED;ORDER_QUANTITY_CAPPED_BY_EXISTING_INVENTORY,C,Y,N,IMPORTANT,SEASONAL_DRAWDOWN,NON_PERISHABLE,NON_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,MEDIUM_PRIORITY,0.9,1.28,False,0,False,False,0.0,0.0,True,False,True,True,True,True,True,True,True,True,False,True,UNKNOWN,UNKNOWN,False,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,56.44,56.44,365.27,38.27,21,False,Inventory policy parameters are internally consistent.
SKU-UMR-007,Compact Umbrella,Accessories,CRITICAL_LOW_STOCK,SUPPLIER_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE,ORDER_RECOMMENDED_QUANTITY,NO_ACTION,HIGH,Inventory position is at or below safety stock.,8,8,8,20,48,70,20,78,48,,30,,48.0,BASE_STOCK,CONTINUOUS_REVIEW,HIGH,True,Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Recommended supplier is not feasible. Procurement constraints should be reviewed before Step 6 calculations.,True,MOQ increased the calculated quantity. Batch rounding increased the calculated quantity. Yield adjustment increased the order quantity. Supplier should be reviewed before ordering. Policy review flag remains active.,SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER,C,X,S,IMPORTANT,NON_SEASONAL,NON_PERISHABLE,SLOW_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,MEDIUM_PRIORITY,0.9,1.28,False,0,False,False,0.0,0.0,False,False,True,False,True,True,False,False,False,False,False,False,UNKNOWN,UNKNOWN,False,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,1.18,11.51,68.34,20.34,90,False,Inventory policy parameters are internally consistent.
SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,STOCKOUT,SUPPLIER_REVIEW_REQUIRED;WATCHLIST_SUPPLIER;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK,EXPEDITE_ORDER,USE_FAST_RELIABLE_SUPPLIER,URGENT,"Stockout on critical or vital SKU requires urgent recovery. Supplier review/watchlist signal is active, so use the fastest reliable approved path.",-6,-6,-6,67,119,400,67,519,119,400.0,1,,,CONTINUOUS_REVIEW_sQ,CONTINUOUS_REVIEW,URGENT,True,"Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Supplier watchlist signal requires policy review. Recommended supplier is not feasible. Phase 4 production, BOM, or MRP logic may override this policy. Procurement constraints should be reviewed before Step 6 calculations.",True,"Batch rounding increased the calculated quantity. Yield adjustment increased the order quantity. Order quantity was capped for expiry, movement, or seasonality risk. Stockout signal boosted the recommended order quantity. Supplier should be reviewed before ordering. Phase 4 production/BOM/MRP review should happen before final policy. Policy review flag remains active.",SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;STOCKOUT_ORDER_BOOSTED;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;HIGH_MOQ_MAY_CAUSE_OVERSTOCK,C,Z,F,VITAL,NON_SEASONAL,NON_PERISHABLE,FAST_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,CRITICAL_PRIORITY,0.99,2.33,True,6,False,False,0.0,0.0,False,False,True,True,True,True,True,True,False,False,False,False,UNKNOWN,UNKNOWN,False,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,0.0,140.58,130.9,11.9,90,False,Inventory policy parameters are internally consistent.
SKU-FIL-009,Replacement Water Filter,Home,OVERSTOCK,NON_MOVING;SUPPLIER_REVIEW_REQUIRED;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;NO_ORDER_RECOMMENDED;EXISTING_INVENTORY_CAP_ACTIVE;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,LIQUIDATE_DEAD_STOCK,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,96,85,96,11,25,0,11,11,25,,60,,,ONE_TO_ONE_REPLACEMENT,ONE_TO_ONE,HIGH,True,"Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Recommended supplier is not feasible. Phase 4 production, BOM, or MRP logic may override this policy. Non-moving or dead-stock signal requires policy review. Procurement constraints should be reviewed before Step 6 calculations. Selected policy is sensitive to low forecast confidence.",True,"Existing inventory already exceeds the position-aware days-of-supply cap. Supplier should be reviewed before ordering. Phase 4 production/BOM/MRP review should happen before final policy. No order is recommended because no policy trigger is active. No order recommended because current inventory already exceeds the allowed days-of-supply cap. Phase 4 item remains review-flagged, but no replacement order is triggered yet. Policy review flag remains active.",SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;NO_ORDER_RECOMMENDED_FOR_ONE_TO_ONE;ORDER_QUANTITY_CAPPED_BY_EXISTING_INVENTORY,C,Z,N,IMPORTANT,NON_SEASONAL,NON_PERISHABLE,NON_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,MEDIUM_PRIORITY,0.9,1.28,False,0,False,False,0.0,0.0,True,False,True,False,True,True,True,True,True,False,True,True,UNKNOWN,UNKNOWN,False,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,95.47,95.47,28.02,3.02,14,False,Inventory policy parameters are internally consistent.
SKU-GFT-010,Premium Gift Wrap Roll,Stationery,OVERSTOCK,SUPPLIER_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;NO_ORDER_RECOMMENDED;EXISTING_INVENTORY_CAP_ACTIVE;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,NO_ACTION,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,310,286,310,5,8,0,0,5,8,,30,,,EVENT_BASED_REPLENISHMENT,EVENT_BASED,HIGH,True,Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Recommended supplier is not feasible. Procurement constraints should be reviewed before Step 6 calculations. Selected policy is sensitive to low forecast confidence.,True,"Existing inventory already exceeds the position-aware days-of-supply cap. Supplier should be reviewed before ordering. No order is recommended because no policy trigger is active. No order recommended because current inventory already exceeds the allowed days-of-supply cap. Important SKU requires review, but no event-based order trigger is active. Policy review flag remains active.",SUPPLIER_REVIEW_BEFORE_ORDER;NO_ORDER_RECOMMENDED_FOR_EVENT_BASED;ORDER_QUANTITY_CAPPED_BY_EXISTING_INVENTORY,C,Z,S,IMPORTANT,NON_SEASONAL,NON_PERISHABLE,SLOW_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,MEDIUM_PRIORITY,0.9,1.28,False,0,False,False,0.0,0.0,False,False,True,False,True,True,False,False,True,True,False,True,UNKNOWN,UNKNOWN,False,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,448.89,448.89,10.07,2.07,90,False,Inventory policy parameters are internally consistent.
