crew_id,machine_id,machine_type,authorization_scope,can_operate_flag,can_setup_flag,can_maintain_flag,can_repair_flag,maintenance_level_authorized,authorization_level,certification_required_flag,certified_flag,active_flag,notes
CREW-PROD-FRAME,M-FRAME-JIG-001,FRAME_ALIGNMENT_FIXTURE,LIGHT_AUTONOMOUS_MAINTENANCE,True,True,True,False,LIGHT,ADVANCED,False,True,True,Production crew can operate set up and perform light autonomous cleaning inspection and lubrication only.
CREW-PROD-WHEEL,M-WHEEL-TRUE-001,WHEEL_TRUING_STAND,LIGHT_AUTONOMOUS_MAINTENANCE,True,True,True,False,LIGHT,ADVANCED,False,True,True,Production crew can operate set up and perform light autonomous cleaning inspection and tightening only.
CREW-PROD-BRAKE,M-BRAKE-BENCH-001,BRAKE_ASSEMBLY_TOOLS,LIGHT_AUTONOMOUS_MAINTENANCE,True,True,True,False,LIGHT,ADVANCED,False,True,True,Production crew can operate set up and perform light autonomous cleaning inspection and basic adjustment only.
CREW-PROD-FRAME,M-FORK-BENCH-001,FORK_SUSPENSION_BENCH,LIGHT_AUTONOMOUS_MAINTENANCE,True,True,True,False,LIGHT,INTERMEDIATE,False,True,True,Cross-trained production crew can operate set up and perform light autonomous checks only.
CREW-PROD-FINAL,M-FINAL-STAND-001,BIKE_ASSEMBLY_STAND,LIGHT_AUTONOMOUS_MAINTENANCE,True,True,True,False,LIGHT,ADVANCED,False,True,True,Final assembly crew can operate set up and perform light autonomous cleaning lubrication tightening and reporting only.
CREW-PROD-QC,M-QC-TOOLS-001,INSPECTION_TOOLS,LIGHT_AUTONOMOUS_MAINTENANCE,True,False,True,False,LIGHT,ADVANCED,True,True,True,Certified QC crew can operate inspection tools and perform visual abnormality reporting only.
CREW-PROD-PACK,M-PACK-BENCH-001,PACKAGING_TOOLS,LIGHT_AUTONOMOUS_MAINTENANCE,True,False,True,False,LIGHT,INTERMEDIATE,False,True,True,Packaging crew can operate packaging tooling and perform light cleaning and reporting only.
CREW-MAINT-MECH,M-FRAME-JIG-001,FRAME_ALIGNMENT_FIXTURE,MAINTAIN_AND_REPAIR,False,False,True,True,FULL,EXPERT,True,True,True,Mechanical maintenance can maintain and repair frame fixture.
CREW-MAINT-MECH,M-WHEEL-TRUE-001,WHEEL_TRUING_STAND,MAINTAIN_AND_REPAIR,False,False,True,True,FULL,EXPERT,True,True,True,Mechanical maintenance can maintain and repair wheel truing stands.
CREW-MAINT-MECH,M-BRAKE-BENCH-001,BRAKE_ASSEMBLY_TOOLS,MAINTAIN_AND_REPAIR,False,False,True,True,FULL,ADVANCED,True,True,True,Mechanical maintenance can maintain and repair brake tooling.
CREW-MAINT-MECH,M-FORK-BENCH-001,FORK_SUSPENSION_BENCH,MAINTAIN_AND_REPAIR,False,False,True,True,FULL,EXPERT,True,True,True,Mechanical maintenance can maintain and repair fork prep bench.
CREW-MAINT-MECH,M-FINAL-STAND-001,BIKE_ASSEMBLY_STAND,MAINTAIN_AND_REPAIR,False,False,True,True,FULL,ADVANCED,True,True,True,Mechanical maintenance can maintain and repair assembly stands.
CREW-MAINT-ELEC,M-QC-TOOLS-001,INSPECTION_TOOLS,MAINTAIN_AND_REPAIR,False,False,True,True,MEDIUM,EXPERT,True,True,True,Electrical maintenance can maintain and repair inspection electronics.
CREW-MAINT-GEN,M-PACK-BENCH-001,PACKAGING_TOOLS,MAINTAIN_AND_REPAIR,False,False,True,True,LIGHT,INTERMEDIATE,False,True,True,General maintenance can maintain and repair packaging tooling.
