planning_run_id,finished_sku,finished_product_name,routing_id,routing_version,operation_id,operation_sequence,operation_name,operation_type,workstation_id,workstation_name,machine_id,machine_name,setup_time_minutes,run_time_minutes,base_cycle_time_minutes,quality_adjusted_cycle_time_minutes,maintenance_risk_context_level,queue_risk_level,bottleneck_visibility_level,can_run_in_parallel_flag,join_required_before_next_flag,graph_node_type,source_phase,advisory_only_flag
PHASE4-MPS-20260711131832,SKU-BIKE-MT-001,Mountain Bike,RT-BIKE-MT-V1,V1,MT-OP-010,10,Frame Preparation,PREP,WS-FRAME-PREP,Frame Preparation Station,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,24,22,51,27.34402718633885,CRITICAL,CRITICAL,CRITICAL,False,False,START_OPERATION,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-MT-001,Mountain Bike,RT-BIKE-MT-V1,V1,MT-OP-020,20,Fork and Suspension Prep,PREP,WS-FORK-SUSP,Fork and Suspension Prep Station,M-FORK-BENCH-001,Fork and Suspension Prep Bench,16,26,47,33.54084725299254,CRITICAL,HIGH,HIGH,True,False,PARALLEL_BRANCH_OPERATION,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-MT-001,Mountain Bike,RT-BIKE-MT-V1,V1,MT-OP-030,30,Wheel Subassembly,SUBASSEMBLY,WS-WHEEL-SUB,Wheel Subassembly Station,M-WHEEL-TRUE-001,Wheel Truing Stand,14,26,45,33.67845087490221,CRITICAL,CRITICAL,CRITICAL,True,False,PARALLEL_BRANCH_OPERATION,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-MT-001,Mountain Bike,RT-BIKE-MT-V1,V1,MT-OP-040,40,Brake Subassembly,SUBASSEMBLY,WS-BRAKE-SUB,Brake Subassembly Station,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,12,20,37,25.472013593169425,CRITICAL,CRITICAL,CRITICAL,True,False,PARALLEL_BRANCH_OPERATION,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-MT-001,Mountain Bike,RT-BIKE-MT-V1,V1,MT-OP-050,50,Final Assembly,FINAL_ASSEMBLY,WS-FINAL-ASM,Final Assembly Station,M-FINAL-STAND-001,Final Assembly Stand,22,42,70,54.504000082553674,CRITICAL,CRITICAL,CRITICAL,False,True,MERGE_OPERATION,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-MT-001,Mountain Bike,RT-BIKE-MT-V1,V1,MT-OP-060,60,Final Quality Control,QUALITY,WS-QC,Final Quality Control Station,M-QC-TOOLS-001,QC Inspection Tool Set,8,18,30,22.664675728779617,CRITICAL,HIGH,HIGH,False,False,NORMAL_OPERATION,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-MT-001,Mountain Bike,RT-BIKE-MT-V1,V1,MT-OP-070,70,Packaging,PACKAGING,WS-PACK,Packaging Station,M-PACK-BENCH-001,Packaging Bench and Tool Set,6,14,23,17.12100679658471,HIGH,HIGH,HIGH,False,False,END_OPERATION,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-ROAD-001,Road Bike,RT-BIKE-ROAD-V1,V1,ROAD-OP-010,10,Frame Preparation,PREP,WS-FRAME-PREP,Frame Preparation Station,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,20,18,43,23.22208733060785,CRITICAL,CRITICAL,CRITICAL,False,False,START_OPERATION,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-ROAD-001,Road Bike,RT-BIKE-ROAD-V1,V1,ROAD-OP-020,20,Wheel Subassembly,SUBASSEMBLY,WS-WHEEL-SUB,Wheel Subassembly Station,M-WHEEL-TRUE-001,Wheel Truing Stand,12,22,39,29.216228296640427,CRITICAL,CRITICAL,CRITICAL,True,False,PARALLEL_BRANCH_OPERATION,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260711131832,SKU-BIKE-ROAD-001,Road Bike,RT-BIKE-ROAD-V1,V1,ROAD-OP-030,30,Brake Subassembly,SUBASSEMBLY,WS-BRAKE-SUB,Brake Subassembly Station,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,10,16,31,21.391043665303926,CRITICAL,CRITICAL,CRITICAL,True,False,PARALLEL_BRANCH_OPERATION,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
