risk_item_id,planning_run_id,risk_type,severity,business_impact,affected_alternative_or_resource,affected_alternative_id,affected_resource_id,source_phase_reference,source_file,recommended_manager_action,auto_action_allowed,advisory_only_flag
STEP8G-RISK-0001,PHASE4-MPS-20260726202343,PARTIAL_DEMAND_COVERAGE,HIGH,ALT-BASELINE covers 29.1135% of full-route demand.,ALT-BASELINE,ALT-BASELINE,,PHASE4_STEP8F,phase4_schedule_alternative_master.csv,Decide whether partial finite coverage is acceptable before release.,False,True
STEP8G-RISK-0002,PHASE4-MPS-20260726202343,FINAL_ASSEMBLY_BOTTLENECK,HIGH,Primary bottleneck exposure remains WS-FINAL-ASM.,ALT-BASELINE,ALT-BASELINE,WS-FINAL-ASM,PHASE4_STEP5B,phase4_bottleneck_visibility_summary.csv,Review final assembly bottleneck before selecting an alternative.,False,True
STEP8G-RISK-0003,PHASE4-MPS-20260726202343,BLOCKED_PRODUCTION,HIGH,Buffer blocked qty=551.6042; WIP blocked qty=12705.3514.,ALT-BASELINE,ALT-BASELINE,,PHASE4_STEP8F,phase4_schedule_alternative_wip_impact.csv,Review finite WIP buffers and shortages before release.,False,True
STEP8G-RISK-0004,PHASE4-MPS-20260726202343,LOW_COST_CONFIDENCE,MEDIUM,Cost confidence is LOW.,ALT-BASELINE,ALT-BASELINE,,PHASE4_STEP8F,phase4_schedule_alternative_cost_score.csv,Validate cost-rate assumptions before treating score as decision-ready.,False,True
STEP8G-RISK-0005,PHASE4-MPS-20260726202343,ASSUMED_PENALTIES,MEDIUM,Assumed/proxy penalty exposure is 798323.7341.,ALT-BASELINE,ALT-BASELINE,,PHASE4_STEP8F,phase4_schedule_alternative_cost_score.csv,Keep assumed/proxy exposure separate from validated cost.,False,True
STEP8G-RISK-0006,PHASE4-MPS-20260726202343,PARTIAL_DEMAND_COVERAGE,HIGH,ALT-MAINT covers 29.1135% of full-route demand.,ALT-MAINT,ALT-MAINT,,PHASE4_STEP8F,phase4_schedule_alternative_master.csv,Decide whether partial finite coverage is acceptable before release.,False,True
STEP8G-RISK-0007,PHASE4-MPS-20260726202343,FINAL_ASSEMBLY_BOTTLENECK,HIGH,Primary bottleneck exposure remains WS-FINAL-ASM.,ALT-MAINT,ALT-MAINT,WS-FINAL-ASM,PHASE4_STEP5B,phase4_bottleneck_visibility_summary.csv,Review final assembly bottleneck before selecting an alternative.,False,True
STEP8G-RISK-0008,PHASE4-MPS-20260726202343,BLOCKED_PRODUCTION,HIGH,Buffer blocked qty=551.6042; WIP blocked qty=12705.3514.,ALT-MAINT,ALT-MAINT,,PHASE4_STEP8F,phase4_schedule_alternative_wip_impact.csv,Review finite WIP buffers and shortages before release.,False,True
STEP8G-RISK-0009,PHASE4-MPS-20260726202343,LOW_COST_CONFIDENCE,MEDIUM,Cost confidence is LOW.,ALT-MAINT,ALT-MAINT,,PHASE4_STEP8F,phase4_schedule_alternative_cost_score.csv,Validate cost-rate assumptions before treating score as decision-ready.,False,True
STEP8G-RISK-0010,PHASE4-MPS-20260726202343,ASSUMED_PENALTIES,MEDIUM,Assumed/proxy penalty exposure is 798323.7341.,ALT-MAINT,ALT-MAINT,,PHASE4_STEP8F,phase4_schedule_alternative_cost_score.csv,Keep assumed/proxy exposure separate from validated cost.,False,True
STEP8G-RISK-0011,PHASE4-MPS-20260726202343,PARTIAL_DEMAND_COVERAGE,HIGH,ALT-WIP covers 29.1135% of full-route demand.,ALT-WIP,ALT-WIP,,PHASE4_STEP8F,phase4_schedule_alternative_master.csv,Decide whether partial finite coverage is acceptable before release.,False,True
STEP8G-RISK-0012,PHASE4-MPS-20260726202343,FINAL_ASSEMBLY_BOTTLENECK,HIGH,Primary bottleneck exposure remains WS-FINAL-ASM.,ALT-WIP,ALT-WIP,WS-FINAL-ASM,PHASE4_STEP5B,phase4_bottleneck_visibility_summary.csv,Review final assembly bottleneck before selecting an alternative.,False,True
STEP8G-RISK-0013,PHASE4-MPS-20260726202343,BLOCKED_PRODUCTION,HIGH,Buffer blocked qty=551.6042; WIP blocked qty=12705.3514.,ALT-WIP,ALT-WIP,,PHASE4_STEP8F,phase4_schedule_alternative_wip_impact.csv,Review finite WIP buffers and shortages before release.,False,True
STEP8G-RISK-0014,PHASE4-MPS-20260726202343,LOW_COST_CONFIDENCE,MEDIUM,Cost confidence is LOW.,ALT-WIP,ALT-WIP,,PHASE4_STEP8F,phase4_schedule_alternative_cost_score.csv,Validate cost-rate assumptions before treating score as decision-ready.,False,True
STEP8G-RISK-0015,PHASE4-MPS-20260726202343,ASSUMED_PENALTIES,MEDIUM,Assumed/proxy penalty exposure is 798341.701.,ALT-WIP,ALT-WIP,,PHASE4_STEP8F,phase4_schedule_alternative_cost_score.csv,Keep assumed/proxy exposure separate from validated cost.,False,True
STEP8G-RISK-0016,PHASE4-MPS-20260726202343,PARTIAL_DEMAND_COVERAGE,HIGH,ALT-COMBINED covers 10.5478% of full-route demand.,ALT-COMBINED,ALT-COMBINED,,PHASE4_STEP8F,phase4_schedule_alternative_master.csv,Decide whether partial finite coverage is acceptable before release.,False,True
STEP8G-RISK-0017,PHASE4-MPS-20260726202343,FINAL_ASSEMBLY_BOTTLENECK,HIGH,Primary bottleneck exposure remains WS-FINAL-ASM.,ALT-COMBINED,ALT-COMBINED,WS-FINAL-ASM,PHASE4_STEP5B,phase4_bottleneck_visibility_summary.csv,Review final assembly bottleneck before selecting an alternative.,False,True
STEP8G-RISK-0018,PHASE4-MPS-20260726202343,BLOCKED_PRODUCTION,HIGH,Buffer blocked qty=2469.4334; WIP blocked qty=12705.3514.,ALT-COMBINED,ALT-COMBINED,,PHASE4_STEP8F,phase4_schedule_alternative_wip_impact.csv,Review finite WIP buffers and shortages before release.,False,True
STEP8G-RISK-0019,PHASE4-MPS-20260726202343,LOW_COST_CONFIDENCE,MEDIUM,Cost confidence is LOW.,ALT-COMBINED,ALT-COMBINED,,PHASE4_STEP8F,phase4_schedule_alternative_cost_score.csv,Validate cost-rate assumptions before treating score as decision-ready.,False,True
STEP8G-RISK-0020,PHASE4-MPS-20260726202343,ASSUMED_PENALTIES,MEDIUM,Assumed/proxy penalty exposure is 681907.869.,ALT-COMBINED,ALT-COMBINED,,PHASE4_STEP8F,phase4_schedule_alternative_cost_score.csv,Keep assumed/proxy exposure separate from validated cost.,False,True
STEP8G-RISK-0021,PHASE4-MPS-20260726202343,PARTIAL_DEMAND_COVERAGE,HIGH,ALT-BN-CP covers 10.5478% of full-route demand.,ALT-BN-CP,ALT-BN-CP,,PHASE4_STEP8F,phase4_schedule_alternative_master.csv,Decide whether partial finite coverage is acceptable before release.,False,True
STEP8G-RISK-0022,PHASE4-MPS-20260726202343,FINAL_ASSEMBLY_BOTTLENECK,HIGH,Primary bottleneck exposure remains WS-FINAL-ASM.,ALT-BN-CP,ALT-BN-CP,WS-FINAL-ASM,PHASE4_STEP5B,phase4_bottleneck_visibility_summary.csv,Review final assembly bottleneck before selecting an alternative.,False,True
STEP8G-RISK-0023,PHASE4-MPS-20260726202343,BLOCKED_PRODUCTION,HIGH,Buffer blocked qty=2469.4334; WIP blocked qty=12705.3514.,ALT-BN-CP,ALT-BN-CP,,PHASE4_STEP8F,phase4_schedule_alternative_wip_impact.csv,Review finite WIP buffers and shortages before release.,False,True
STEP8G-RISK-0024,PHASE4-MPS-20260726202343,LOW_COST_CONFIDENCE,MEDIUM,Cost confidence is LOW.,ALT-BN-CP,ALT-BN-CP,,PHASE4_STEP8F,phase4_schedule_alternative_cost_score.csv,Validate cost-rate assumptions before treating score as decision-ready.,False,True
STEP8G-RISK-0025,PHASE4-MPS-20260726202343,ASSUMED_PENALTIES,MEDIUM,Assumed/proxy penalty exposure is 681895.8157.,ALT-BN-CP,ALT-BN-CP,,PHASE4_STEP8F,phase4_schedule_alternative_cost_score.csv,Keep assumed/proxy exposure separate from validated cost.,False,True
STEP8G-RISK-0026,PHASE4-MPS-20260726202343,PARTIAL_DEMAND_COVERAGE,HIGH,ALT-SETUP covers 9.6539% of full-route demand.,ALT-SETUP,ALT-SETUP,,PHASE4_STEP8F,phase4_schedule_alternative_master.csv,Decide whether partial finite coverage is acceptable before release.,False,True
STEP8G-RISK-0027,PHASE4-MPS-20260726202343,FINAL_ASSEMBLY_BOTTLENECK,HIGH,Primary bottleneck exposure remains WS-FINAL-ASM.,ALT-SETUP,ALT-SETUP,WS-FINAL-ASM,PHASE4_STEP5B,phase4_bottleneck_visibility_summary.csv,Review final assembly bottleneck before selecting an alternative.,False,True
STEP8G-RISK-0028,PHASE4-MPS-20260726202343,BLOCKED_PRODUCTION,HIGH,Buffer blocked qty=3309.4334; WIP blocked qty=12705.3514.,ALT-SETUP,ALT-SETUP,,PHASE4_STEP8F,phase4_schedule_alternative_wip_impact.csv,Review finite WIP buffers and shortages before release.,False,True
STEP8G-RISK-0029,PHASE4-MPS-20260726202343,LOW_COST_CONFIDENCE,MEDIUM,Cost confidence is LOW.,ALT-SETUP,ALT-SETUP,,PHASE4_STEP8F,phase4_schedule_alternative_cost_score.csv,Validate cost-rate assumptions before treating score as decision-ready.,False,True
STEP8G-RISK-0030,PHASE4-MPS-20260726202343,ASSUMED_PENALTIES,MEDIUM,Assumed/proxy penalty exposure is 684533.8318.,ALT-SETUP,ALT-SETUP,,PHASE4_STEP8F,phase4_schedule_alternative_cost_score.csv,Keep assumed/proxy exposure separate from validated cost.,False,True
STEP8G-RISK-0031,PHASE4-MPS-20260726202343,UPSTREAM_PHASE2_WARNINGS,MEDIUM,Phase 2 warnings remain visible: 10.,PHASE2,,PHASE2,PHASE2,phase4_initialization_validation.json,Resolve or accept procurement warnings before release.,False,True
STEP8G-RISK-0032,PHASE4-MPS-20260726202343,UPSTREAM_PHASE3_WARNINGS,MEDIUM,Phase 3 warnings remain visible: 13.,PHASE3,,PHASE3,PHASE3,phase4_initialization_validation.json,Resolve or accept inventory warnings before release.,False,True
STEP8G-RISK-0033,PHASE4-MPS-20260726202343,UPSTREAM_INTEGRATED_WARNINGS,MEDIUM,Integrated validation warnings remain visible: 1.,INTEGRATED,,INTEGRATED,INTEGRATED,phase4_initialization_validation.json,Resolve or formally accept integrated validation warnings before release.,False,True
STEP8G-RISK-0034,PHASE4-MPS-20260726202343,EQUIVALENT_ALTERNATIVES,LOW,"Equivalent alternatives detected: ALT-BASELINE, ALT-MAINT.","ALT-BASELINE,ALT-MAINT","ALT-BASELINE,ALT-MAINT",,PHASE4_STEP8G_MANAGER_DECISION_DATASET,phase4_step8g_tradeoff_analysis.csv,Use one reference alternative for review; avoid over-interpreting identical results.,False,True
STEP8G-RISK-0035,PHASE4-MPS-20260726202343,MANAGER_APPROVAL_REQUIRED,HIGH,Recommendation is not approved or released.,ALT-BASELINE,ALT-BASELINE,,PHASE4_STEP8G_MANAGER_DECISION_DATASET,phase4_step8g_release_readiness.csv,Manager approval must be recorded in a later decision layer before execution.,False,True
