sku_id,product_name,category,main_inventory_status,secondary_status_flags,primary_action,secondary_action,action_priority,action_reason,recommended_order_quantity,recommended_supplier_id,backup_supplier_id,supplier_review_signal,watchlist_supplier_signal,phase4_review_flag,quantity_constraint_flag,warning_codes
SKU-COF-001,House Blend Coffee 1kg,Grocery,REORDER_NOW,SUPPLIER_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE,REVIEW_SUPPLIER_BEFORE_ORDER,ORDER_RECOMMENDED_QUANTITY,HIGH,Inventory is at or below reorder point and supplier review is required before ordering.,1880,UNKNOWN,UNKNOWN,True,False,False,True,SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER
SKU-TEA-002,Iced Tea Peach 500ml,Beverages,ZERO_STOCK,SUPPLIER_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK,ORDER_RECOMMENDED_QUANTITY,NO_ACTION,HIGH,Zero stock exists and a recommended order quantity is available.,880,UNKNOWN,UNKNOWN,True,False,False,True,SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;PERISHABLE_ORDER_CAPPED;HIGH_MOQ_MAY_CAUSE_OVERSTOCK
SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,OVERSTOCK,NEAR_EXPIRY;EXPIRED_STOCK;SPOILAGE_RISK;SUPPLIER_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,SCRAP_OR_QUARANTINE_EXPIRED,HIGH,Inventory exceeds max stock or days-of-supply threshold.,105,UNKNOWN,UNKNOWN,True,False,False,True,SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER
SKU-SUP-004,Winter Soup Mix 400g,Grocery,STOCKOUT,SUPPLIER_REVIEW_REQUIRED;WATCHLIST_SUPPLIER;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK,EXPEDITE_ORDER,USE_FAST_RELIABLE_SUPPLIER,URGENT,"Stockout on critical or vital SKU requires urgent recovery. Supplier review/watchlist signal is active, so use the fastest reliable approved path.",1200,UNKNOWN,UNKNOWN,True,True,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;STOCKOUT_ORDER_BOOSTED;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;PERISHABLE_ORDER_CAPPED;HIGH_MOQ_MAY_CAUSE_OVERSTOCK
SKU-CHC-005,Valentine Chocolate Box 250g,Confectionery,UNKNOWN_STATUS,EXPIRED_STOCK;SPOILAGE_RISK;SUPPLIER_REVIEW_REQUIRED;WATCHLIST_SUPPLIER;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK;PARAMETER_INCONSISTENCY,REVIEW_POLICY_PARAMETERS,NO_ACTION,HIGH,Policy parameters are inconsistent: max_stock_level is below reorder_point.,405,UNKNOWN,UNKNOWN,True,True,False,True,SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;PERISHABLE_ORDER_CAPPED;HIGH_MOQ_MAY_CAUSE_OVERSTOCK
SKU-BBQ-006,BBQ Charcoal 5kg,Outdoor,OVERSTOCK,NON_MOVING;SUPPLIER_REVIEW_REQUIRED;WATCHLIST_SUPPLIER;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;NO_ORDER_RECOMMENDED;EXISTING_INVENTORY_CAP_ACTIVE;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,LIQUIDATE_DEAD_STOCK,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,0,UNKNOWN,UNKNOWN,True,True,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;NO_ORDER_RECOMMENDED_FOR_EVENT_BASED;ORDER_QUANTITY_CAPPED_BY_EXISTING_INVENTORY
SKU-UMR-007,Compact Umbrella,Accessories,CRITICAL_LOW_STOCK,SUPPLIER_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE,ORDER_RECOMMENDED_QUANTITY,NO_ACTION,HIGH,Inventory position is at or below safety stock.,70,UNKNOWN,UNKNOWN,True,False,False,True,SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER
SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,STOCKOUT,SUPPLIER_REVIEW_REQUIRED;WATCHLIST_SUPPLIER;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK,EXPEDITE_ORDER,USE_FAST_RELIABLE_SUPPLIER,URGENT,"Stockout on critical or vital SKU requires urgent recovery. Supplier review/watchlist signal is active, so use the fastest reliable approved path.",400,UNKNOWN,UNKNOWN,True,True,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;STOCKOUT_ORDER_BOOSTED;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;HIGH_MOQ_MAY_CAUSE_OVERSTOCK
SKU-FIL-009,Replacement Water Filter,Home,OVERSTOCK,NON_MOVING;SUPPLIER_REVIEW_REQUIRED;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;NO_ORDER_RECOMMENDED;EXISTING_INVENTORY_CAP_ACTIVE;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,LIQUIDATE_DEAD_STOCK,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,0,UNKNOWN,UNKNOWN,True,False,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;NO_ORDER_RECOMMENDED_FOR_ONE_TO_ONE;ORDER_QUANTITY_CAPPED_BY_EXISTING_INVENTORY
SKU-GFT-010,Premium Gift Wrap Roll,Stationery,OVERSTOCK,SUPPLIER_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;NO_ORDER_RECOMMENDED;EXISTING_INVENTORY_CAP_ACTIVE;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,NO_ACTION,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,0,UNKNOWN,UNKNOWN,True,False,False,True,SUPPLIER_REVIEW_BEFORE_ORDER;NO_ORDER_RECOMMENDED_FOR_EVENT_BASED;ORDER_QUANTITY_CAPPED_BY_EXISTING_INVENTORY
