planning_run_id,machine_id,machine_name,failure_mode_id,likely_spare_part_sku,spare_part_name,criticality,expected_breakdown_count_next_period,expected_spare_part_exposure_qty,inventory_status,supplier_coverage_status,spare_part_readiness_status,breakdown_spare_part_review_required_flag,note_no_consumption_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260701140123,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,FM-FRAME-ALIGN-001,SP-FRAME-JIG-PAD-001,Frame Jig Wear Pad Kit,HIGH,0.9375,0.9375,SUFFICIENT,LIMITED_COVERAGE,READY,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260701140123,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,FM-FRAME-BEAR-001,SP-BEARING-KIT-001,General Bearing Replacement Kit,CRITICAL,0.9375,0.9375,SUFFICIENT,COVERED,READY,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260701140123,M-WHEEL-TRUE-001,Wheel Truing Stand,FM-WHEEL-BEAR-001,SP-BEARING-KIT-001,General Bearing Replacement Kit,CRITICAL,0.425,0.425,SUFFICIENT,COVERED,READY,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260701140123,M-WHEEL-TRUE-001,Wheel Truing Stand,FM-WHEEL-ALIGN-001,SP-WHEEL-TRUING-SPARE-001,Wheel Truing Stand Spare Kit,MEDIUM,0.425,0.425,SUFFICIENT,LIMITED_COVERAGE,READY,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260701140123,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,FM-BRAKE-TOOL-001,SP-BRAKE-BENCH-TOOL-001,Brake Bench Tool Spare Set,MEDIUM,0.2036,0.2036,SUFFICIENT,LIMITED_COVERAGE,READY,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260701140123,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,FM-BRAKE-SENSOR-001,SP-ELECTRICAL-SENSOR-001,General Machine Sensor Kit,CRITICAL,0.2036,0.2036,BELOW_REORDER_POINT,COVERED,INVENTORY_REVIEW_REQUIRED,True,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260701140123,M-FORK-BENCH-001,Fork and Suspension Prep Bench,FM-FORK-SEAL-001,SP-FORK-SUSP-SEAL-001,Fork Suspension Seal Kit,CRITICAL,0.075,0.075,BELOW_REORDER_POINT,LIMITED_COVERAGE,INVENTORY_REVIEW_REQUIRED,True,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260701140123,M-FORK-BENCH-001,Fork and Suspension Prep Bench,FM-FORK-LUBE-001,SP-LUBE-OIL-001,General Machine Lubricating Oil,HIGH,0.075,0.075,SUFFICIENT,COVERED,READY,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260701140123,M-FINAL-STAND-001,Final Assembly Stand,FM-FINAL-JIG-001,SP-FINAL-ASM-JIG-001,Final Assembly Jig Spare Kit,HIGH,1.875,1.875,BELOW_REORDER_POINT,LIMITED_COVERAGE,INVENTORY_REVIEW_REQUIRED,True,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260701140123,M-FINAL-STAND-001,Final Assembly Stand,FM-FINAL-BEAR-001,SP-BEARING-KIT-001,General Bearing Replacement Kit,CRITICAL,1.875,1.875,SUFFICIENT,COVERED,READY,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260701140123,M-QC-TOOLS-001,QC Inspection Tool Set,FM-QC-CAL-001,SP-QC-CALIBRATION-KIT-001,QC Calibration Kit,CRITICAL,0.4027,0.4027,BELOW_SAFETY_STOCK,LIMITED_COVERAGE,INVENTORY_REVIEW_REQUIRED,True,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260701140123,M-QC-TOOLS-001,QC Inspection Tool Set,FM-QC-SENSOR-001,SP-ELECTRICAL-SENSOR-001,General Machine Sensor Kit,CRITICAL,0.4027,0.4027,BELOW_REORDER_POINT,COVERED,INVENTORY_REVIEW_REQUIRED,True,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260701140123,M-PACK-BENCH-001,Packaging Bench and Tool Set,FM-PACK-TOOL-001,SP-PACK-BENCH-SPARE-001,Packaging Bench Spare Kit,LOW,0.0,0.0,SUFFICIENT,LIMITED_COVERAGE,READY,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260701140123,M-PACK-BENCH-001,Packaging Bench and Tool Set,FM-PACK-ELECT-001,SP-ELECTRICAL-SENSOR-001,General Machine Sensor Kit,CRITICAL,0.0,0.0,BELOW_REORDER_POINT,COVERED,INVENTORY_REVIEW_REQUIRED,True,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
