review_item_id,planning_run_id,alternative_id,issue_type,issue_severity,business_impact,source_file,recommended_manager_action,auto_action_allowed,advisory_only_flag
STEP8G-REV-0001,PHASE4-MPS-20260726202343,ALT-BASELINE,PARTIAL_DEMAND_COVERAGE,HIGH,Only 29.1135% full-route demand coverage.,phase4_schedule_alternative_master.csv,Review whether partial coverage is acceptable or request another scenario.,False,True
STEP8G-REV-0002,PHASE4-MPS-20260726202343,ALT-BASELINE,BUFFER_OR_WIP_BLOCKED_PRODUCTION,HIGH,Buffer blocked qty=551.6042; WIP blocked qty=12705.3514.,phase4_schedule_alternative_wip_impact.csv,"Review WIP buffers, upstream/downstream flow, and candidate quantities.",False,True
STEP8G-REV-0003,PHASE4-MPS-20260726202343,ALT-BASELINE,LOW_COST_CONFIDENCE,MEDIUM,Cost confidence is LOW.,phase4_schedule_alternative_cost_score.csv,Review cost assumptions before approving a scenario.,False,True
STEP8G-REV-0004,PHASE4-MPS-20260726202343,ALT-BASELINE,ASSUMED_PENALTIES_USED,MEDIUM,Assumed/proxy exposure=798323.7341.,phase4_schedule_alternative_cost_score.csv,Separate real cost from proxy exposure during management review.,False,True
STEP8G-REV-0005,PHASE4-MPS-20260726202343,ALT-BASELINE,MAJOR_BOTTLENECK,HIGH,Main bottleneck is WS-FINAL-ASM (CRITICAL).,phase4_bottleneck_visibility_summary.csv,Review bottleneck capacity before selecting a schedule alternative.,False,True
STEP8G-REV-0006,PHASE4-MPS-20260726202343,ALT-MAINT,PARTIAL_DEMAND_COVERAGE,HIGH,Only 29.1135% full-route demand coverage.,phase4_schedule_alternative_master.csv,Review whether partial coverage is acceptable or request another scenario.,False,True
STEP8G-REV-0007,PHASE4-MPS-20260726202343,ALT-MAINT,BUFFER_OR_WIP_BLOCKED_PRODUCTION,HIGH,Buffer blocked qty=551.6042; WIP blocked qty=12705.3514.,phase4_schedule_alternative_wip_impact.csv,"Review WIP buffers, upstream/downstream flow, and candidate quantities.",False,True
STEP8G-REV-0008,PHASE4-MPS-20260726202343,ALT-MAINT,LOW_COST_CONFIDENCE,MEDIUM,Cost confidence is LOW.,phase4_schedule_alternative_cost_score.csv,Review cost assumptions before approving a scenario.,False,True
STEP8G-REV-0009,PHASE4-MPS-20260726202343,ALT-MAINT,ASSUMED_PENALTIES_USED,MEDIUM,Assumed/proxy exposure=798323.7341.,phase4_schedule_alternative_cost_score.csv,Separate real cost from proxy exposure during management review.,False,True
STEP8G-REV-0010,PHASE4-MPS-20260726202343,ALT-MAINT,MAJOR_BOTTLENECK,HIGH,Main bottleneck is WS-FINAL-ASM (CRITICAL).,phase4_bottleneck_visibility_summary.csv,Review bottleneck capacity before selecting a schedule alternative.,False,True
STEP8G-REV-0011,PHASE4-MPS-20260726202343,ALT-WIP,PARTIAL_DEMAND_COVERAGE,HIGH,Only 29.1135% full-route demand coverage.,phase4_schedule_alternative_master.csv,Review whether partial coverage is acceptable or request another scenario.,False,True
STEP8G-REV-0012,PHASE4-MPS-20260726202343,ALT-WIP,BUFFER_OR_WIP_BLOCKED_PRODUCTION,HIGH,Buffer blocked qty=551.6042; WIP blocked qty=12705.3514.,phase4_schedule_alternative_wip_impact.csv,"Review WIP buffers, upstream/downstream flow, and candidate quantities.",False,True
STEP8G-REV-0013,PHASE4-MPS-20260726202343,ALT-WIP,LOW_COST_CONFIDENCE,MEDIUM,Cost confidence is LOW.,phase4_schedule_alternative_cost_score.csv,Review cost assumptions before approving a scenario.,False,True
STEP8G-REV-0014,PHASE4-MPS-20260726202343,ALT-WIP,ASSUMED_PENALTIES_USED,MEDIUM,Assumed/proxy exposure=798341.701.,phase4_schedule_alternative_cost_score.csv,Separate real cost from proxy exposure during management review.,False,True
