planning_run_id,candidate_id,machine_id,machine_name,required_downtime_window_hours,required_crew_type,required_skill_id,required_worker_count,maintenance_level,required_authorization_level,candidate_requirement_completeness_status,spare_part_ready_flag,crew_ready_flag,production_bottleneck_sensitive_flag,avoid_peak_production_flag,preferred_window_basis,window_requirement_status,note_no_calendar_assignment_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260701140123,MAINT-CAND-001,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,0.5,PRODUCTION,SKILL-CLEANING,1.0,LIGHT,BASIC,COMPLETE,True,True,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,READY_FOR_STEP7G_REVIEW,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-002,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,3.0,MAINTENANCE,SKILL-MECH-MAINT,1.0,MEDIUM,ADVANCED,COMPLETE,True,False,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-003,M-WHEEL-TRUE-001,Wheel Truing Stand,0.25,PRODUCTION,SKILL-BOLT-TIGHTENING,1.0,LIGHT,BASIC,COMPLETE,True,True,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,READY_FOR_STEP7G_REVIEW,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-004,M-WHEEL-TRUE-001,Wheel Truing Stand,2.5,MAINTENANCE,SKILL-MECH-MAINT,1.0,MEDIUM,ADVANCED,COMPLETE,True,False,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-005,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,2.0,MAINTENANCE,SKILL-MECH-MAINT,1.0,MEDIUM,ADVANCED,COMPLETE,True,False,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-006,M-FORK-BENCH-001,Fork and Suspension Prep Bench,0.5,PRODUCTION,SKILL-LUBRICATION,1.0,LIGHT,BASIC,COMPLETE,True,True,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,READY_FOR_STEP7G_REVIEW,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-007,M-FORK-BENCH-001,Fork and Suspension Prep Bench,3.5,MAINTENANCE,SKILL-MECH-MAINT,1.0,MEDIUM,ADVANCED,COMPLETE,False,False,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-008,M-FINAL-STAND-001,Final Assembly Stand,0.5,PRODUCTION,SKILL-LUBRICATION,1.0,LIGHT,BASIC,COMPLETE,True,True,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,READY_FOR_STEP7G_REVIEW,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-009,M-FINAL-STAND-001,Final Assembly Stand,3.0,MAINTENANCE,SKILL-MECH-MAINT,1.0,MEDIUM,ADVANCED,COMPLETE,False,False,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-010,M-QC-TOOLS-001,QC Inspection Tool Set,2.0,MAINTENANCE,SKILL-ELEC-MAINT,1.0,MEDIUM,EXPERT,COMPLETE,False,False,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-011,M-QC-TOOLS-001,QC Inspection Tool Set,0.0,MAINTENANCE,SKILL-CORRECTIVE,1.0,BREAKDOWN_REPAIR_PLACEHOLDER,ADVANCED,COMPLETE,False,False,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-012,M-PACK-BENCH-001,Packaging Bench and Tool Set,1.5,MAINTENANCE,SKILL-LIGHT-MAINT,1.0,MEDIUM,INTERMEDIATE,COMPLETE,True,False,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-013,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,4.0,MAINTENANCE,SKILL-MECH-MAINT,1.0,MEDIUM,REPAIR,COMPLETE,False,True,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-014,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,2.5,MAINTENANCE,SKILL-MECH-MAINT,1.0,MEDIUM,REPAIR,COMPLETE,False,True,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-015,M-WHEEL-TRUE-001,Wheel Truing Stand,3.5,MAINTENANCE,SKILL-MECH-MAINT,1.0,MEDIUM,REPAIR,COMPLETE,False,True,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-016,M-WHEEL-TRUE-001,Wheel Truing Stand,2.0,MAINTENANCE,SKILL-BASIC-ADJUSTMENT,1.0,LIGHT,REPAIR,COMPLETE,False,False,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-017,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,1.8,MAINTENANCE,SKILL-BASIC-ADJUSTMENT,1.0,LIGHT,REPAIR,COMPLETE,False,False,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-018,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,3.0,MAINTENANCE,SKILL-ELEC-MAINT,1.0,MEDIUM,REPAIR,COMPLETE,False,True,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-019,M-FORK-BENCH-001,Fork and Suspension Prep Bench,4.5,MAINTENANCE,SKILL-MECH-MAINT,1.0,MEDIUM,REPAIR,COMPLETE,False,True,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-020,M-FORK-BENCH-001,Fork and Suspension Prep Bench,2.0,MAINTENANCE,SKILL-LUBRICATION,1.0,LIGHT,REPAIR,COMPLETE,False,False,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-021,M-FINAL-STAND-001,Final Assembly Stand,6.0,MAINTENANCE,SKILL-HEAVY-OVERHAUL,1.0,HEAVY,REPAIR,COMPLETE,False,True,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-022,M-FINAL-STAND-001,Final Assembly Stand,3.5,MAINTENANCE,SKILL-MECH-MAINT,1.0,MEDIUM,REPAIR,COMPLETE,False,True,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-023,M-QC-TOOLS-001,QC Inspection Tool Set,2.5,MAINTENANCE,SKILL-ELEC-MAINT,1.0,CALIBRATION,REPAIR,COMPLETE,False,True,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-024,M-QC-TOOLS-001,QC Inspection Tool Set,5.0,MAINTENANCE,SKILL-ELEC-MAINT,1.0,MEDIUM,REPAIR,COMPLETE,False,True,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-025,M-PACK-BENCH-001,Packaging Bench and Tool Set,1.0,MAINTENANCE,SKILL-CLEANING,1.0,LIGHT,REPAIR,COMPLETE,False,False,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
PHASE4-MPS-20260701140123,MAINT-CAND-026,M-PACK-BENCH-001,Packaging Bench and Tool Set,2.5,MAINTENANCE,SKILL-ELEC-MAINT,1.0,MEDIUM,REPAIR,COMPLETE,False,True,True,True,OFF_PEAK_WINDOW_REQUIRED_BY_PRODUCTION_RISK,BLOCKED_REVIEW_REQUIRED,True,SHARED_STEP7F_MAINTENANCE_PRODUCTION_IMPACT,True
