maintenance_plan_id,machine_id,machine_type,machine_name,maintenance_level,maintenance_category,trigger_type,operations_between_maintenance,days_between_maintenance,condition_trigger_placeholder,estimated_maintenance_duration_hours,planned_downtime_hours,required_crew_type,required_skill_id,required_authorization_level,required_worker_count,can_be_performed_by_production_flag,can_be_performed_by_maintenance_flag,can_defer_flag,max_defer_operations,max_defer_days,deferral_risk_level,estimated_labor_hours,estimated_external_service_cost,active_flag,advisory_only_flag,notes
MP-FRAME-LIGHT-001,M-FRAME-JIG-001,FRAME_ALIGNMENT_FIXTURE,Frame Jig and Alignment Fixture,LIGHT,AUTONOMOUS_MAINTENANCE,OPERATIONS_OR_TIME_BASED,120,14,,0.75,0.50,PRODUCTION,SKILL-CLEANING,BASIC,1,True,True,True,20,3,LOW,0.75,0,True,True,Light cleaning inspection and lubrication only.
MP-FRAME-MED-001,M-FRAME-JIG-001,FRAME_ALIGNMENT_FIXTURE,Frame Jig and Alignment Fixture,MEDIUM,PREVENTIVE_MAINTENANCE,OPERATIONS_OR_TIME_BASED,600,60,,3.00,3.00,MAINTENANCE,SKILL-MECH-MAINT,ADVANCED,1,False,True,True,60,7,HIGH,3.00,0,True,True,Alignment and mechanical service.
MP-FRAME-HEAVY-001,M-FRAME-JIG-001,FRAME_ALIGNMENT_FIXTURE,Frame Jig and Alignment Fixture,HEAVY,OVERHAUL,TIME_BASED,0,365,,8.00,8.00,MAINTENANCE,SKILL-HEAVY-OVERHAUL,ADVANCED,2,False,True,False,0,0,CRITICAL,16.00,250,True,True,Fixture rebuild planning placeholder.
MP-WHEEL-LIGHT-001,M-WHEEL-TRUE-001,WHEEL_TRUING_STAND,Wheel Truing Stand,LIGHT,AUTONOMOUS_MAINTENANCE,OPERATIONS_OR_TIME_BASED,150,14,,0.50,0.25,PRODUCTION,SKILL-BOLT-TIGHTENING,BASIC,1,True,True,True,25,3,LOW,0.50,0,True,True,Cleaning lubrication and tightening checks.
MP-WHEEL-MED-001,M-WHEEL-TRUE-001,WHEEL_TRUING_STAND,Wheel Truing Stand,MEDIUM,CALIBRATION,OPERATIONS_OR_TIME_BASED,700,90,,2.50,2.50,MAINTENANCE,SKILL-MECH-MAINT,ADVANCED,1,False,True,True,70,10,HIGH,2.50,0,True,True,Calibration and bearing check.
MP-WHEEL-HEAVY-001,M-WHEEL-TRUE-001,WHEEL_TRUING_STAND,Wheel Truing Stand,HEAVY,OVERHAUL,TIME_BASED,0,365,,6.00,6.00,MAINTENANCE,SKILL-HEAVY-OVERHAUL,ADVANCED,2,False,True,False,0,0,HIGH,12.00,180,True,True,Overhaul placeholder only.
MP-BRAKE-LIGHT-001,M-BRAKE-BENCH-001,BRAKE_ASSEMBLY_TOOLS,Brake Assembly Bench and Tooling,LIGHT,AUTONOMOUS_MAINTENANCE,OPERATIONS_OR_TIME_BASED,140,14,,0.50,0.25,PRODUCTION,SKILL-BASIC-ADJUSTMENT,BASIC,1,True,True,True,25,3,LOW,0.50,0,True,True,Clean inspect and basic adjustment.
MP-BRAKE-MED-001,M-BRAKE-BENCH-001,BRAKE_ASSEMBLY_TOOLS,Brake Assembly Bench and Tooling,MEDIUM,PREVENTIVE_MAINTENANCE,OPERATIONS_OR_TIME_BASED,650,75,,2.00,2.00,MAINTENANCE,SKILL-MECH-MAINT,ADVANCED,1,False,True,True,60,7,MEDIUM,2.00,0,True,True,Tool replacement and mechanical check.
MP-FORK-LIGHT-001,M-FORK-BENCH-001,FORK_SUSPENSION_BENCH,Fork and Suspension Prep Bench,LIGHT,AUTONOMOUS_MAINTENANCE,OPERATIONS_OR_TIME_BASED,100,14,,0.75,0.50,PRODUCTION,SKILL-LUBRICATION,BASIC,1,True,True,True,15,3,MEDIUM,0.75,0,True,True,Oil and seal visual inspection only.
MP-FORK-MED-001,M-FORK-BENCH-001,FORK_SUSPENSION_BENCH,Fork and Suspension Prep Bench,MEDIUM,PREVENTIVE_MAINTENANCE,OPERATIONS_OR_TIME_BASED,450,60,,3.50,3.50,MAINTENANCE,SKILL-MECH-MAINT,ADVANCED,1,False,True,True,45,5,HIGH,3.50,0,True,True,Seal kit service.
MP-FINAL-LIGHT-001,M-FINAL-STAND-001,BIKE_ASSEMBLY_STAND,Final Assembly Stand,LIGHT,AUTONOMOUS_MAINTENANCE,OPERATIONS_OR_TIME_BASED,160,14,,0.75,0.50,PRODUCTION,SKILL-LUBRICATION,BASIC,1,True,True,True,20,3,LOW,0.75,0,True,True,Lubrication inspection tightening and reporting.
MP-FINAL-MED-001,M-FINAL-STAND-001,BIKE_ASSEMBLY_STAND,Final Assembly Stand,MEDIUM,PREVENTIVE_MAINTENANCE,OPERATIONS_OR_TIME_BASED,650,75,,3.00,3.00,MAINTENANCE,SKILL-MECH-MAINT,ADVANCED,1,False,True,True,60,7,HIGH,3.00,0,True,True,Jig adjustment and service.
MP-FINAL-HEAVY-001,M-FINAL-STAND-001,BIKE_ASSEMBLY_STAND,Final Assembly Stand,HEAVY,OVERHAUL,TIME_BASED,0,365,,7.00,7.00,MAINTENANCE,SKILL-HEAVY-OVERHAUL,ADVANCED,2,False,True,False,0,0,HIGH,14.00,220,True,True,Jig rebuild placeholder only.
MP-QC-CAL-001,M-QC-TOOLS-001,INSPECTION_TOOLS,QC Inspection Tool Set,MEDIUM,CALIBRATION,TIME_BASED,0,45,,2.00,2.00,MAINTENANCE,SKILL-ELEC-MAINT,EXPERT,1,False,True,False,0,0,CRITICAL,2.00,100,True,True,Calibration kit service.
MP-QC-BREAKDOWN-001,M-QC-TOOLS-001,INSPECTION_TOOLS,QC Inspection Tool Set,BREAKDOWN_REPAIR_PLACEHOLDER,BREAKDOWN_REPAIR_PLACEHOLDER,BREAKDOWN_PLACEHOLDER,0,0,Future breakdown repair placeholder only,0.00,0.00,MAINTENANCE,SKILL-CORRECTIVE,ADVANCED,1,False,True,False,0,0,CRITICAL,0.00,0,True,True,Placeholder only; no breakdown event generated.
MP-PACK-LIGHT-001,M-PACK-BENCH-001,PACKAGING_TOOLS,Packaging Bench and Tool Set,LIGHT,AUTONOMOUS_MAINTENANCE,OPERATIONS_OR_TIME_BASED,180,21,,0.50,0.25,PRODUCTION,SKILL-CLEANING,BASIC,1,True,True,True,30,5,LOW,0.50,0,True,True,Packaging bench inspection and cleaning.
MP-PACK-MED-001,M-PACK-BENCH-001,PACKAGING_TOOLS,Packaging Bench and Tool Set,MEDIUM,PREVENTIVE_MAINTENANCE,TIME_BASED,0,90,,1.50,1.50,MAINTENANCE,SKILL-LIGHT-MAINT,INTERMEDIATE,1,False,True,True,0,10,MEDIUM,1.50,0,True,True,Packaging tool replacement and service.
