review_item_id,planning_run_id,issue_type,issue_severity,machine_id,crew_id,required_skill_id,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
MCC-REV-0001,PHASE4-MPS-20260726202343,LIGHT_MAINTENANCE_PRODUCTION_SUPPORT_REVIEW,LOW,,,SKILL-BOLT-TIGHTENING,SKILL-BOLT-TIGHTENING includes light autonomous production support only.,REVIEW_BEFORE_ACTION,False,True
MCC-REV-0002,PHASE4-MPS-20260726202343,LIGHT_MAINTENANCE_PRODUCTION_SUPPORT_REVIEW,LOW,,,SKILL-CLEANING,SKILL-CLEANING includes light autonomous production support only.,REVIEW_BEFORE_ACTION,False,True
MCC-REV-0003,PHASE4-MPS-20260726202343,LIGHT_MAINTENANCE_PRODUCTION_SUPPORT_REVIEW,LOW,,,SKILL-LUBRICATION,SKILL-LUBRICATION includes light autonomous production support only.,REVIEW_BEFORE_ACTION,False,True
MCC-REV-0004,PHASE4-MPS-20260726202343,NO_ACTIVE_CREW_COVERAGE,CRITICAL,,,SKILL-BASIC-ADJUSTMENT,SKILL-BASIC-ADJUSTMENT has no active eligible crew coverage.,REVIEW_CREW_REPAIR_COVERAGE,False,True
MCC-REV-0005,PHASE4-MPS-20260726202343,NO_ACTIVE_CREW_COVERAGE,CRITICAL,,,SKILL-CLEANING,SKILL-CLEANING has no active eligible crew coverage.,REVIEW_CREW_REPAIR_COVERAGE,False,True
MCC-REV-0006,PHASE4-MPS-20260726202343,NO_ACTIVE_CREW_COVERAGE,CRITICAL,,,SKILL-LUBRICATION,SKILL-LUBRICATION has no active eligible crew coverage.,REVIEW_CREW_REPAIR_COVERAGE,False,True
MCC-REV-0007,PHASE4-MPS-20260726202343,HIGH_REPAIR_QUEUE_RISK,HIGH,M-FRAME-JIG-001,,SKILL-MECH-MAINT,Frame Jig and Alignment Fixture estimated repair queue risk is HIGH.,REVIEW_DOWNTIME_RISK,False,True
MCC-REV-0008,PHASE4-MPS-20260726202343,HIGH_REPAIR_QUEUE_RISK,HIGH,M-FRAME-JIG-001,,SKILL-MECH-MAINT,Frame Jig and Alignment Fixture estimated repair queue risk is HIGH.,REVIEW_DOWNTIME_RISK,False,True
MCC-REV-0009,PHASE4-MPS-20260726202343,HIGH_REPAIR_QUEUE_RISK,HIGH,M-WHEEL-TRUE-001,,SKILL-MECH-MAINT,Wheel Truing Stand estimated repair queue risk is HIGH.,REVIEW_DOWNTIME_RISK,False,True
MCC-REV-0010,PHASE4-MPS-20260726202343,NO_ACTIVE_CREW_COVERAGE,CRITICAL,M-WHEEL-TRUE-001,,SKILL-BASIC-ADJUSTMENT,Wheel Truing Stand repair exposure for SKILL-BASIC-ADJUSTMENT has no active maintenance crew coverage.,REVIEW_CREW_REPAIR_COVERAGE,False,True
MCC-REV-0011,PHASE4-MPS-20260726202343,REPAIR_REQUIRES_MAINTENANCE_CREW,CRITICAL,M-WHEEL-TRUE-001,,SKILL-BASIC-ADJUSTMENT,Wheel Truing Stand breakdown repair requires maintenance crew coverage; production crews are not eligible.,REVIEW_CREW_REPAIR_COVERAGE,False,True
MCC-REV-0012,PHASE4-MPS-20260726202343,HIGH_REPAIR_QUEUE_RISK,CRITICAL,M-WHEEL-TRUE-001,,SKILL-BASIC-ADJUSTMENT,Wheel Truing Stand estimated repair queue risk is CRITICAL.,REVIEW_DOWNTIME_RISK,False,True
MCC-REV-0013,PHASE4-MPS-20260726202343,NO_ACTIVE_CREW_COVERAGE,CRITICAL,M-BRAKE-BENCH-001,,SKILL-BASIC-ADJUSTMENT,Brake Assembly Bench and Tooling repair exposure for SKILL-BASIC-ADJUSTMENT has no active maintenance crew coverage.,REVIEW_CREW_REPAIR_COVERAGE,False,True
MCC-REV-0014,PHASE4-MPS-20260726202343,REPAIR_REQUIRES_MAINTENANCE_CREW,CRITICAL,M-BRAKE-BENCH-001,,SKILL-BASIC-ADJUSTMENT,Brake Assembly Bench and Tooling breakdown repair requires maintenance crew coverage; production crews are not eligible.,REVIEW_CREW_REPAIR_COVERAGE,False,True
MCC-REV-0015,PHASE4-MPS-20260726202343,HIGH_REPAIR_QUEUE_RISK,CRITICAL,M-BRAKE-BENCH-001,,SKILL-BASIC-ADJUSTMENT,Brake Assembly Bench and Tooling estimated repair queue risk is CRITICAL.,REVIEW_DOWNTIME_RISK,False,True
MCC-REV-0016,PHASE4-MPS-20260726202343,HIGH_REPAIR_QUEUE_RISK,HIGH,M-BRAKE-BENCH-001,,SKILL-ELEC-MAINT,Brake Assembly Bench and Tooling estimated repair queue risk is HIGH.,REVIEW_DOWNTIME_RISK,False,True
MCC-REV-0017,PHASE4-MPS-20260726202343,SPARE_PART_BLOCKED_REPAIR_RISK,HIGH,M-BRAKE-BENCH-001,,SKILL-ELEC-MAINT,Brake Assembly Bench and Tooling has repair exposure with spare readiness INVENTORY_REVIEW_REQUIRED.,REVIEW_SPARE_PART_AVAILABILITY,False,True
MCC-REV-0018,PHASE4-MPS-20260726202343,HIGH_REPAIR_QUEUE_RISK,HIGH,M-FORK-BENCH-001,,SKILL-MECH-MAINT,Fork and Suspension Prep Bench estimated repair queue risk is HIGH.,REVIEW_DOWNTIME_RISK,False,True
MCC-REV-0019,PHASE4-MPS-20260726202343,SPARE_PART_BLOCKED_REPAIR_RISK,HIGH,M-FORK-BENCH-001,,SKILL-MECH-MAINT,Fork and Suspension Prep Bench has repair exposure with spare readiness INVENTORY_REVIEW_REQUIRED.,REVIEW_SPARE_PART_AVAILABILITY,False,True
MCC-REV-0020,PHASE4-MPS-20260726202343,NO_ACTIVE_CREW_COVERAGE,CRITICAL,M-FORK-BENCH-001,,SKILL-LUBRICATION,Fork and Suspension Prep Bench repair exposure for SKILL-LUBRICATION has no active maintenance crew coverage.,REVIEW_CREW_REPAIR_COVERAGE,False,True
MCC-REV-0021,PHASE4-MPS-20260726202343,REPAIR_REQUIRES_MAINTENANCE_CREW,CRITICAL,M-FORK-BENCH-001,,SKILL-LUBRICATION,Fork and Suspension Prep Bench breakdown repair requires maintenance crew coverage; production crews are not eligible.,REVIEW_CREW_REPAIR_COVERAGE,False,True
MCC-REV-0022,PHASE4-MPS-20260726202343,HIGH_REPAIR_QUEUE_RISK,CRITICAL,M-FORK-BENCH-001,,SKILL-LUBRICATION,Fork and Suspension Prep Bench estimated repair queue risk is CRITICAL.,REVIEW_DOWNTIME_RISK,False,True
MCC-REV-0023,PHASE4-MPS-20260726202343,HIGH_REPAIR_QUEUE_RISK,CRITICAL,M-FINAL-STAND-001,,SKILL-HEAVY-OVERHAUL,Final Assembly Stand estimated repair queue risk is CRITICAL.,REVIEW_DOWNTIME_RISK,False,True
MCC-REV-0024,PHASE4-MPS-20260726202343,SPARE_PART_BLOCKED_REPAIR_RISK,HIGH,M-FINAL-STAND-001,,SKILL-HEAVY-OVERHAUL,Final Assembly Stand has repair exposure with spare readiness INVENTORY_REVIEW_REQUIRED.,REVIEW_SPARE_PART_AVAILABILITY,False,True
MCC-REV-0025,PHASE4-MPS-20260726202343,HIGH_REPAIR_QUEUE_RISK,HIGH,M-FINAL-STAND-001,,SKILL-MECH-MAINT,Final Assembly Stand estimated repair queue risk is HIGH.,REVIEW_DOWNTIME_RISK,False,True
MCC-REV-0026,PHASE4-MPS-20260726202343,HIGH_REPAIR_QUEUE_RISK,CRITICAL,M-QC-TOOLS-001,,SKILL-ELEC-MAINT,QC Inspection Tool Set estimated repair queue risk is CRITICAL.,REVIEW_DOWNTIME_RISK,False,True
MCC-REV-0027,PHASE4-MPS-20260726202343,SPARE_PART_BLOCKED_REPAIR_RISK,HIGH,M-QC-TOOLS-001,,SKILL-ELEC-MAINT,QC Inspection Tool Set has repair exposure with spare readiness INVENTORY_REVIEW_REQUIRED.,REVIEW_SPARE_PART_AVAILABILITY,False,True
MCC-REV-0028,PHASE4-MPS-20260726202343,HIGH_REPAIR_QUEUE_RISK,CRITICAL,M-QC-TOOLS-001,,SKILL-ELEC-MAINT,QC Inspection Tool Set estimated repair queue risk is CRITICAL.,REVIEW_DOWNTIME_RISK,False,True
MCC-REV-0029,PHASE4-MPS-20260726202343,SPARE_PART_BLOCKED_REPAIR_RISK,HIGH,M-QC-TOOLS-001,,SKILL-ELEC-MAINT,QC Inspection Tool Set has repair exposure with spare readiness INVENTORY_REVIEW_REQUIRED.,REVIEW_SPARE_PART_AVAILABILITY,False,True
MCC-REV-0030,PHASE4-MPS-20260726202343,NO_ACTIVE_CREW_COVERAGE,CRITICAL,M-PACK-BENCH-001,,SKILL-CLEANING,Packaging Bench and Tool Set repair exposure for SKILL-CLEANING has no active maintenance crew coverage.,REVIEW_CREW_REPAIR_COVERAGE,False,True
