batch_id,sku_id,product_name,category,batch_quantity,active_batch_quantity_flag,active_batch_action_required,batch_trace_only_flag,expiry_date,batch_status,expired_flag,near_expiry_flag,recommended_batch_zone,recommended_batch_location_id,primary_sku_location_id,quarantine_location_id,fefo_location_id,normal_storage_location_id,batch_slotting_action,batch_slotting_reason,batch_slotting_warning_flags,include_in_physical_map,include_in_traceability_layer,visual_quantity,visual_layer,visual_status_group,visual_warning_flags,visual_info_flags,assigned_temperature_controlled,assigned_security_controlled,assigned_forklift_accessible,assigned_perishable_allowed,assigned_fragile_allowed,assigned_heavy_allowed,zone_match_type,map_x,map_y,map_z,map_zone,map_label,map_color_group
BATCH-001-01,SKU-COF-001,House Blend Coffee 1kg,Grocery,420.0,True,True,False,,HEALTHY_BATCH,False,False,FAST_PICK,LOC-FP-001,LOC-FP-001,,,LOC-FP-001,KEEP_CURRENT_LOCATION,Healthy batch follows the SKU primary normal storage location.,ACTIVE_HEALTHY_BATCH_ASSIGNED_TO_NORMAL_STORAGE,True,True,420.0,PRIMARY_STORAGE,PRIMARY_STORAGE,,,False,False,True,False,True,False,EXACT_ZONE_MATCH,12.0,8.0,1.0,FAST_PICK,BATCH-001-01 -> LOC-FP-001,HEALTHY_BATCH
BATCH-002-01,SKU-TEA-002,Iced Tea Peach 500ml,Beverages,0.0,False,False,True,2026-05-29,EXPIRED_BATCH,True,False,TRACE_ONLY,LOC-CP-001,LOC-TC-002,,,LOC-TC-002,NO_ACTIVE_BATCH_QUANTITY,Batch has zero active quantity; retained in batch slotting for traceability only.,ZERO_QUANTITY_EXPIRED_BATCH_TRACE_ONLY,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,False,False,True,True,True,False,FALLBACK_ZONE,10.0,24.0,2.0,CASE_PICKING,BATCH-002-01 -> LOC-CP-001,EXPIRED_BATCH
BATCH-002-02,SKU-TEA-002,Iced Tea Peach 500ml,Beverages,0.0,False,False,True,2026-06-16,NEAR_EXPIRY_BATCH,False,True,TRACE_ONLY,LOC-CP-001,LOC-TC-002,,,LOC-TC-002,NO_ACTIVE_BATCH_QUANTITY,Batch has zero active quantity; retained in batch slotting for traceability only.,ZERO_QUANTITY_NEAR_EXPIRY_BATCH_TRACE_ONLY,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,False,False,True,True,True,False,FALLBACK_ZONE,10.0,24.0,2.0,CASE_PICKING,BATCH-002-02 -> LOC-CP-001,NEAR_EXPIRY_BATCH
BATCH-003-01,SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,53.0,True,True,False,2026-05-29,EXPIRED_BATCH,True,False,QUARANTINE,LOC-QA-001,LOC-TC-003,LOC-QA-001,LOC-TC-001,LOC-TC-003,QUARANTINE_EXPIRED_BATCH,Expired batch is assigned to quarantine without quarantining the entire SKU.,ACTIVE_EXPIRED_BATCH_ASSIGNED_TO_QUARANTINE,True,True,53.0,QUARANTINE_EXPIRED,QUARANTINE_EXPIRED,,,True,True,False,True,True,False,EXACT_ZONE_MATCH,54.0,12.0,1.0,QUARANTINE,BATCH-003-01 -> LOC-QA-001,EXPIRED_BATCH
BATCH-003-02,SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,53.0,True,True,False,2026-06-16,NEAR_EXPIRY_BATCH,False,True,FAST_PICK,LOC-TC-001,LOC-TC-003,LOC-QA-001,LOC-TC-001,LOC-TC-003,PRIORITIZE_NEAR_EXPIRY_FEFO,Near-expiry batch is assigned to FEFO-accessible picking so it can be used before healthy stock.,ACTIVE_NEAR_EXPIRY_BATCH_ASSIGNED_TO_FEFO,True,True,53.0,FEFO_NEAR_EXPIRY,FEFO_NEAR_EXPIRY,,,True,False,True,True,True,False,CAPABILITY_MATCH,18.0,30.0,1.0,CASE_PICKING,BATCH-003-02 -> LOC-TC-001,NEAR_EXPIRY_BATCH
BATCH-003-03,SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,54.0,True,True,False,2026-07-20,HEALTHY_BATCH,False,False,EACH_PICKING,LOC-TC-003,LOC-TC-003,LOC-QA-001,LOC-TC-001,LOC-TC-003,KEEP_CURRENT_LOCATION,Healthy batch follows the SKU primary normal storage location.,ACTIVE_HEALTHY_BATCH_ASSIGNED_TO_NORMAL_STORAGE,True,True,54.0,PRIMARY_STORAGE,PRIMARY_STORAGE,,,True,False,False,True,True,False,EXACT_ZONE_MATCH,20.0,32.0,2.0,EACH_PICKING,BATCH-003-03 -> LOC-TC-003,HEALTHY_BATCH
BATCH-004-01,SKU-SUP-004,Winter Soup Mix 400g,Grocery,0.0,False,False,True,2026-05-29,EXPIRED_BATCH,True,False,TRACE_ONLY,LOC-TC-002,LOC-TC-001,,,LOC-TC-001,NO_ACTIVE_BATCH_QUANTITY,Batch has zero active quantity; retained in batch slotting for traceability only.,ZERO_QUANTITY_EXPIRED_BATCH_TRACE_ONLY,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,True,False,True,True,True,True,CAPABILITY_MATCH,30.0,30.0,1.0,PALLET_STORAGE,BATCH-004-01 -> LOC-TC-002,EXPIRED_BATCH
BATCH-004-02,SKU-SUP-004,Winter Soup Mix 400g,Grocery,0.0,False,False,True,2026-06-16,NEAR_EXPIRY_BATCH,False,True,TRACE_ONLY,LOC-TC-002,LOC-TC-001,,,LOC-TC-001,NO_ACTIVE_BATCH_QUANTITY,Batch has zero active quantity; retained in batch slotting for traceability only.,ZERO_QUANTITY_NEAR_EXPIRY_BATCH_TRACE_ONLY,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,True,False,True,True,True,True,CAPABILITY_MATCH,30.0,30.0,1.0,PALLET_STORAGE,BATCH-004-02 -> LOC-TC-002,NEAR_EXPIRY_BATCH
BATCH-004-03,SKU-SUP-004,Winter Soup Mix 400g,Grocery,0.0,False,False,True,2026-07-20,HEALTHY_BATCH,False,False,TRACE_ONLY,LOC-TC-002,LOC-TC-001,,,LOC-TC-001,NO_ACTIVE_BATCH_QUANTITY,Batch has zero active quantity; retained in batch slotting for traceability only.,NO_ACTIVE_BATCH_QUANTITY,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,True,False,True,True,True,True,CAPABILITY_MATCH,30.0,30.0,1.0,PALLET_STORAGE,BATCH-004-03 -> LOC-TC-002,HEALTHY_BATCH
BATCH-004-04,SKU-SUP-004,Winter Soup Mix 400g,Grocery,0.0,False,False,True,2026-10-22,HEALTHY_BATCH,False,False,TRACE_ONLY,LOC-TC-002,LOC-TC-001,,,LOC-TC-001,NO_ACTIVE_BATCH_QUANTITY,Batch has zero active quantity; retained in batch slotting for traceability only.,NO_ACTIVE_BATCH_QUANTITY,False,True,0.0,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH,TRACE_ONLY_BATCH_EXCLUDED_FROM_PHYSICAL_MAP,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY;BATCH_VISUAL_EXCLUDED_ZERO_QUANTITY,True,False,True,True,True,True,CAPABILITY_MATCH,30.0,30.0,1.0,PALLET_STORAGE,BATCH-004-04 -> LOC-TC-002,HEALTHY_BATCH
BATCH-005-01,SKU-CHC-005,Valentine Chocolate Box 250g,Confectionery,35.0,True,True,False,2026-05-29,EXPIRED_BATCH,True,False,QUARANTINE,LOC-QA-001,LOC-TC-003,LOC-QA-001,,LOC-TC-003,QUARANTINE_EXPIRED_BATCH,Expired batch is assigned to quarantine without quarantining the entire SKU.,ACTIVE_EXPIRED_BATCH_ASSIGNED_TO_QUARANTINE,True,True,35.0,QUARANTINE_EXPIRED,QUARANTINE_EXPIRED,,,True,True,False,True,True,False,EXACT_ZONE_MATCH,54.0,12.0,1.0,QUARANTINE,BATCH-005-01 -> LOC-QA-001,EXPIRED_BATCH
