sku_id,product_name,category,service_level_target,safety_factor_z,base_service_level,final_service_level_adjustment,pre_guardrail_service_level,service_level_guardrail_applied,service_level_guardrail_reason,service_level_floor,service_level_ceiling,service_level_reason,abc_class,xyz_class,fsn_class,vitality_class,seasonality_class,perishability_class,movement_class,supplier_risk_class,inventory_priority_class,classification_score,current_inventory,stockout_signal,stockout_units,zero_inventory_signal,expiry_risk_signal,non_moving_signal,dead_stock_signal,near_expiry_units,expired_units,stockout_penalty_per_unit,average_daily_demand,coefficient_of_variation,demand_behavior_class,average_forecast_confidence_score,champion_confidence_score,dominant_forecast_risk_level,demand_adjusted_procurement_risk_score,demand_adjusted_procurement_risk_class,recommended_supplier_requires_review,supplier_review_signal,supplier_watchlist_flag,watchlist_supplier_signal,supplier_trend_status,perishable,expiry_tracking_required,fefo_required,handling_unit,inventory_owner_type,item_planning_type,push_pull_boundary_role,stockout_service_boost_applied,vital_service_boost_applied,supplier_risk_service_boost_applied,low_forecast_confidence_boost_applied,seasonal_service_adjustment_applied,perishability_service_reduction_applied,slow_or_non_moving_reduction_applied,expiry_risk_reduction_applied,liquidation_reduction_applied,service_level_review_required,service_level_re_evaluation_signal,service_level_re_evaluation_reason
SKU-COF-001,House Blend Coffee 1kg,Grocery,0.99,2.33,0.98,0.08,0.99,False,No guardrail applied.,0.7,0.99,Vital SKU with high stockout penalty and supplier risk; service level increased.,B,X,S,VITAL,NON_SEASONAL,NON_PERISHABLE,SLOW_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,HIGH_PRIORITY,0.72,420,False,0,False,False,False,False,0.0,0.0,35,44.3757,0.1603,STABLE,0.5,0.9789,MEDIUM_RISK,0.0361031213017751,LOW,True,True,False,False,HEALTHY,False,False,False,CASE,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,True,True,True,True,False,False,False,False,False,True,True,Watchlist supplier may require higher protection or supplier review. Low forecast confidence for important SKU requires review.
SKU-TEA-002,Iced Tea Peach 500ml,Beverages,0.95,1.65,0.91,0.01,0.92,True,High priority guardrail raised service level to 0.95.,0.7,0.99,"Supplier risk increased protection for important sku, low forecast confidence boosted vital or important sku, slow movement reduced service level, but high priority guardrail raised service level to 0.95.",B,Y,S,IMPORTANT,SEASONAL_BUILDUP,EXPIRY_TRACKED,SLOW_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,HIGH_PRIORITY,0.645,0,False,0,True,False,False,False,0.0,0.0,30,29.0166,0.605,VARIABLE,0.5,0.9135,MEDIUM_RISK,0.1530007575757575,LOW,True,True,False,False,INSUFFICIENT_DATA,True,True,True,CASE,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,False,False,True,True,True,False,True,False,False,True,True,Watchlist supplier may require higher protection or supplier review. Low forecast confidence for important SKU requires review. Service-level guardrail was applied and should be reviewed later.
SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,0.7,0.84,0.89,-0.28,0.7,False,Allowed below important minimum because SKU is liquidation priority.,0.7,0.99,"Base level starts from LIQUIDATION_PRIORITY. Adjustments applied: supplier risk increased protection for important SKU, low forecast confidence boosted vital or important SKU, slow movement reduced service level, spoilage or expiry risk reduced service level, liquidation priority reduced service level, high inventory relative to forecast reduced service level. Allowed below important minimum because SKU is liquidation priority.",C,Y,S,IMPORTANT,NON_SEASONAL,SPOILAGE_RISK,SLOW_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,LIQUIDATION_PRIORITY,0.45,160,False,0,False,True,False,False,54.0,106.0,22,9.9392,1.0669,VARIABLE,0.5,0.7201,MEDIUM_RISK,0.1396626570048309,LOW,True,True,False,False,MIXED,True,True,True,EACH,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,False,False,True,True,False,True,True,True,True,True,True,Expiry risk suggests lowering future service level or order quantity. Watchlist supplier may require higher protection or supplier review. Low forecast confidence for important SKU requires review.
SKU-SUP-004,Winter Soup Mix 400g,Grocery,0.99,2.33,0.99,0.14,0.99,False,No guardrail applied.,0.7,0.99,Critical stockout SKU; service level kept high to reduce shortage risk.,B,Y,S,VITAL,NON_SEASONAL,EXPIRY_TRACKED,SLOW_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,CRITICAL_PRIORITY,0.755,-18,True,18,False,False,False,False,0.0,0.0,28,37.2818,0.5072,VARIABLE,0.5,0.8294,MEDIUM_RISK,0.0632500674004917,LOW,True,True,True,True,WATCHLIST,True,True,True,CASE,SEMI_PRODUCED,SEMI_FINISHED,MAKE_TO_STOCK_ITEM,True,True,True,True,False,False,False,False,False,True,True,Stockout signal requires review of service level. Watchlist supplier may require higher protection or supplier review. Low forecast confidence for important SKU requires review. Component/semi-finished item should be revisited when Phase 4 production planning is added.
SKU-CHC-005,Valentine Chocolate Box 250g,Confectionery,0.7,0.84,0.91,-0.22,0.7,False,Allowed below important minimum because SKU is liquidation priority.,0.7,0.99,"Base level starts from LIQUIDATION_PRIORITY. Adjustments applied: supplier risk increased protection for important SKU, low forecast confidence boosted vital or important SKU, slow movement reduced service level, spoilage or expiry risk reduced service level, liquidation priority reduced service level. Allowed below important minimum because SKU is liquidation priority.",B,X,S,IMPORTANT,NON_SEASONAL,SPOILAGE_RISK,SLOW_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,LIQUIDATION_PRIORITY,0.555,35,False,0,False,True,False,False,0.0,35.0,24,21.1271,0.2655,STABLE,0.5,0.9715,MEDIUM_RISK,0.0755950674004917,LOW,True,True,True,True,WATCHLIST,True,True,True,EACH,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,False,False,True,True,False,True,True,True,True,True,True,Expiry risk suggests lowering future service level or order quantity. Watchlist supplier may require higher protection or supplier review. Low forecast confidence for important SKU requires review.
SKU-BBQ-006,BBQ Charcoal 5kg,Outdoor,0.9,1.28,0.85,-0.15,0.7,True,Important SKU guardrail raised service level to 0.90.,0.7,0.99,"Seasonal drawdown reduced the target, but important SKU guardrail raised service level to 0.90.",C,Y,N,IMPORTANT,SEASONAL_DRAWDOWN,NON_PERISHABLE,NON_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,MEDIUM_PRIORITY,0.495,720,False,0,False,False,True,False,0.0,0.0,18,12.7569,0.9664,VARIABLE,0.5,0.877,MEDIUM_RISK,0.1687348674004918,LOW,True,True,True,True,WATCHLIST,False,False,False,PALLET,PURCHASED,PURCHASED_FINISHED_GOOD,FINISHED_GOOD_BUFFER,False,False,True,True,True,False,True,False,False,True,True,Non-moving or dead-stock signal requires service level review. Watchlist supplier may require higher protection or supplier review. Low forecast confidence for important SKU requires review. Seasonal drawdown with inventory or expiry risk requires review. Service-level guardrail was applied and should be reviewed later.
SKU-UMR-007,Compact Umbrella,Accessories,0.9,1.28,0.89,-0.01,0.88,True,Important SKU guardrail raised service level to 0.90.,0.7,0.99,"Supplier risk increased protection for important sku, low forecast confidence boosted vital or important sku, slow movement reduced service level, but important SKU guardrail raised service level to 0.90.",C,X,S,IMPORTANT,NON_SEASONAL,NON_PERISHABLE,SLOW_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,MEDIUM_PRIORITY,0.585,8,False,0,False,False,False,False,0.0,0.0,26,6.779,0.1983,STABLE,0.5,0.9781,MEDIUM_RISK,0.0468651570048309,LOW,True,True,False,False,MIXED,False,False,False,EACH,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,False,False,True,True,False,False,True,False,False,True,True,Watchlist supplier may require higher protection or supplier review. Low forecast confidence for important SKU requires review. Service-level guardrail was applied and should be reviewed later.
SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,0.99,2.33,0.99,0.15,0.99,False,No guardrail applied.,0.7,0.99,Critical stockout SKU; service level kept high to reduce shortage risk.,C,Z,S,VITAL,NON_SEASONAL,NON_PERISHABLE,SLOW_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,CRITICAL_PRIORITY,0.635,-6,True,6,False,False,False,False,0.0,0.0,40,2.8453,1.7253,ERRATIC,0.5,0.6767,MEDIUM_RISK,0.1850350674004917,LOW,True,True,True,True,WATCHLIST,False,False,False,EACH,PURCHASED,PURCHASED_FINISHED_GOOD,RAW_MATERIAL_BUFFER,True,True,True,True,False,False,False,False,False,True,True,Stockout signal requires review of service level. Watchlist supplier may require higher protection or supplier review. Low forecast confidence for important SKU requires review.
SKU-FIL-009,Replacement Water Filter,Home,0.9,1.28,0.95,-0.09,0.86,True,Important SKU guardrail raised service level to 0.90.,0.7,0.99,"Supplier risk increased protection for important sku, low forecast confidence boosted vital or important sku, non-moving sku reduced service level, high inventory relative to forecast reduced service level, but important SKU guardrail raised service level to 0.90.",C,Z,N,IMPORTANT,NON_SEASONAL,NON_PERISHABLE,NON_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,MEDIUM_PRIORITY,0.465,96,False,0,False,False,True,False,0.0,0.0,20,1.0055,1.9287,ERRATIC,0.5,0.6927,MEDIUM_RISK,0.0826031213017751,LOW,True,True,False,False,HEALTHY,False,False,False,CASE,PURCHASED,COMPONENT,ASSEMBLE_TO_ORDER_COMPONENT,False,False,True,True,False,False,True,False,False,True,True,Non-moving or dead-stock signal requires service level review. Watchlist supplier may require higher protection or supplier review. Low forecast confidence for important SKU requires review. Component/semi-finished item should be revisited when Phase 4 production planning is added. Service-level guardrail was applied and should be reviewed later.
SKU-GFT-010,Premium Gift Wrap Roll,Stationery,0.9,1.28,0.95,-0.05,0.9,True,Important SKU guardrail raised service level to 0.90.,0.7,0.99,"Supplier risk increased protection for important sku, low forecast confidence boosted vital or important sku, slow movement reduced service level, high inventory relative to forecast reduced service level, but important SKU guardrail raised service level to 0.90.",C,Z,S,IMPORTANT,NON_SEASONAL,NON_PERISHABLE,SLOW_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,MEDIUM_PRIORITY,0.525,310,False,0,False,False,False,False,0.0,0.0,32,0.6906,2.2084,ERRATIC,0.5,0.6384,MEDIUM_RISK,0.0940776570048309,LOW,True,True,False,False,MIXED,False,False,False,EACH,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,False,False,True,True,False,False,True,False,False,True,True,Watchlist supplier may require higher protection or supplier review. Low forecast confidence for important SKU requires review. Service-level guardrail was applied and should be reviewed later.
