requirement_id,machine_id,machine_type,spare_part_sku,maintenance_level,quantity_per_light_maintenance,quantity_per_medium_maintenance,quantity_per_heavy_maintenance,quantity_per_breakdown_repair,expected_usage_basis,criticality,substitutable_flag,active_flag,advisory_only_flag,notes
MSPR-001,M-FRAME-JIG-001,FRAME_ALIGNMENT_FIXTURE,SP-LUBE-OIL-001,LIGHT,0.25,0.50,1.00,1.00,OPERATIONS_BASED_MAINTENANCE,HIGH,True,True,True,Light lubrication usage for frame fixture.
MSPR-002,M-FRAME-JIG-001,FRAME_ALIGNMENT_FIXTURE,SP-FRAME-JIG-PAD-001,MEDIUM,0.00,1.00,2.00,2.00,TIME_BASED_MAINTENANCE,HIGH,False,True,True,Frame jig wear pad replacement.
MSPR-003,M-WHEEL-TRUE-001,WHEEL_TRUING_STAND,SP-WHEEL-TRUING-SPARE-001,MEDIUM,0.00,1.00,1.00,2.00,TIME_BASED_MAINTENANCE,MEDIUM,False,True,True,Wheel truing stand spare kit.
MSPR-004,M-WHEEL-TRUE-001,WHEEL_TRUING_STAND,SP-BEARING-KIT-001,BREAKDOWN_REPAIR,0.00,0.50,1.00,1.00,BREAKDOWN_REPAIR,CRITICAL,True,True,True,Bearing replacement exposure.
MSPR-005,M-BRAKE-BENCH-001,BRAKE_ASSEMBLY_TOOLS,SP-BRAKE-BENCH-TOOL-001,GENERAL,0.00,1.00,1.00,1.00,GENERAL_CONSUMABLE,MEDIUM,True,True,True,Brake tooling spare set.
MSPR-006,M-FORK-BENCH-001,FORK_SUSPENSION_BENCH,SP-FORK-SUSP-SEAL-001,MEDIUM,0.00,1.00,2.00,2.00,TIME_BASED_MAINTENANCE,CRITICAL,False,True,True,Fork suspension seal kit.
MSPR-007,M-FORK-BENCH-001,FORK_SUSPENSION_BENCH,SP-LUBE-OIL-001,LIGHT,0.25,0.50,1.00,1.00,OPERATIONS_BASED_MAINTENANCE,HIGH,True,True,True,Light lubrication usage for fork bench.
MSPR-008,M-FINAL-STAND-001,BIKE_ASSEMBLY_STAND,SP-FINAL-ASM-JIG-001,MEDIUM,0.00,1.00,2.00,2.00,TIME_BASED_MAINTENANCE,HIGH,False,True,True,Final assembly jig spare kit.
MSPR-009,M-FINAL-STAND-001,BIKE_ASSEMBLY_STAND,SP-BEARING-KIT-001,BREAKDOWN_REPAIR,0.00,0.25,1.00,1.00,BREAKDOWN_REPAIR,CRITICAL,True,True,True,Bearing kit for assembly stand repairs.
MSPR-010,M-QC-TOOLS-001,INSPECTION_TOOLS,SP-QC-CALIBRATION-KIT-001,CALIBRATION,0.00,1.00,1.00,1.00,CALIBRATION,CRITICAL,False,True,True,QC calibration kit.
MSPR-011,M-QC-TOOLS-001,INSPECTION_TOOLS,SP-ELECTRICAL-SENSOR-001,BREAKDOWN_REPAIR,0.00,0.00,1.00,1.00,BREAKDOWN_REPAIR,CRITICAL,True,True,True,Sensor kit for inspection tool recovery.
MSPR-012,M-PACK-BENCH-001,PACKAGING_TOOLS,SP-PACK-BENCH-SPARE-001,GENERAL,0.00,1.00,1.00,1.00,GENERAL_CONSUMABLE,LOW,True,True,True,Packaging bench spare kit.
