review_item_id,planning_run_id,machine_id,machine_name,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
MAINT-IMPACT-REV-001,PHASE4-MPS-20260706124809,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,MACHINE_AVAILABILITY_IMPACT,CRITICAL,Frame Jig and Alignment Fixture availability impact is CRITICAL.,REVIEW_MACHINE_AVAILABILITY_RISK,False,True
MAINT-IMPACT-REV-002,PHASE4-MPS-20260706124809,M-WHEEL-TRUE-001,Wheel Truing Stand,MACHINE_AVAILABILITY_IMPACT,CRITICAL,Wheel Truing Stand availability impact is CRITICAL.,REVIEW_MACHINE_AVAILABILITY_RISK,False,True
MAINT-IMPACT-REV-003,PHASE4-MPS-20260706124809,M-WHEEL-TRUE-001,Wheel Truing Stand,CREW_CAPACITY_BLOCKER,CRITICAL,Wheel Truing Stand has crew capacity blockers.,REVIEW_MAINTENANCE_CREW_COVERAGE,False,True
MAINT-IMPACT-REV-004,PHASE4-MPS-20260706124809,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,MACHINE_AVAILABILITY_IMPACT,CRITICAL,Brake Assembly Bench and Tooling availability impact is CRITICAL.,REVIEW_MACHINE_AVAILABILITY_RISK,False,True
MAINT-IMPACT-REV-005,PHASE4-MPS-20260706124809,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,SPARE_PART_BLOCKER,HIGH,Brake Assembly Bench and Tooling has spare-part readiness blockers.,REVIEW_SPARE_PART_READINESS,False,True
MAINT-IMPACT-REV-006,PHASE4-MPS-20260706124809,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,CREW_CAPACITY_BLOCKER,CRITICAL,Brake Assembly Bench and Tooling has crew capacity blockers.,REVIEW_MAINTENANCE_CREW_COVERAGE,False,True
MAINT-IMPACT-REV-007,PHASE4-MPS-20260706124809,M-FORK-BENCH-001,Fork and Suspension Prep Bench,MACHINE_AVAILABILITY_IMPACT,CRITICAL,Fork and Suspension Prep Bench availability impact is CRITICAL.,REVIEW_MACHINE_AVAILABILITY_RISK,False,True
MAINT-IMPACT-REV-008,PHASE4-MPS-20260706124809,M-FORK-BENCH-001,Fork and Suspension Prep Bench,SPARE_PART_BLOCKER,HIGH,Fork and Suspension Prep Bench has spare-part readiness blockers.,REVIEW_SPARE_PART_READINESS,False,True
MAINT-IMPACT-REV-009,PHASE4-MPS-20260706124809,M-FORK-BENCH-001,Fork and Suspension Prep Bench,CREW_CAPACITY_BLOCKER,CRITICAL,Fork and Suspension Prep Bench has crew capacity blockers.,REVIEW_MAINTENANCE_CREW_COVERAGE,False,True
MAINT-IMPACT-REV-010,PHASE4-MPS-20260706124809,M-FINAL-STAND-001,Final Assembly Stand,MACHINE_AVAILABILITY_IMPACT,CRITICAL,Final Assembly Stand availability impact is CRITICAL.,REVIEW_MACHINE_AVAILABILITY_RISK,False,True
MAINT-IMPACT-REV-011,PHASE4-MPS-20260706124809,M-FINAL-STAND-001,Final Assembly Stand,SPARE_PART_BLOCKER,HIGH,Final Assembly Stand has spare-part readiness blockers.,REVIEW_SPARE_PART_READINESS,False,True
MAINT-IMPACT-REV-012,PHASE4-MPS-20260706124809,M-QC-TOOLS-001,QC Inspection Tool Set,MACHINE_AVAILABILITY_IMPACT,CRITICAL,QC Inspection Tool Set availability impact is CRITICAL.,REVIEW_MACHINE_AVAILABILITY_RISK,False,True
MAINT-IMPACT-REV-013,PHASE4-MPS-20260706124809,M-QC-TOOLS-001,QC Inspection Tool Set,SPARE_PART_BLOCKER,HIGH,QC Inspection Tool Set has spare-part readiness blockers.,REVIEW_SPARE_PART_READINESS,False,True
MAINT-IMPACT-REV-014,PHASE4-MPS-20260706124809,M-PACK-BENCH-001,Packaging Bench and Tool Set,MACHINE_AVAILABILITY_IMPACT,HIGH,Packaging Bench and Tool Set availability impact is HIGH.,REVIEW_MACHINE_AVAILABILITY_RISK,False,True
MAINT-IMPACT-REV-015,PHASE4-MPS-20260706124809,M-PACK-BENCH-001,Packaging Bench and Tool Set,SPARE_PART_BLOCKER,HIGH,Packaging Bench and Tool Set has spare-part readiness blockers.,REVIEW_SPARE_PART_READINESS,False,True
MAINT-IMPACT-REV-016,PHASE4-MPS-20260706124809,M-PACK-BENCH-001,Packaging Bench and Tool Set,CREW_CAPACITY_BLOCKER,CRITICAL,Packaging Bench and Tool Set has crew capacity blockers.,REVIEW_MAINTENANCE_CREW_COVERAGE,False,True
MAINT-IMPACT-REV-017,PHASE4-MPS-20260706124809,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,PRODUCTION_CAPACITY_IMPACT,CRITICAL,Frame Jig and Alignment Fixture has 6.06 capacity-at-risk hours.,REVIEW_PRODUCTION_CAPACITY_IMPACT,False,True
MAINT-IMPACT-REV-018,PHASE4-MPS-20260706124809,M-WHEEL-TRUE-001,Wheel Truing Stand,PRODUCTION_CAPACITY_IMPACT,CRITICAL,Wheel Truing Stand has 4.12 capacity-at-risk hours.,REVIEW_PRODUCTION_CAPACITY_IMPACT,False,True
MAINT-IMPACT-REV-019,PHASE4-MPS-20260706124809,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,PRODUCTION_CAPACITY_IMPACT,HIGH,Brake Assembly Bench and Tooling has 2.41 capacity-at-risk hours.,REVIEW_PRODUCTION_CAPACITY_IMPACT,False,True
MAINT-IMPACT-REV-020,PHASE4-MPS-20260706124809,M-FORK-BENCH-001,Fork and Suspension Prep Bench,PRODUCTION_CAPACITY_IMPACT,HIGH,Fork and Suspension Prep Bench has 2.47 capacity-at-risk hours.,REVIEW_PRODUCTION_CAPACITY_IMPACT,False,True
MAINT-IMPACT-REV-021,PHASE4-MPS-20260706124809,M-FINAL-STAND-001,Final Assembly Stand,PRODUCTION_CAPACITY_IMPACT,CRITICAL,Final Assembly Stand has 10.05 capacity-at-risk hours.,REVIEW_PRODUCTION_CAPACITY_IMPACT,False,True
MAINT-IMPACT-REV-022,PHASE4-MPS-20260706124809,M-QC-TOOLS-001,QC Inspection Tool Set,PRODUCTION_CAPACITY_IMPACT,HIGH,QC Inspection Tool Set has 3.01 capacity-at-risk hours.,REVIEW_PRODUCTION_CAPACITY_IMPACT,False,True
MAINT-IMPACT-REV-023,PHASE4-MPS-20260706124809,M-PACK-BENCH-001,Packaging Bench and Tool Set,PRODUCTION_CAPACITY_IMPACT,HIGH,Packaging Bench and Tool Set has 1.08 capacity-at-risk hours.,REVIEW_PRODUCTION_CAPACITY_IMPACT,False,True
MAINT-IMPACT-REV-024,PHASE4-MPS-20260706124809,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,BOTTLENECK_WORSENING_RISK,CRITICAL,Frame Jig and Alignment Fixture may worsen bottleneck risk.,REVIEW_BOTTLENECK_MACHINE_MAINTENANCE,False,True
MAINT-IMPACT-REV-025,PHASE4-MPS-20260706124809,M-WHEEL-TRUE-001,Wheel Truing Stand,BOTTLENECK_WORSENING_RISK,CRITICAL,Wheel Truing Stand may worsen bottleneck risk.,REVIEW_BOTTLENECK_MACHINE_MAINTENANCE,False,True
MAINT-IMPACT-REV-026,PHASE4-MPS-20260706124809,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,BOTTLENECK_WORSENING_RISK,CRITICAL,Brake Assembly Bench and Tooling may worsen bottleneck risk.,REVIEW_BOTTLENECK_MACHINE_MAINTENANCE,False,True
MAINT-IMPACT-REV-027,PHASE4-MPS-20260706124809,M-FORK-BENCH-001,Fork and Suspension Prep Bench,BOTTLENECK_WORSENING_RISK,CRITICAL,Fork and Suspension Prep Bench may worsen bottleneck risk.,REVIEW_BOTTLENECK_MACHINE_MAINTENANCE,False,True
MAINT-IMPACT-REV-028,PHASE4-MPS-20260706124809,M-FINAL-STAND-001,Final Assembly Stand,BOTTLENECK_WORSENING_RISK,CRITICAL,Final Assembly Stand may worsen bottleneck risk.,REVIEW_BOTTLENECK_MACHINE_MAINTENANCE,False,True
