review_rank,sku_id,product_name,category,final_decision_priority,final_risk_level,final_review_type,final_review_severity,primary_review_type,mandatory_review_gates,advisory_review_gates,review_gate_count,mandatory_review_gate_count,final_review_owner,final_review_reason,final_recommended_action,final_action_reason,blocking_review_action,proposed_operational_action,proposed_operational_owner,execution_owner,review_owner,owner_assignment_reason,action_visibility_note,selected_scenario_name,selected_requires_human_review,selected_feasibility_status,selected_feasibility_severity,selected_major_risk_count,selected_review_required_count,selected_soft_warning_count,operational_cost_saving_vs_baseline,penalty_adjusted_saving_vs_baseline,saving_interpretation_type,next_review_step
1,SKU-BIKE-MT-001,Mountain Bike,Bicycles,URGENT,CRITICAL,POLICY_REVIEW,MANDATORY,POLICY_REVIEW,SELECTED_SCENARIO_REVIEW_GATE,ADVISORY_POLICY_SIGNAL; ADVISORY_SUPPLIER_SIGNAL; ADVISORY_WAREHOUSE_SIGNAL; ADVISORY_COST_SIGNAL,5,1,INVENTORY_PLANNER,Selected scenario is feasible only with human review.,ORDER_RECOMMENDED_QUANTITY,Inventory status recommends replenishment. REVIEW_POLICY_PARAMETERS must be completed before execution approval.,REVIEW_POLICY_PARAMETERS,ORDER_RECOMMENDED_QUANTITY,PROCUREMENT_TEAM,PROCUREMENT_TEAM,INVENTORY_PLANNER,PROCUREMENT_TEAM owns the proposed operational action.,Final action shows the proposed operational execution action.,DELAY_NONURGENT_ORDER,True,FEASIBLE_WITH_REVIEW,MAJOR_RISK,1,1,3,38254.69,39754.69,REVIEW_REQUIRED,Review final recommendation before action.
2,SKU-BIKE-ROAD-001,Road Bike,Bicycles,URGENT,CRITICAL,POLICY_REVIEW,MANDATORY,POLICY_REVIEW,SELECTED_SCENARIO_REVIEW_GATE,ADVISORY_POLICY_SIGNAL; ADVISORY_SUPPLIER_SIGNAL; ADVISORY_WAREHOUSE_SIGNAL; ADVISORY_COST_SIGNAL,5,1,INVENTORY_PLANNER,Selected scenario is feasible only with human review.,ORDER_RECOMMENDED_QUANTITY,Inventory status recommends replenishment. REVIEW_POLICY_PARAMETERS must be completed before execution approval.,REVIEW_POLICY_PARAMETERS,ORDER_RECOMMENDED_QUANTITY,PROCUREMENT_TEAM,PROCUREMENT_TEAM,INVENTORY_PLANNER,PROCUREMENT_TEAM owns the proposed operational action.,Final action shows the proposed operational execution action.,DELAY_NONURGENT_ORDER,True,FEASIBLE_WITH_REVIEW,REVIEW_REQUIRED,0,1,3,35682.19,35682.19,REVIEW_REQUIRED,Review final recommendation before action.
3,SKU-COMP-FRAME-ROAD-001,UNKNOWN,UNKNOWN,URGENT,CRITICAL,POLICY_REVIEW,MANDATORY,POLICY_REVIEW,SELECTED_SCENARIO_REVIEW_GATE,ADVISORY_POLICY_SIGNAL; ADVISORY_SUPPLIER_SIGNAL; ADVISORY_WAREHOUSE_SIGNAL; ADVISORY_COST_SIGNAL,5,1,INVENTORY_PLANNER,Selected scenario is feasible only with human review.,USE_SELECTED_OPTIMIZED_SCENARIO,Selected optimized scenario is the proposed operational path. REVIEW_POLICY_PARAMETERS must be completed before execution approval.,REVIEW_POLICY_PARAMETERS,USE_SELECTED_OPTIMIZED_SCENARIO,INVENTORY_PLANNER,INVENTORY_PLANNER,INVENTORY_PLANNER,INVENTORY_PLANNER owns the proposed operational action.,Final action shows the proposed operational execution action.,DELAY_NONURGENT_ORDER,True,FEASIBLE_WITH_REVIEW,MAJOR_RISK,1,1,3,7155.0,8655.0,REVIEW_REQUIRED,Review final recommendation before action.
4,SKU-COMP-WHEEL-MT-29,UNKNOWN,UNKNOWN,URGENT,CRITICAL,POLICY_REVIEW,MANDATORY,POLICY_REVIEW,SELECTED_SCENARIO_REVIEW_GATE,ADVISORY_POLICY_SIGNAL; ADVISORY_SUPPLIER_SIGNAL; ADVISORY_WAREHOUSE_SIGNAL; ADVISORY_COST_SIGNAL,5,1,INVENTORY_PLANNER,Selected scenario is feasible only with human review.,USE_SELECTED_OPTIMIZED_SCENARIO,Selected optimized scenario is the proposed operational path. REVIEW_POLICY_PARAMETERS must be completed before execution approval.,REVIEW_POLICY_PARAMETERS,USE_SELECTED_OPTIMIZED_SCENARIO,INVENTORY_PLANNER,INVENTORY_PLANNER,INVENTORY_PLANNER,INVENTORY_PLANNER owns the proposed operational action.,Final action shows the proposed operational execution action.,DELAY_NONURGENT_ORDER,True,FEASIBLE_WITH_REVIEW,MAJOR_RISK,1,1,3,5217.19,6717.19,REVIEW_REQUIRED,Review final recommendation before action.
5,SKU-COMP-WHEEL-ROAD-700C,UNKNOWN,UNKNOWN,URGENT,CRITICAL,POLICY_REVIEW,MANDATORY,POLICY_REVIEW,SELECTED_SCENARIO_REVIEW_GATE,ADVISORY_POLICY_SIGNAL; ADVISORY_SUPPLIER_SIGNAL; ADVISORY_WAREHOUSE_SIGNAL; ADVISORY_COST_SIGNAL,5,1,INVENTORY_PLANNER,Selected scenario is feasible only with human review.,USE_SELECTED_OPTIMIZED_SCENARIO,Selected optimized scenario is the proposed operational path. REVIEW_POLICY_PARAMETERS must be completed before execution approval.,REVIEW_POLICY_PARAMETERS,USE_SELECTED_OPTIMIZED_SCENARIO,INVENTORY_PLANNER,INVENTORY_PLANNER,INVENTORY_PLANNER,INVENTORY_PLANNER owns the proposed operational action.,Final action shows the proposed operational execution action.,DELAY_NONURGENT_ORDER,True,FEASIBLE_WITH_REVIEW,MAJOR_RISK,1,1,3,4471.87,5971.87,REVIEW_REQUIRED,Review final recommendation before action.
6,SKU-SUP-004,Winter Soup Mix 400g,Grocery,URGENT,CRITICAL,MANDATORY_MULTI_DEPARTMENT_REVIEW,MANDATORY,POLICY_REVIEW,SELECTED_SCENARIO_REVIEW_GATE; PHASE4_GATE; SUPPLIER_CHANGE_GATE; RECEIVING_CAPACITY_GATE; POLICY_PARAMETER_GATE,ADVISORY_COST_SIGNAL,6,5,MULTI_DEPARTMENT_REVIEW,Selected scenario is feasible only with human review. Selected action changes policy/order assumptions for a Phase 4-related SKU. Selected scenario changes supplier while supplier review is active. Selected split delivery depends on receiving/staging capacity review.,REVIEW_PHASE4_PRODUCTION_LOGIC,Selected scenario proposes split delivery to reduce receiving pressure. REVIEW_PHASE4_PRODUCTION_LOGIC is the blocking step. Proposed operational action after review: SPLIT_DELIVERY.,REVIEW_PHASE4_PRODUCTION_LOGIC,SPLIT_DELIVERY,PROCUREMENT_TEAM; WAREHOUSE_TEAM,PROCUREMENT_TEAM; WAREHOUSE_TEAM,MULTI_DEPARTMENT_REVIEW,Split delivery requires procurement scheduling and warehouse receiving-capacity confirmation.,Final action shows the blocking review gate; proposed operational action is listed separately.,INCREASE_BUFFER__FAST_RELIABLE_SUPPLIER__SPLIT_DELIVERY,True,FEASIBLE_WITH_REVIEW,REVIEW_REQUIRED,0,2,2,2142.62,5398.87,REVIEW_REQUIRED,Confirm Phase 4 production/BOM logic before approving proposed operational action: SPLIT_DELIVERY.
7,SKU-COF-001,House Blend Coffee 1kg,Grocery,URGENT,CRITICAL,WAREHOUSE_REVIEW,MANDATORY,WAREHOUSE_REVIEW,RECEIVING_CAPACITY_GATE,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_POLICY_SIGNAL; ADVISORY_COST_SIGNAL,4,1,WAREHOUSE_TEAM,Selected split delivery depends on receiving/staging capacity review.,SPLIT_DELIVERY,Selected scenario proposes split delivery to reduce receiving pressure. REVIEW_WAREHOUSE_CAPACITY must be completed before execution approval.,REVIEW_WAREHOUSE_CAPACITY,SPLIT_DELIVERY,PROCUREMENT_TEAM; WAREHOUSE_TEAM,PROCUREMENT_TEAM; WAREHOUSE_TEAM,WAREHOUSE_TEAM,Split delivery requires procurement scheduling and warehouse receiving-capacity confirmation.,Final action shows the proposed operational execution action.,INCREASE_BUFFER__SPLIT_DELIVERY,False,FEASIBLE,SOFT_WARNING,0,0,2,338.1,4650.6,PENALTY_AVOIDANCE,Confirm receiving and staging capacity before approving split delivery.
8,SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,URGENT,CRITICAL,MANDATORY_MULTI_DEPARTMENT_REVIEW,MANDATORY,POLICY_REVIEW,SELECTED_SCENARIO_REVIEW_GATE; PHASE4_GATE; RECEIVING_CAPACITY_GATE; POLICY_PARAMETER_GATE,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_COST_SIGNAL,6,4,MULTI_DEPARTMENT_REVIEW,Selected scenario is feasible only with human review. Selected action changes policy/order assumptions for a Phase 4-related SKU. Selected split delivery depends on receiving/staging capacity review.,REVIEW_PHASE4_PRODUCTION_LOGIC,Selected scenario proposes split delivery to reduce receiving pressure. REVIEW_PHASE4_PRODUCTION_LOGIC is the blocking step. Proposed operational action after review: SPLIT_DELIVERY.,REVIEW_PHASE4_PRODUCTION_LOGIC,SPLIT_DELIVERY,PROCUREMENT_TEAM; WAREHOUSE_TEAM,PROCUREMENT_TEAM; WAREHOUSE_TEAM,MULTI_DEPARTMENT_REVIEW,Split delivery requires procurement scheduling and warehouse receiving-capacity confirmation.,Final action shows the blocking review gate; proposed operational action is listed separately.,INCREASE_BUFFER__SPLIT_DELIVERY,True,FEASIBLE_WITH_REVIEW,REVIEW_REQUIRED,0,1,2,188.93,3845.18,REVIEW_REQUIRED,Confirm Phase 4 production/BOM logic before approving proposed operational action: SPLIT_DELIVERY.
9,SKU-BBQ-006,BBQ Charcoal 5kg,Outdoor,HIGH,CRITICAL,MANDATORY_MULTI_DEPARTMENT_REVIEW,MANDATORY,POLICY_REVIEW,SELECTED_SCENARIO_REVIEW_GATE; PHASE4_GATE; EXPIRY_DISPOSITION_GATE; POLICY_PARAMETER_GATE,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_COST_SIGNAL,6,4,MULTI_DEPARTMENT_REVIEW,Selected scenario is feasible only with human review. Selected action changes policy/order assumptions for a Phase 4-related SKU. Selected expiry/dead-stock disposition needs approval.,REVIEW_PHASE4_PRODUCTION_LOGIC,Selected scenario proposes dead-stock liquidation. REVIEW_PHASE4_PRODUCTION_LOGIC is the blocking step. Proposed operational action after review: LIQUIDATE_DEAD_STOCK.,REVIEW_PHASE4_PRODUCTION_LOGIC,LIQUIDATE_DEAD_STOCK,OPERATIONS_MANAGER,OPERATIONS_MANAGER,MULTI_DEPARTMENT_REVIEW,MULTI_DEPARTMENT_REVIEW owns the blocking review; OPERATIONS_MANAGER owns execution after approval.,Final action shows the blocking review gate; proposed operational action is listed separately.,DECREASE_BUFFER__LIQUIDATE_DEAD_STOCK,True,FEASIBLE_WITH_REVIEW,REVIEW_REQUIRED,0,1,2,2437.2,2437.2,REVIEW_REQUIRED,Confirm Phase 4 production/BOM logic before approving proposed operational action: LIQUIDATE_DEAD_STOCK.
10,SKU-COMP-FRAME-MT-001,UNKNOWN,UNKNOWN,HIGH,HIGH,POLICY_REVIEW,MANDATORY,POLICY_REVIEW,SELECTED_SCENARIO_REVIEW_GATE,ADVISORY_POLICY_SIGNAL; ADVISORY_SUPPLIER_SIGNAL; ADVISORY_WAREHOUSE_SIGNAL; ADVISORY_COST_SIGNAL,5,1,INVENTORY_PLANNER,Selected scenario is feasible only with human review.,USE_SELECTED_OPTIMIZED_SCENARIO,Selected optimized scenario is the proposed operational path. REVIEW_POLICY_PARAMETERS must be completed before execution approval.,REVIEW_POLICY_PARAMETERS,USE_SELECTED_OPTIMIZED_SCENARIO,INVENTORY_PLANNER,INVENTORY_PLANNER,INVENTORY_PLANNER,INVENTORY_PLANNER owns the proposed operational action.,Final action shows the proposed operational execution action.,DELAY_NONURGENT_ORDER,True,FEASIBLE_WITH_REVIEW,MAJOR_RISK,1,1,3,8347.5,9847.5,REVIEW_REQUIRED,Review final recommendation before action.
