planning_run_id,machine_id,machine_name,machine_type,maintenance_plan_id,maintenance_level,maintenance_category,trigger_type,operations_between_maintenance,days_between_maintenance,operations_since_last_maintenance,days_since_last_maintenance,operations_until_due,days_until_due,due_status,due_status_reason,deferral_risk_level,can_defer_flag,max_defer_operations,max_defer_days,deferral_review_required_flag,current_condition_status,maintenance_state_source,source_phase,advisory_only_flag
PHASE4-MPS-20260701122722,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,FRAME_ALIGNMENT_FIXTURE,MP-FRAME-LIGHT-001,LIGHT,AUTONOMOUS_MAINTENANCE,OPERATIONS_OR_TIME_BASED,120,14,108,12,12.0,2.0,DUE_SOON,operations trigger DUE_SOON; time trigger DUE_SOON,LOW,True,20,3,False,GOOD,SYNTHETIC_PLANNING_STATE,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260701122722,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,FRAME_ALIGNMENT_FIXTURE,MP-FRAME-MED-001,MEDIUM,PREVENTIVE_MAINTENANCE,OPERATIONS_OR_TIME_BASED,600,60,640,60,-40.0,0.0,OVERDUE,operations trigger OVERDUE; time trigger DUE_NOW,HIGH,True,60,7,True,MONITOR,SYNTHETIC_PLANNING_STATE,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260701122722,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,FRAME_ALIGNMENT_FIXTURE,MP-FRAME-HEAVY-001,HEAVY,OVERHAUL,TIME_BASED,0,365,2100,166,,199.0,NOT_DUE,time trigger NOT_DUE,CRITICAL,False,0,0,False,GOOD,MANUFACTURER_ASSUMPTION,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260701122722,M-WHEEL-TRUE-001,Wheel Truing Stand,WHEEL_TRUING_STAND,MP-WHEEL-LIGHT-001,LIGHT,AUTONOMOUS_MAINTENANCE,OPERATIONS_OR_TIME_BASED,150,14,151,16,-1.0,-2.0,OVERDUE,operations trigger OVERDUE; time trigger OVERDUE,LOW,True,25,3,False,MONITOR,SYNTHETIC_PLANNING_STATE,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260701122722,M-WHEEL-TRUE-001,Wheel Truing Stand,WHEEL_TRUING_STAND,MP-WHEEL-MED-001,MEDIUM,CALIBRATION,OPERATIONS_OR_TIME_BASED,700,90,580,81,120.0,9.0,DUE_SOON,operations trigger DUE_SOON; time trigger DUE_SOON,HIGH,True,70,10,False,GOOD,SYNTHETIC_PLANNING_STATE,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260701122722,M-WHEEL-TRUE-001,Wheel Truing Stand,WHEEL_TRUING_STAND,MP-WHEEL-HEAVY-001,HEAVY,OVERHAUL,TIME_BASED,0,365,1900,150,,215.0,NOT_DUE,time trigger NOT_DUE,HIGH,False,0,0,False,GOOD,MANUFACTURER_ASSUMPTION,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260701122722,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,BRAKE_ASSEMBLY_TOOLS,MP-BRAKE-LIGHT-001,LIGHT,AUTONOMOUS_MAINTENANCE,OPERATIONS_OR_TIME_BASED,140,14,70,10,70.0,4.0,NOT_DUE,operations trigger NOT_DUE; time trigger NOT_DUE,LOW,True,25,3,False,GOOD,SYNTHETIC_PLANNING_STATE,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260701122722,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,BRAKE_ASSEMBLY_TOOLS,MP-BRAKE-MED-001,MEDIUM,PREVENTIVE_MAINTENANCE,OPERATIONS_OR_TIME_BASED,650,75,690,66,-40.0,9.0,OVERDUE,operations trigger OVERDUE; time trigger DUE_SOON,MEDIUM,True,60,7,False,DEGRADED,SYNTHETIC_PLANNING_STATE,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260701122722,M-FORK-BENCH-001,Fork and Suspension Prep Bench,FORK_SUSPENSION_BENCH,MP-FORK-LIGHT-001,LIGHT,AUTONOMOUS_MAINTENANCE,OPERATIONS_OR_TIME_BASED,100,14,94,18,6.0,-4.0,OVERDUE,operations trigger DUE_SOON; time trigger OVERDUE,MEDIUM,True,15,3,False,MONITOR,SYNTHETIC_PLANNING_STATE,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260701122722,M-FORK-BENCH-001,Fork and Suspension Prep Bench,FORK_SUSPENSION_BENCH,MP-FORK-MED-001,MEDIUM,PREVENTIVE_MAINTENANCE,OPERATIONS_OR_TIME_BASED,450,60,430,56,20.0,4.0,DUE_SOON,operations trigger DUE_SOON; time trigger DUE_SOON,HIGH,True,45,5,False,MONITOR,SYNTHETIC_PLANNING_STATE,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260701122722,M-FINAL-STAND-001,Final Assembly Stand,BIKE_ASSEMBLY_STAND,MP-FINAL-LIGHT-001,LIGHT,AUTONOMOUS_MAINTENANCE,OPERATIONS_OR_TIME_BASED,160,14,165,14,-5.0,0.0,OVERDUE,operations trigger OVERDUE; time trigger DUE_NOW,LOW,True,20,3,False,MONITOR,SYNTHETIC_PLANNING_STATE,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260701122722,M-FINAL-STAND-001,Final Assembly Stand,BIKE_ASSEMBLY_STAND,MP-FINAL-MED-001,MEDIUM,PREVENTIVE_MAINTENANCE,OPERATIONS_OR_TIME_BASED,650,75,610,60,40.0,15.0,DUE_SOON,operations trigger DUE_SOON; time trigger DUE_SOON,HIGH,True,60,7,False,MONITOR,SYNTHETIC_PLANNING_STATE,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260701122722,M-FINAL-STAND-001,Final Assembly Stand,BIKE_ASSEMBLY_STAND,MP-FINAL-HEAVY-001,HEAVY,OVERHAUL,TIME_BASED,0,365,1800,161,,204.0,NOT_DUE,time trigger NOT_DUE,HIGH,False,0,0,False,GOOD,MANUFACTURER_ASSUMPTION,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260701122722,M-QC-TOOLS-001,QC Inspection Tool Set,INSPECTION_TOOLS,MP-QC-CAL-001,MEDIUM,CALIBRATION,TIME_BASED,0,45,0,53,,-8.0,OVERDUE,time trigger OVERDUE,CRITICAL,False,0,0,True,MONITOR,SYNTHETIC_PLANNING_STATE,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260701122722,M-QC-TOOLS-001,QC Inspection Tool Set,INSPECTION_TOOLS,MP-QC-BREAKDOWN-001,BREAKDOWN_REPAIR_PLACEHOLDER,BREAKDOWN_REPAIR_PLACEHOLDER,BREAKDOWN_PLACEHOLDER,0,0,0,29,,,REVIEW_REQUIRED,BREAKDOWN_PLACEHOLDER is a placeholder only.,CRITICAL,False,0,0,False,UNKNOWN,MANUFACTURER_ASSUMPTION,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
PHASE4-MPS-20260701122722,M-PACK-BENCH-001,Packaging Bench and Tool Set,PACKAGING_TOOLS,MP-PACK-LIGHT-001,LIGHT,AUTONOMOUS_MAINTENANCE,OPERATIONS_OR_TIME_BASED,180,21,80,8,100.0,13.0,NOT_DUE,operations trigger NOT_DUE; time trigger NOT_DUE,LOW,True,30,5,False,GOOD,SYNTHETIC_PLANNING_STATE,SHARED_STEP7C_MAINTENANCE_MASTER_DATA,True
