sku_id,sku_name,category,subcategory,unit,status,launch_date,end_date,is_perishable,shelf_life_days
SKU-COF-001,House Blend Coffee 1kg,Grocery,Coffee,bag,active,2024-03-15,,False,365.0
SKU-TEA-002,Iced Tea Peach 500ml,Beverages,Ready to Drink Tea,bottle,active,2025-04-01,,True,180.0
SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,Sun Care,tube,active,2024-05-01,,False,730.0
SKU-SUP-004,Winter Soup Mix 400g,Grocery,Soup,box,active,2023-10-01,,False,540.0
SKU-CHC-005,Valentine Chocolate Box 250g,Confectionery,Chocolate,box,active,2024-01-10,,True,270.0
SKU-BBQ-006,BBQ Charcoal 5kg,Outdoor,Grilling,bag,active,2024-04-01,,False,
SKU-UMR-007,Compact Umbrella,Accessories,Rain Gear,each,active,2023-09-01,,False,
SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,Batteries,pack,active,2022-06-01,,False,1460.0
SKU-FIL-009,Replacement Water Filter,Home,Appliance Parts,each,active,2023-01-20,,False,
SKU-GFT-010,Premium Gift Wrap Roll,Stationery,Gift Supplies,roll,active,2024-11-01,,False,
SKU-BIKE-ROAD-001,Road Bike,Bicycles,Road Bikes,each,active,2026-01-01,,False,
SKU-BIKE-MT-001,Mountain Bike,Bicycles,Mountain Bikes,each,active,2026-01-01,,False,
SP-LUBE-OIL-001,General Machine Lubricating Oil,Maintenance Spare Parts,Lubricant,each,active,2026-01-01,,False,730.0
SP-BEARING-KIT-001,General Bearing Replacement Kit,Maintenance Spare Parts,Bearing Kit,kit,active,2026-01-01,,False,1460.0
SP-FRAME-JIG-PAD-001,Frame Jig Wear Pad Kit,Maintenance Spare Parts,Fixture Spare,kit,active,2026-01-01,,False,1095.0
SP-WHEEL-TRUING-SPARE-001,Wheel Truing Stand Spare Kit,Maintenance Spare Parts,Tooling Spare,kit,active,2026-01-01,,False,1095.0
SP-BRAKE-BENCH-TOOL-001,Brake Bench Tool Spare Set,Maintenance Spare Parts,Tooling Spare,set,active,2026-01-01,,False,
SP-FORK-SUSP-SEAL-001,Fork Suspension Seal Kit,Maintenance Spare Parts,Mechanical Spare,kit,active,2026-01-01,,False,730.0
SP-FINAL-ASM-JIG-001,Final Assembly Jig Spare Kit,Maintenance Spare Parts,Fixture Spare,kit,active,2026-01-01,,False,1095.0
SP-QC-CALIBRATION-KIT-001,QC Calibration Kit,Maintenance Spare Parts,Calibration Kit,kit,active,2026-01-01,,True,365.0
SP-PACK-BENCH-SPARE-001,Packaging Bench Spare Kit,Maintenance Spare Parts,General MRO,kit,active,2026-01-01,,False,
SP-ELECTRICAL-SENSOR-001,General Machine Sensor Kit,Maintenance Spare Parts,Electrical Sensor,kit,active,2026-01-01,,False,1095.0
