planning_run_id,setup_family_id,setup_family_name,setup_family_type,finished_sku,operation_id,workstation_id,machine_type_id,default_setup_time_minutes,setup_sensitive_flag,batching_preferred_flag,active_flag,advisory_only_flag,notes,source_phase
PHASE4-MPS-20260711141513,ROAD_FRAME_PREP,Road Frame Prep,OPERATION_FAMILY,SKU-BIKE-ROAD-001,ROAD-OP-010,WS-FRAME-PREP,FRAME_ALIGNMENT_FIXTURE,20,True,True,True,True,Road frame preparation setup family.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260711141513,MTB_FRAME_PREP,Mountain Frame Prep,OPERATION_FAMILY,SKU-BIKE-MT-001,MT-OP-010,WS-FRAME-PREP,FRAME_ALIGNMENT_FIXTURE,24,True,True,True,True,Mountain frame preparation setup family.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260711141513,ROAD_WHEEL_SUBASSEMBLY,Road Wheel Subassembly,OPERATION_FAMILY,SKU-BIKE-ROAD-001,ROAD-OP-020,WS-WHEEL-SUB,WHEEL_TRUING_STAND,12,True,True,True,True,Road wheel subassembly setup family.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260711141513,MTB_WHEEL_SUBASSEMBLY,Mountain Wheel Subassembly,OPERATION_FAMILY,SKU-BIKE-MT-001,MT-OP-030,WS-WHEEL-SUB,WHEEL_TRUING_STAND,14,True,True,True,True,Mountain wheel subassembly setup family.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260711141513,ROAD_BRAKE_SUBASSEMBLY,Road Brake Subassembly,OPERATION_FAMILY,SKU-BIKE-ROAD-001,ROAD-OP-030,WS-BRAKE-SUB,BRAKE_ASSEMBLY_TOOLS,10,True,True,True,True,Road brake subassembly setup family.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260711141513,MTB_BRAKE_SUBASSEMBLY,Mountain Brake Subassembly,OPERATION_FAMILY,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,BRAKE_ASSEMBLY_TOOLS,12,True,True,True,True,Mountain brake subassembly setup family.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260711141513,FORK_PREP,Fork and Suspension Prep,OPERATION_FAMILY,SKU-BIKE-MT-001,MT-OP-020,WS-FORK-SUSP,FORK_SUSPENSION_BENCH,16,True,True,True,True,Mountain fork and suspension prep setup family.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260711141513,ROAD_FINAL_ASSEMBLY,Road Final Assembly,OPERATION_FAMILY,SKU-BIKE-ROAD-001,ROAD-OP-040,WS-FINAL-ASM,BIKE_ASSEMBLY_STAND,18,True,True,True,True,Road final assembly setup family.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260711141513,MTB_FINAL_ASSEMBLY,Mountain Final Assembly,OPERATION_FAMILY,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,BIKE_ASSEMBLY_STAND,22,True,True,True,True,Mountain final assembly setup family.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260711141513,ROAD_QC_TESTING,Road QC Testing,QUALITY_SETUP_FAMILY,SKU-BIKE-ROAD-001,ROAD-OP-050,WS-QC,INSPECTION_TOOLS,6,True,False,True,True,Road final quality setup family.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260711141513,MTB_QC_TESTING,Mountain QC Testing,QUALITY_SETUP_FAMILY,SKU-BIKE-MT-001,MT-OP-060,WS-QC,INSPECTION_TOOLS,8,True,False,True,True,Mountain final quality setup family.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260711141513,ROAD_PACKAGING,Road Packaging,OPERATION_FAMILY,SKU-BIKE-ROAD-001,ROAD-OP-060,WS-PACK,PACKAGING_TOOLS,5,False,True,True,True,Road packaging setup family.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
PHASE4-MPS-20260711141513,MTB_PACKAGING,Mountain Packaging,OPERATION_FAMILY,SKU-BIKE-MT-001,MT-OP-070,WS-PACK,PACKAGING_TOOLS,6,False,True,True,True,Mountain packaging setup family.,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION
