planning_run_id,machine_id,machine_type,machine_name,spare_part_sku,spare_part_name,spare_part_type,criticality,quantity_per_light_maintenance,quantity_per_medium_maintenance,quantity_per_heavy_maintenance,quantity_per_breakdown_repair,inventory_status,supplier_coverage_status,spare_part_readiness_status,maintenance_planning_ready_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260630115526,M-FRAME-JIG-001,FRAME_ALIGNMENT_FIXTURE,Frame Jig and Alignment Fixture,SP-LUBE-OIL-001,General Machine Lubricating Oil,LUBRICANT,HIGH,0.25,0.5,1.0,1.0,SUFFICIENT,COVERED,READY,True,PHASE4_STEP7B_SPARE_PART_REQUIREMENT_CONTEXT,True
PHASE4-MPS-20260630115526,M-FRAME-JIG-001,FRAME_ALIGNMENT_FIXTURE,Frame Jig and Alignment Fixture,SP-FRAME-JIG-PAD-001,Frame Jig Wear Pad Kit,FIXTURE,HIGH,0.0,1.0,2.0,2.0,SUFFICIENT,LIMITED_COVERAGE,READY,True,PHASE4_STEP7B_SPARE_PART_REQUIREMENT_CONTEXT,True
PHASE4-MPS-20260630115526,M-WHEEL-TRUE-001,WHEEL_TRUING_STAND,Wheel Truing Stand,SP-WHEEL-TRUING-SPARE-001,Wheel Truing Stand Spare Kit,TOOLING,MEDIUM,0.0,1.0,1.0,2.0,SUFFICIENT,LIMITED_COVERAGE,READY,True,PHASE4_STEP7B_SPARE_PART_REQUIREMENT_CONTEXT,True
PHASE4-MPS-20260630115526,M-WHEEL-TRUE-001,WHEEL_TRUING_STAND,Wheel Truing Stand,SP-BEARING-KIT-001,General Bearing Replacement Kit,BEARING,CRITICAL,0.0,0.5,1.0,1.0,SUFFICIENT,COVERED,READY,True,PHASE4_STEP7B_SPARE_PART_REQUIREMENT_CONTEXT,True
PHASE4-MPS-20260630115526,M-BRAKE-BENCH-001,BRAKE_ASSEMBLY_TOOLS,Brake Assembly Bench and Tooling,SP-BRAKE-BENCH-TOOL-001,Brake Bench Tool Spare Set,TOOLING,MEDIUM,0.0,1.0,1.0,1.0,SUFFICIENT,LIMITED_COVERAGE,READY,True,PHASE4_STEP7B_SPARE_PART_REQUIREMENT_CONTEXT,True
PHASE4-MPS-20260630115526,M-FORK-BENCH-001,FORK_SUSPENSION_BENCH,Fork and Suspension Prep Bench,SP-FORK-SUSP-SEAL-001,Fork Suspension Seal Kit,MECHANICAL,CRITICAL,0.0,1.0,2.0,2.0,BELOW_REORDER_POINT,LIMITED_COVERAGE,INVENTORY_REVIEW_REQUIRED,False,PHASE4_STEP7B_SPARE_PART_REQUIREMENT_CONTEXT,True
PHASE4-MPS-20260630115526,M-FORK-BENCH-001,FORK_SUSPENSION_BENCH,Fork and Suspension Prep Bench,SP-LUBE-OIL-001,General Machine Lubricating Oil,LUBRICANT,HIGH,0.25,0.5,1.0,1.0,SUFFICIENT,COVERED,READY,True,PHASE4_STEP7B_SPARE_PART_REQUIREMENT_CONTEXT,True
PHASE4-MPS-20260630115526,M-FINAL-STAND-001,BIKE_ASSEMBLY_STAND,Final Assembly Stand,SP-FINAL-ASM-JIG-001,Final Assembly Jig Spare Kit,FIXTURE,HIGH,0.0,1.0,2.0,2.0,BELOW_REORDER_POINT,LIMITED_COVERAGE,INVENTORY_REVIEW_REQUIRED,False,PHASE4_STEP7B_SPARE_PART_REQUIREMENT_CONTEXT,True
PHASE4-MPS-20260630115526,M-FINAL-STAND-001,BIKE_ASSEMBLY_STAND,Final Assembly Stand,SP-BEARING-KIT-001,General Bearing Replacement Kit,BEARING,CRITICAL,0.0,0.25,1.0,1.0,SUFFICIENT,COVERED,READY,True,PHASE4_STEP7B_SPARE_PART_REQUIREMENT_CONTEXT,True
PHASE4-MPS-20260630115526,M-QC-TOOLS-001,INSPECTION_TOOLS,QC Inspection Tool Set,SP-QC-CALIBRATION-KIT-001,QC Calibration Kit,CALIBRATION,CRITICAL,0.0,1.0,1.0,1.0,BELOW_SAFETY_STOCK,LIMITED_COVERAGE,INVENTORY_REVIEW_REQUIRED,False,PHASE4_STEP7B_SPARE_PART_REQUIREMENT_CONTEXT,True
PHASE4-MPS-20260630115526,M-QC-TOOLS-001,INSPECTION_TOOLS,QC Inspection Tool Set,SP-ELECTRICAL-SENSOR-001,General Machine Sensor Kit,SENSOR,CRITICAL,0.0,0.0,1.0,1.0,BELOW_REORDER_POINT,COVERED,INVENTORY_REVIEW_REQUIRED,False,PHASE4_STEP7B_SPARE_PART_REQUIREMENT_CONTEXT,True
PHASE4-MPS-20260630115526,M-PACK-BENCH-001,PACKAGING_TOOLS,Packaging Bench and Tool Set,SP-PACK-BENCH-SPARE-001,Packaging Bench Spare Kit,GENERAL_MRO,LOW,0.0,1.0,1.0,1.0,SUFFICIENT,LIMITED_COVERAGE,READY,True,PHASE4_STEP7B_SPARE_PART_REQUIREMENT_CONTEXT,True
