finished_sku,component_sku,consuming_operation_id,quantity_per_finished_unit,mapping_source,mapping_status,review_required_flag,advisory_only_flag,notes
SKU-BIKE-ROAD-001,SKU-COMP-FRAME-ROAD-001,ROAD-OP-010,1,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,EXPLICIT_CONSUMING_OPERATION_MAPPED,False,True,Road frame is consumed by Road Bike Frame Preparation.
SKU-BIKE-ROAD-001,SKU-COMP-WHEEL-ROAD-700C,ROAD-OP-020,2,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,EXPLICIT_CONSUMING_OPERATION_MAPPED,False,True,Road wheel components are consumed by Road Bike Wheel Subassembly.
SKU-BIKE-ROAD-001,SKU-COMP-TIRE-ROAD-700C,ROAD-OP-020,2,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,EXPLICIT_CONSUMING_OPERATION_MAPPED,False,True,Road tires are consumed by Road Bike Wheel Subassembly.
SKU-BIKE-ROAD-001,SKU-COMP-BRAKE-FRONT-001,ROAD-OP-030,1,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,EXPLICIT_CONSUMING_OPERATION_MAPPED,False,True,Front brake assembly is consumed by Road Bike Brake Subassembly.
SKU-BIKE-ROAD-001,SKU-COMP-BRAKE-REAR-001,ROAD-OP-030,1,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,EXPLICIT_CONSUMING_OPERATION_MAPPED,False,True,Rear brake assembly is consumed by Road Bike Brake Subassembly.
SKU-BIKE-ROAD-001,SKU-COMP-PEDAL-SET-001,ROAD-OP-040,1,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,EXPLICIT_CONSUMING_OPERATION_MAPPED,False,True,Pedal set is consumed during Road Bike Final Assembly.
SKU-BIKE-ROAD-001,SKU-COMP-BOLT-KIT-001,ROAD-OP-040,1,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,EXPLICIT_CONSUMING_OPERATION_MAPPED,False,True,Bolts and nuts kit is consumed during Road Bike Final Assembly.
SKU-BIKE-MT-001,SKU-COMP-FRAME-MT-001,MT-OP-010,1,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,EXPLICIT_CONSUMING_OPERATION_MAPPED,False,True,Mountain frame is consumed by Mountain Bike Frame Preparation.
SKU-BIKE-MT-001,SKU-COMP-WHEEL-MT-29,MT-OP-030,2,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,EXPLICIT_CONSUMING_OPERATION_MAPPED,False,True,Mountain wheel components are consumed by Mountain Bike Wheel Subassembly.
SKU-BIKE-MT-001,SKU-COMP-TIRE-MT-29,MT-OP-030,2,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,EXPLICIT_CONSUMING_OPERATION_MAPPED,False,True,Mountain tires are consumed by Mountain Bike Wheel Subassembly.
SKU-BIKE-MT-001,SKU-COMP-BRAKE-FRONT-001,MT-OP-040,1,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,EXPLICIT_CONSUMING_OPERATION_MAPPED,False,True,Front brake assembly is consumed by Mountain Bike Brake Subassembly.
SKU-BIKE-MT-001,SKU-COMP-BRAKE-REAR-001,MT-OP-040,1,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,EXPLICIT_CONSUMING_OPERATION_MAPPED,False,True,Rear brake assembly is consumed by Mountain Bike Brake Subassembly.
SKU-BIKE-MT-001,SKU-COMP-PEDAL-SET-001,MT-OP-050,1,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,EXPLICIT_CONSUMING_OPERATION_MAPPED,False,True,Pedal set is consumed during Mountain Bike Final Assembly.
SKU-BIKE-MT-001,SKU-COMP-BOLT-KIT-001,MT-OP-050,1,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,EXPLICIT_CONSUMING_OPERATION_MAPPED,False,True,Bolts and nuts kit is consumed during Mountain Bike Final Assembly.
