planning_run_id,machine_id,machine_name,breakdown_risk_level,maintenance_due_signal,required_skill_id,crew_capacity_status,estimated_repair_queue_risk_level,backlog_risk_level,maintenance_crew_planning_ready_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260702135436,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,CRITICAL,OVERDUE,SKILL-MECH-MAINT,FEASIBLE,HIGH,CRITICAL,True,PHASE4_STEP7E_MAINTENANCE_CREW_CAPACITY_CONTEXT,True
PHASE4-MPS-20260702135436,M-WHEEL-TRUE-001,Wheel Truing Stand,CRITICAL,OVERDUE,SKILL-MECH-MAINT,FEASIBLE,HIGH,CRITICAL,True,PHASE4_STEP7E_MAINTENANCE_CREW_CAPACITY_CONTEXT,True
PHASE4-MPS-20260702135436,M-WHEEL-TRUE-001,Wheel Truing Stand,CRITICAL,OVERDUE,SKILL-BASIC-ADJUSTMENT,NO_ACTIVE_COVERAGE,CRITICAL,CRITICAL,False,PHASE4_STEP7E_MAINTENANCE_CREW_CAPACITY_CONTEXT,True
PHASE4-MPS-20260702135436,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,CRITICAL,OVERDUE,SKILL-BASIC-ADJUSTMENT,NO_ACTIVE_COVERAGE,CRITICAL,CRITICAL,False,PHASE4_STEP7E_MAINTENANCE_CREW_CAPACITY_CONTEXT,True
PHASE4-MPS-20260702135436,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,CRITICAL,OVERDUE,SKILL-ELEC-MAINT,FEASIBLE,HIGH,CRITICAL,True,PHASE4_STEP7E_MAINTENANCE_CREW_CAPACITY_CONTEXT,True
PHASE4-MPS-20260702135436,M-FORK-BENCH-001,Fork and Suspension Prep Bench,CRITICAL,OVERDUE,SKILL-MECH-MAINT,FEASIBLE,HIGH,CRITICAL,True,PHASE4_STEP7E_MAINTENANCE_CREW_CAPACITY_CONTEXT,True
PHASE4-MPS-20260702135436,M-FORK-BENCH-001,Fork and Suspension Prep Bench,CRITICAL,OVERDUE,SKILL-LUBRICATION,NO_ACTIVE_COVERAGE,CRITICAL,CRITICAL,False,PHASE4_STEP7E_MAINTENANCE_CREW_CAPACITY_CONTEXT,True
PHASE4-MPS-20260702135436,M-FINAL-STAND-001,Final Assembly Stand,CRITICAL,OVERDUE,SKILL-HEAVY-OVERHAUL,FEASIBLE,CRITICAL,CRITICAL,False,PHASE4_STEP7E_MAINTENANCE_CREW_CAPACITY_CONTEXT,True
PHASE4-MPS-20260702135436,M-FINAL-STAND-001,Final Assembly Stand,CRITICAL,OVERDUE,SKILL-MECH-MAINT,FEASIBLE,HIGH,CRITICAL,True,PHASE4_STEP7E_MAINTENANCE_CREW_CAPACITY_CONTEXT,True
PHASE4-MPS-20260702135436,M-QC-TOOLS-001,QC Inspection Tool Set,CRITICAL,REVIEW_REQUIRED,SKILL-ELEC-MAINT,FEASIBLE,CRITICAL,CRITICAL,False,PHASE4_STEP7E_MAINTENANCE_CREW_CAPACITY_CONTEXT,True
PHASE4-MPS-20260702135436,M-PACK-BENCH-001,Packaging Bench and Tool Set,MEDIUM,DUE_SOON,SKILL-CLEANING,NO_ACTIVE_COVERAGE,CRITICAL,CRITICAL,False,PHASE4_STEP7E_MAINTENANCE_CREW_CAPACITY_CONTEXT,True
PHASE4-MPS-20260702135436,M-PACK-BENCH-001,Packaging Bench and Tool Set,MEDIUM,DUE_SOON,SKILL-ELEC-MAINT,FEASIBLE,MEDIUM,CRITICAL,True,PHASE4_STEP7E_MAINTENANCE_CREW_CAPACITY_CONTEXT,True
